NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information,Project Start Date,Project End Date,Study Section,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs,FY Indirect Costs,FY Total Cost by IC,FY Total Cost (Sub Projects)
No NIH Category available.,"Activities of Daily Living;Adult;Affect;Age;Aged, 80 and over;Arthritis;Arthrodesis;base;Biofeedback;bone;Cadaver;Calibration;carpus bone;clinical implementation;Clinical Research;Clinical Treatment;Clinical Trials;Cobalt;Communities;Complication;cost effective;Custom;Data;Data Analyses;Data Collection;Databases;Degenerative Disorder;Degenerative polyarthritis;design;Development;Device or Instrument Development;Disease;early detection biomarkers;Electronics;Engineering;Etiology;Excision;Failure;Foundations;Functional disorder;Future;Goals;Hand;Health Care Costs;Hip region structure;Impairment;Implant;improved;in vivo;Injury;innovation;insight;instrument;joint function;joint loading;Joints;kinematics;Knee;Knowledge;Longitudinal Studies;loss of function;Manufacturer Name;mathematical model;Measurement;Measures;Mechanics;Mediating;Metacarpal bone;miniaturize;Modeling;Morphology;Movement;Musculoskeletal;novel;Operative Surgical Procedures;Outcome Measure;Pain;Pain management;Patients;Pattern;Performance;Physical therapy;Positioning Attribute;pre-clinical;preclinical development;preclinical evaluation;Preclinical Testing;Prevalence;primary outcome;Protocols documentation;prototype;Records;Rehabilitation therapy;repaired;Replacement Arthroplasty;Research;Research Personnel;Robotics;Role;Science;seal;sensor;Shapes;Shoulder;skills;soft tissue;Standardization;success;Surface;Surgical sutures;Suspensions;Technology;Testing;Thumb structure;Titanium;trapezium;United States National Institutes of Health;Validation;Vertebral column;Work;",Pre-Clinical Development of an Instrumented Trapezium Carpal Bone,The forces in the base of the thumb influence the development of thumb arthritis; which is widespread anddisabling. These forces also influence the success of treatments and rehabilitation. However; the forces in thethumb joints are currently not well characterized. The aim of this study is to develop a load-sensing bone implantcapable of directly measuring the forces at the base of the thumb. Understanding these forces will improvecurrent clinical treatment; help refine physical therapy strategies; and guide the development of improvedimplants.,NIAMS,9955950,24-Mar-2020,PA-19-053,1R21AR077201-01,1,R21,AR,77201,1,,"WASHABAUGH, CHARLES H",1-Apr-2020,31-Mar-2022,Musculoskeletal Rehabilitation Sciences Study Section (MRS) ,,1898975,"CRISCO, JOSEPH J",Not Applicable,1,Unavailable,75710996,US,41.820682,-71.412855,6959701,RHODE ISLAND HOSPITAL,PROVIDENCE,RI,Independent Hospitals,02903-4923,UNITED STATES,,1-Apr-2020,31-Mar-2021,846,Research Projects,2020,NIAMS,154000,93940,247940,
Biotechnology;Genetics,Actins;Actomyosin;Agriculture;Animal Model;Animals;base;Benchmarking;Biochemical;Bioinformatics;Biological;Biological Assay;causal variant;Cell Culture Techniques;Cell Cycle;Cell Cycle Kinetics;Cell Cycle Regulation;Cells;Cellular biology;Chlamydomonas;Chlamydomonas reinhardtii;Cilia;Classification;cofilin;Collaborations;Collection;conditional mutant;Cyclin A;Cyclin B;Cyclin D1;Cyclins;Cytokinesis;Cytoskeleton;Disease;Ecology;Enzymes;Epitopes;Essential Genes;Eukaryota;Eukaryotic Cell;Evolution;Excision;experimental study;Extracellular Matrix;F-Actin;fungus;Genes;Genetic;Genetic Screening;Genetic Transcription;Goals;Green Algae;Growth;Human;insight;Learning;Life;loss of function;Measures;Metabolism;Methods;microbial;Microbial Genetics;Microscopic;Microscopy;Microtubules;Mitotic;Modeling;Molecular;mutant;Mutate;Mutation;Mutation Analysis;Myosin Type II;next generation sequencing;novel;nutrition;Organism;Orthologous Gene;Pathway interactions;Phenotype;Phosphatidylinositols;Phosphotransferases;Planet Earth;Plant Model;Plants;Positioning Attribute;Procedures;Production;profilin;programs;Proteins;Regulation;Robotics;Role;Series;success;System;Testing;Time;transcriptome;transcriptomics;ubiquitin-protein ligase;Uridine Diphosphate Sugars;Work;Yeasts;,Evolution of cell cycle control: triangulating the last eukaryotic common ancestor,Project narrativeThe plant kingdom is under-explored compared to animals; and green algae are a microbial model for the plantkingdom with powerful genetics. It is very important to learn about basic cell biology in plants. They areindispensable for life on earth; and form the direct basis for all human nutrition. Also; plants diverged fromanimals long ago in evolution; so understanding their cell biology informs us as to what features are trulyancient; fundamental and essential.,NIGMS,9792385,22-Aug-2019,PA-16-160,5R01GM078153-10,5,R01,GM,78153,10,,"GINDHART, JOSEPH G",1-Aug-2006,31-Aug-2020,Cellular Signaling and Regulatory Systems Study Section (CSRS) ,,1862338,"CROSS, FREDERICK R.",Not Applicable,12,GENETICS,71037113,US,40.762898,-73.95652,7056601,ROCKEFELLER UNIVERSITY,NEW YORK,NY,OTHER DOMESTIC HIGHER EDUCATION,10065-6399,UNITED STATES,,1-Sep-2019,31-Aug-2020,859,Research Projects,2019,NIGMS,200000,139000,339000,
No NIH Category available.,"3-Dimensional;Access to Information;Achievement;Adopted;Adoption;Affect;Age;age group;Aged, 80 and over;Aging;aging and technology;Anxiety;Area;Attention;base;Businesses;Car Phone;Characteristics;Cloud Computing;cohesion;cohort;Collaborations;Communication;Communities;Computer software;Computers;Data;data management;Databases;design;Development;Devices;digital;Disabled Persons;Disputes;Education;Elderly;Emerging Technologies;Enhancement Technology;Ensure;Environment;Evaluation;Florida;Fostering;Foundations;Future;Goals;Government;Growth;Guidelines;handheld mobile device;Health;health care settings;Healthcare;Independent Living;Industry;Information Services;Information Technology;innovation;input device;Institutes;Instruction;International;investigator training;Learning;Life;Literature;low socioeconomic status;Memory;Minority;monitoring device;multidisciplinary;neuroprosthesis;Older Population;Outcome;Performance;Personal Satisfaction;Persons;Policy Maker;Population;Population Heterogeneity;preference;Privacy;programs;Protocols documentation;Psychosocial Factor;public health relevance;Public Policy;Quality of life;remote sensing;Reporting;Research;Research Personnel;Research Project Grants;Research Support;Research Training;Resources;Robot;Robotics;Role;Safety;Sampling;Services;Shapes;Site;Social support;Solid;Stress;Structure;student training;System;Technology;tool;Training;Translating;trend;Universities;uptake;Vulnerable Populations;Work;Workplace;",Center for Research and Education on Aging and Technology Enhancement - CREATE IV,"PUBLIC HEALTH RELEVANCE: The growth in the older population; especially among the oldest old"" creates a pressing societal need to ensure that the vast number of elderly can maintain their independence and a good quality of life. Successful use of technology systems is critical to everyday functioning especially within the healthcare domains. Thus understanding issues surrounding aging and technology uptake is critically important to the development of strategies to support the well-being and independence of older adults.         """,NIA,9687625,29-Mar-2019,PAR-13-258,5P01AG017211-21,5,P01,AG,17211,21,,"PLUDE, DANA JEFFREY",1-Aug-1999,31-Mar-2021,Special Emphasis Panel (ZAG1-ZIJ-4 (J2)),,1875454,"CZAJA, SARA J.",Not Applicable,12,INTERNAL MEDICINE/MEDICINE,60217502,US,40.76491,-73.955055,1514803,WEILL MEDICAL COLL OF CORNELL UNIV,NEW YORK,NY,SCHOOLS OF MEDICINE,10065-4805,UNITED STATES,,1-Apr-2019,31-Mar-2021,866,Research Projects,2019,NIA,1751208,787036,1527245,
Bioengineering;Biomedical Imaging;Chronic Liver Disease and Cirrhosis;Digestive Diseases;Hepatitis;Liver Disease,3-Dimensional;Acoustics;Address;Adoption;Affect;Alcohol abuse;Algorithms;Americas;Anatomy;Angiography;animal imaging;Animal Model;Animals;Autopsy;Awareness;base;Biological Markers;Bolus Infusion;Cardiac;Cessation of life;chronic liver disease;Cirrhosis;Clinic;Clinical;Communities;Community Developments;Computer software;contrast enhanced;Contrast Media;Core Facility;cost;Custom;Data;Data Collection;Data Set;design;Detection;Development;Devices;Disease;drug development;dynamic system;elastography;Elements;Ensure;FDA approved;Fibrosis;Financial Hardship;Frequencies;Future;Hand;Histology;Image;Image Enhancement;Imaging Device;imaging system;Imaging technology;Immunohistochemistry;in vivo;Inflammation;Injury;innovation;interest;Knowledge;Laboratory Research;Left;Lesion;Liver;Liver diseases;Liver Fibrosis;liver injury;Longitudinal Studies;Malignant Neoplasms;Manuals;Measurement;Methods;Microbubbles;Modeling;models and simulation;molecular imaging;Molecular Target;Morphologic artifacts;mouse model;multimodality;neural network;non-invasive imaging;nonalcoholic steatohepatitis;novel;Organ;Patients;Penetration;Pharmaceutical Preparations;Pharmacologic Substance;Phase;Physics;Physiological Processes;Pilot Projects;pre-clinical;pre-clinical research;Preparation;Primary carcinoma of the liver cells;Protocols documentation;prototype;Public Health;quantitative ultrasound;Reproducibility;Research;research and development;Research Personnel;Respiration;response;Robotics;Rodent;Rodent Model;Scanning;Sensitivity and Specificity;serial imaging;Serum;skills;Small Business Innovation Research Grant;Staging;success;System;targeted imaging;Techniques;Technology;Testing;Three-Dimensional Image;Time;Tissues;tool;Training;Transducers;Ultrasonography;United States;Viral hepatitis;voltage;western diet;,A preclinical multi-modal system for dynamic noninvasive assessment of liver disease,Project NarrativeThere are many methods currently used by researchers to collect images of preclinical rodent anatomy andinternal organ function. However; these technologies are rarely used by the liver disease research and drugdevelopment communities due to their cost or technical complexity. We are proposing to build the firstautomated low-cost benchtop noninvasive liver disease measurement tool to be used in rodent research. In thefuture; our benchtop imaging product will help reduce the financial burden and increase the pace of preclinicalliver disease and drug studies by leveraging lower-cost hardware and an automated approach to analyzingtissue injury.,NIDDK,9932688,10-Jul-2019,PA-18-591,3R44DK112492-03S1,3,R44,DK,112492,3,S1,"DENSMORE, CHRISTINE L",5-Sep-2017,30-Apr-2021,,,11463912,"CZERNUSZEWICZ, TOMASZ JOSEPH ","GESSNER, RYAN ",4,Unavailable,78519223,US,,,10032878,"SONOVOL, INC.",Durham,NC,Domestic For-Profits,27709-3169,UNITED STATES,,1-May-2019,30-Apr-2021,847,SBIR-STTR,2019,NIDDK,,,152047,
Bioengineering;Biomedical Imaging;Chronic Liver Disease and Cirrhosis;Digestive Diseases;Hepatitis;Liver Disease,3-Dimensional;Acoustics;Address;Adoption;Affect;Alcohol abuse;Algorithms;Americas;Anatomy;Angiography;animal imaging;Animal Model;Animals;Autopsy;Awareness;base;Biological Markers;Bolus Infusion;Cardiac;Cessation of life;chronic liver disease;Cirrhosis;Clinic;Clinical;Communities;Community Developments;Computer software;contrast enhanced;Contrast Media;Core Facility;cost;Custom;Data;Data Collection;Data Set;design;Detection;Development;Devices;Disease;drug development;dynamic system;elastography;Elements;Ensure;FDA approved;Fibrosis;Financial Hardship;Frequencies;Future;Hand;Histology;Image;Image Enhancement;Imaging Device;imaging system;Imaging technology;Immunohistochemistry;in vivo;Inflammation;Injury;innovation;interest;Knowledge;Laboratory Research;Left;Lesion;Liver;Liver diseases;Liver Fibrosis;liver injury;Longitudinal Studies;Malignant Neoplasms;Manuals;Measurement;Methods;Microbubbles;Modeling;models and simulation;molecular imaging;Molecular Target;Morphologic artifacts;mouse model;multimodality;neural network;non-invasive imaging;nonalcoholic steatohepatitis;novel;Organ;Patients;Penetration;Pharmaceutical Preparations;Pharmacologic Substance;Phase;Physics;Physiological Processes;Pilot Projects;pre-clinical;pre-clinical research;Preparation;Primary carcinoma of the liver cells;Protocols documentation;prototype;Public Health;quantitative ultrasound;Reproducibility;Research;research and development;Research Personnel;Respiration;response;Robotics;Rodent;Rodent Model;Scanning;Sensitivity and Specificity;serial imaging;Serum;skills;Small Business Innovation Research Grant;Staging;success;System;targeted imaging;Techniques;Technology;Testing;Three-Dimensional Image;Time;Tissues;tool;Training;Transducers;Ultrasonography;United States;Viral hepatitis;voltage;western diet;,A preclinical multi-modal system for dynamic noninvasive assessment of liver disease,Project NarrativeThere are many methods currently used by researchers to collect images of preclinical rodent anatomy andinternal organ function. However; these technologies are rarely used by the liver disease research and drugdevelopment communities due to their cost or technical complexity. We are proposing to build the firstautomated low-cost benchtop noninvasive liver disease measurement tool to be used in rodent research. In thefuture; our benchtop imaging product will help reduce the financial burden and increase the pace of preclinicalliver disease and drug studies by leveraging lower-cost hardware and an automated approach to analyzingtissue injury.,NIDDK,9691347,9-Apr-2019,PA-17-302,5R44DK112492-03,5,R44,DK,112492,3,,"DENSMORE, CHRISTINE L",5-Sep-2017,30-Apr-2021,Special Emphasis Panel (ZRG1-SBIB-T (10)B),,11463912,"CZERNUSZEWICZ, TOMASZ JOSEPH ","GESSNER, RYAN ",4,Unavailable,78519223,US,,,10032878,"SONOVOL, INC.",Durham,NC,Domestic For-Profits,27709-3169,UNITED STATES,,1-May-2019,30-Apr-2021,847,SBIR-STTR,2019,NIDDK,,,826935,
Bioengineering;Biomedical Imaging;Biotechnology;Lung;Regenerative Medicine;Transplantation,3-Dimensional;Acoustics;Address;Agreement;Algorithms;Anatomy;Animal Model;base;Basic Science;Binding;Biological Assay;Biomedical Engineering;Bioreactors;Biotechnology;Cell Culture Techniques;cell growth;Cells;cellular imaging;Clinic;Clinical;Clinical Trials;Communities;Complex;Computer software;contrast enhanced;Contrast Media;cost;Custom;Data;density;design;Development;Devices;Endothelial Cells;Endothelium;Engineering;Ensure;Evaluation;experimental study;Family suidae;Feedback;Financial Hardship;Functional Imaging;Future;Generations;Goals;Growth;Heart;high resolution imaging;Histologic;Histology;Human;human model;human tissue;Image;Image Analysis;imaging modality;imaging study;imaging system;Imaging technology;implantation;improved;In Vitro;innovation;Institution;interest;Light;Lung;Lung Transplantation;Magnetic Resonance Imaging;Maps;Measurement;Medical;Medical Imaging;Metabolism;Methods;migration;Molecular;molecular imaging;Multimodal Imaging;Mus;nanoparticle;non-invasive imaging;novel;Organ;organ growth;Organ Size;Organ Transplantation;Output;Pathology;Patients;Performance;Phase;photoacoustic imaging;pre-clinical;Procedures;Protocols documentation;Quality Control;Regulation;Research;research and development;Research Personnel;Resolution;Resources;Robotics;Role;Sampling;scaffold;scale up;serial imaging;Small Business Innovation Research Grant;software development;Source;stem cell biology;Sterility;System;targeted agent;Technology;Testing;Three-Dimensional Image;Time;Tissue Donors;Tissue Engineering;Tissues;tool;Trachea;Transducers;Translating;Translations;Ultrasonic Transducer;Ultrasonic wave;Ultrasonography;Vascular Graft;Vascular Patency;wasting;,Whole-organ bioreactor with integrated nondestructive 3D molecular imaging,Project NarrativeTissue engineering using 3D scaffolds represents the future of organ transplantation. Unfortunately;bioengineering complex organs such as the lung or heart is currently limited by rudimentary bioreactortechnologies. We propose to build the world?s first bioreactor system with integrated 3D noninvasive molecularimaging capable of evaluating organ constructs within it. Not only will the product help reduce the financialburden and improve the science of basic researchers; but it will also provide a method for quality-controllingorgan constructs once recellularized scaffolds have been successfully translated to clinical-grade products.,NHLBI,9591214,12-Jul-2019,RFA-HL-15-008,4R44HL138185-02,4,R44,HL,138185,2,,"LIN, SARA",11-Aug-2017,31-Jul-2021,Special Emphasis Panel (ZHL1-CSR-B (M2)),,11463912,"CZERNUSZEWICZ, TOMASZ JOSEPH ","GESSNER, RYAN ",4,Unavailable,78519223,US,,,10032878,"SONOVOL, INC.",Durham,NC,Domestic For-Profits,27709-3169,UNITED STATES,,1-Aug-2019,31-Jul-2020,838,SBIR-STTR,2019,NHLBI,,,1072918,
No NIH Category available.,Acoustics;Acute Myelocytic Leukemia;Address;Antibodies;Antineoplastic Agents;assay development;base;Biologic Development;Biological;Biological Assay;Blood - brain barrier anatomy;Cancer Center Support Grant;cDNA Library;Cell Line;Cells;Chemicals;cheminformatics;Clinic;Clinical assessments;clinical candidate;Clinical Trials;Clustered Regularly Interspaced Short Palindromic Repeats;Collaborations;Communities;Complementary DNA;Comprehensive Cancer Center;cost;Cost Savings;CRISPR screen;CRISPR/Cas technology;Data Analyses;Development;Doctor of Philosophy;Dose;drug candidate;drug development;drug discovery;Drug Kinetics;drug metabolism;Drug Targeting;Dysmyelopoietic Syndromes;efflux pump;Ensure;experimental study;Extramural Activities;Faculty;Fee-for-Service Plans;follow-up;Foundations;functional genomics;Funding;Gene Expression;Generations;Genome;genome-wide;Genomic Library;Genomics;Goals;high throughput screening;Human;Human Genome;Immunooncology;Industrialization;Industry;Infrastructure;International;Investigation;Journals;Knock-in;Knock-out;Knowledge;Laboratories;lead optimization;Leadership;Learning;Legal patent;Libraries;Malignant neoplasm of brain;Malignant Neoplasms;meetings;member;Microscopy;miniaturize;Modality;Modeling;Molecular;Molecular Target;multidrug resistant cancer;Mus;next generation;next generation sequencing;Organizational Models;Peer Review;Penetrance;Pharmaceutical Chemistry;Pharmaceutical Preparations;Phenotype;Preparation;protein protein interaction;Publications;Reader;Reagent;Recording of previous events;Reporter;Research;Research Contracts;Research Personnel;Research Project Grants;Resource Sharing;Resources;response;RNA Splicing;Robotics;Sampling;Scientist;screening;sequencing platform;Service delivery model;Services;small hairpin RNA;Small Interfering RNA;small molecule;small molecule libraries;Specificity;Speed;Spliced Genes;Spliceosomes;Students;success;Suggestion;System;Technology;Testing;Therapeutic antibodies;Time;Toxic effect;Training;Transfection;Veterans;Work;,Molecular Screening Shared Resource (MSSR),n/a,NCI,9936716,31-Mar-2020,PAR-17-095,2P30CA016042-44,2,P30,CA,16042,44,,Unavailable,,,Subcommittee A - Cancer Centers (NCI-A) ,5976,9807690,"DAMOISEAUX, ROBERT ",Not Applicable,33,Unavailable,92530369,US,34.104809,-118.41105,577505,UNIVERSITY OF CALIFORNIA LOS ANGELES,LOS ANGELES,CA,Domestic Higher Education,90095-2000,UNITED STATES,,1-Apr-2020,31-Mar-2021,,Research Centers,2020,,175088,98049,,273137
No NIH Category available.,Address;Algorithms;Animals;Biological Models;Biomimetics;Brain;brain computer interface;cohort;Collaborations;Communities;comparative;computer program;Computers;Controlled Study;cost;Data;Data Set;design;Development;Devices;Dimensions;Electroencephalography;Ensure;Exhibits;Feedback;Finger joint structure;finger movement;Fingers;Freedom;Hand;head-to-head comparison;high dimensionality;Human;Human body;human subject;human-in-the-loop;Implant;Implanted Electrodes;Industry Standard;Injury;innovation;insight;Instruction;Intention;invention;Joints;kinematics;Learning;Limb Prosthesis;Limb structure;Literature;Measures;Methods;Microelectrodes;Modeling;Monkeys;Motor Cortex;Muscle;nervous system disorder;Neurons;neurotransmission;novel;Operating System;Operative Surgical Procedures;Paralysed;Patients;Performance;Personal Computers;Personal Power;Persons;Posture;Powered wheelchair;programs;Protocols documentation;recurrent neural network;relating to nervous system;Reporting;Reproducibility;Robotics;Rotation;Sample Size;Scientist;Self-Help Devices;Series;Signal Transduction;skill acquisition;Structure;success;System;Task Performances;Technology;Testing;Time;tool;Training;Translating;Universities;Validation;Variant;Weight;Work;,An Intracortical Brain-Computer Interface Model for High Efficiency Development of Closed-Loop Neural Decoding Algorithms,NarrativeBrain-computer interfaces are systems that translate the electrical neural signatures of thought into instructionsfor a personal computer or powered wheelchair; which is an incredibly useful technology to help paralyzedpeople regain some independence and ability to communicate. This work would develop a tool that scientistscan use to design; test; and optimize the sophisticated computer programs that translate brain signals intodevice instructions without having to implant electrodes into a person's brain until the program is completedand rigorously tested. This tool could increase the pace of discovery and development of brain-computerinterfaces.,NINDS,9995591,5-Jun-2020,PAR-18-206,5R01NS109257-02,5,R01,NS,109257,2,,"CHEN, DAOFEN",15-Aug-2019,31-May-2024,"Bioengineering of Neuroscience, Vision and Low Vision Technologies Study Section (BNVT) ",,9553574,"DANZIGER, ZACHARY C",Not Applicable,26,BIOMEDICAL ENGINEERING,71298814,US,25.775337,-80.209809,513809,FLORIDA INTERNATIONAL UNIVERSITY,MIAMI,FL,SCHOOLS OF ENGINEERING,33199-0001,UNITED STATES,,1-Jun-2020,31-May-2021,853,Research Projects,2020,NINDS,255905,71721,327626,
No NIH Category available.,Address;Archives;Bar Codes;base;biobank;Biological;cold temperature;Collaborations;commercialization;Computer software;Consumption;cost;design;Equipment;Equipment and supply inventories;Failure;falls;Freezing;Government regulations;Grant;Hour;Human;human error;Human Resources;Ice;Injections;Label;Liquid substance;Manuals;Methods;Modernization;Molds;Nitrogen;Persons;Phase;Procedures;Process;Production;prototype;Quality Control;Radiation;Reader;Reading;Reporting;robotic system;Robotics;Running;Sales;sample collection;Sampling;Semiconductors;Small Business Innovation Research Grant;Sterilization;success;System;Technology;Temperature;Testing;Time;Vial device;Work;,Radiation Sterilizable; RFID Tagged Vials for Biomedical Samples,Project NarrativeThe number of archived biological samples is very large and ever growing. Maintaining large collections ofthese samples is fraught with difculties arising from inadequate labeling technologies; the inability toautomatically locate the samples and a lack of robust connection between the physical sample and archivingsoftware. We propose to develop small; sterilizable RFID tags that can be built into modern sample vials andbring the advantages of electronic tracking to help reduce human errors; save cost; allow automatic locating ofsamples and will minimize the need to handle frozen samples.,OD,9844006,3-Jan-2020,PA-17-302,5R44OD020162-05,5,R44,OD,20162,5,,"CONTRERAS, MIGUEL A",1-Apr-2015,31-Dec-2020,Special Emphasis Panel (ZRG1-IMST-B (12)B),,8672072,"DAVIDOWITZ, HANAN ",Not Applicable,7,Unavailable,624875162,US,40.406234,-74.660186,10008893,"BIO TILLION, LLC",SKILLMAN,NJ,Domestic For-Profits,08558-2021,UNITED STATES,,1-Jan-2020,31-Dec-2020,351,SBIR-STTR,2020,OD,,,999280,
Bioengineering;Biotechnology;Brain Disorders;Genetics;Mental Health;Mental Illness;Neurosciences,Advanced Development;Algorithms;Architecture;assay development;autism spectrum disorder;Axon;base;Biogenesis;Bioinformatics;Biological;Biological Assay;biological research;Biological Response Modifier Therapy;Brain;Brain Diseases;Cell Line;Cell physiology;cell type;Cells;cheminformatics;Chimeric Proteins;Collection;Complex;Data;Defect;Dendrites;design;Development;Dose;Effectiveness;Equilibrium;Event;Failure;Family;flexibility;follow-up;Functional disorder;Generations;Genes;Genetic;Genetically Engineered Mouse;Goals;Health;high throughput screening;Image;Knowledge;Lead;Lesion;Libraries;Liquid substance;Literature;Longevity;Measures;Mediator of activation protein;Membrane Potentials;Mental disorders;Methodology;MicroRNAs;Mitochondria;mitochondrial dysfunction;Molecular;Molecular Target;Mood Disorders;Mus;nervous system disorder;Nervous System Physiology;Neuraxis;Neurobiology;Neurodegenerative Disorders;Neuroglia;Neurons;neuropsychiatric disorder;novel;novel strategies;novel therapeutics;Organelles;overexpression;Partner in relationship;Pharmaceutical Preparations;Phenotype;Physiology;Porifera;potency testing;Procedures;Process;protein degradation;Protein Import;Proteins;Psychiatric therapeutic procedure;Reporter;Research;Resources;response;RNA Interference;Robotics;scaffold;scale up;Schizophrenia;screening;small molecule;small molecule libraries;Speed;Structure;Surveys;System;Testing;Therapeutic;tool;Toxic effect;,Suite of high content assays for mitochondrial dynamics in neurons,PROJECT NARRATIVEThis project proposes a new approach for developing assays for mitochondrial dynamics in neurons; utilizingneurons isolated from genetically engineered mice that express a fluorescent protein targeted to mitochondria.The assay proposed is multiplexed; measuring multiple aspects of the dynamics that mitochondrial display inneurons and other cell types. Given that defects in mitochondrial dynamics and function are part of thepathophysiology of multiple brain disorders; the proposed assay offers enormous potential for discovering newprobes and lead compounds that may have therapeutic value.,NIMH,9717281,21-Jun-2019,PAR-15-066,5R01MH109957-04,5,R01,MH,109957,4,,"MICHELOTTI, ENRIQUE",13-Sep-2016,30-Jun-2021,Special Emphasis Panel (ZRG1-MDCN-P (57)R),,7353716,"DAVIS, RONALD L",Not Applicable,18,Unavailable,148230662,US,26.933813,-80.128954,10005569,SCRIPPS FLORIDA,JUPITER,FL,Research Institutes,33458-5284,UNITED STATES,,1-Jul-2019,30-Jun-2021,242,Research Projects,2019,NIMH,324378,298428,622806,
No NIH Category available.,active control;Acute;Address;Adult;American;base;Body Weight;Caring;Characteristics;Clinical;clinical implementation;Communities;cost;Data;design;Development;Devices;dosage;Effectiveness;Elements;Engineering;Environment;Equilibrium;Evidence based intervention;experience;experimental study;Failure;Fall prevention;fall risk;falls;fear of falling;follow-up;foot;Foundations;Future;Gait;gait rehabilitation;Goals;Human;improved;Incidence;Individual;Intervention;intervention effect;Investigation;kinematics;Knowledge;Leg;Link;Location;Locomotor training;Measures;Mechanics;Methods;Mind;Motion;motor control;motor learning;Movement;Neurologic;Neuromechanics;new technology;novel;Participant;patient subsets;Patients;Pattern;Population;Positioning Attribute;post stroke;prevent;prototype;Quality of life;Rehabilitation device;rehabilitation paradigm;Rehabilitation therapy;Research;response;restoration;Robot;robot assistance;robot rehabilitation;robotic device;Speed;Stroke;stroke intervention;stroke survivor;success;systematic review;Techniques;Testing;Therapeutic Intervention;Time;treadmill;Veterans;Walking;walking speed;Work;,A novel mechanics-based intervention to improve post-stroke gait stability,Every year; approximately 15;000 American Veterans experience a stroke; with an estimated cost of acute andfollow-up care in the hundreds of millions of dollars. Following a stroke; the restoration or improvement ofwalking is a high-ranking goal among patients; but only about half of the population is able to return to typicallevels of community ambulation. The resultant decrease in independent mobility is strongly associated with adecline in quality of life. Gait instability is a common contributor to limited mobility through either an increasedfall-risk or fear of falling; but current interventions to address post-stroke gait instability have had limitedsuccess. The proposed project will develop and conduct initial testing of a novel elastic force-field designed toimprove post-stroke gait stability through targeted motor learning. The results of these experiments will serveas the basis for the development of novel gait rehabilitation techniques; which have the potential to increasethe quality of life of thousands of Veterans and save millions of dollars.,VA,9823784,14-Nov-2019,RFA-RX-16-012,5I01RX002256-04,5,I01,VA,2256,4,,Unavailable,1-Jan-2017,31-Dec-2021,Rehabilitation Engineering & Prosthetics/Orthotics  (RRD5) ,,9947238,"DEAN, JESSE C.",Not Applicable,1,Unavailable,39807318,US,32.785074,-79.95378,481111,RALPH H JOHNSON VA MEDICAL CENTER,CHARLESTON,SC,Independent Hospitals,29401-5703,UNITED STATES,,1-Jan-2020,31-Dec-2020,999,Research Projects,2020,,,,,
No NIH Category available.,Address;advanced simulation;Applications Grants;Area;Athletic Injuries;Award;Biology;biomechanical model;Biomechanics;Biomedical Engineering;Cerebral Palsy;Clinical;Collaborations;Communities;Complement;computer science;Computer software;Data Set;Degenerative polyarthritis;design;Development;Educational workshop;Engineering;Event;experience;experimental study;Faculty;Fellowship;Fostering;Funding;Goals;Grant;Human;Impairment;improved;improved functioning;Individual;Infrastructure;innovation;International;Kinesiology;Limb structure;member;Methods;Mission;models and simulation;Movement;Muscle;Musculoskeletal;NCI Scholars Program;Neurosciences;online resource;Online Systems;open source;Performance;Physical therapy;Physically Handicapped;Physicians;Pilot Projects;predictive tools;Process;programs;Prosthesis;public health relevance;Publications;recruit;Rehabilitation Research;rehabilitation science;Rehabilitation therapy;Research;Research Personnel;Research Support;Resources;robot rehabilitation;robotic system;Running;Scientist;simulation;simulation software;Specialist;Spinal cord injury;Stroke;Students;Surgeon;Talents;Technology;technology development;tool;Training;Travel;Universities;Upper Extremity;Validation;visiting scholar;webinar;,National Center for Simulation in Rehabilitation Research,PUBLIC HEALTH RELEVANCE: This project will create state-of-the-art simulation software and highly accurate simulations of human movement and use these simulations to improve treatments for individuals with physical disabilities. Hundreds of researchers will contribute thei specialized expertise in muscle biology; neuroscience; bioengineering; computer science; and rehabilitation to identify the mechanisms by which physical impairments limit participation and provide a scientific basis for improving function.,NICHD,9729748,26-Jun-2019,RFA-HD-15-010,5P2CHD065690-10,5,P2C,HD,65690,10,,"NITKIN, RALPH M",17-Sep-2015,30-Jun-2021,Special Emphasis Panel (ZHD1-DSR-T (40)),,1896140,"DELP, SCOTT L",Not Applicable,18,BIOMEDICAL ENGINEERING,9214214,US,37.429038,-122.178178,8046501,STANFORD UNIVERSITY,STANFORD,CA,SCHOOLS OF MEDICINE,94305-2004,UNITED STATES,,1-Jul-2019,30-Jun-2021,865,Other Research-Related,2019,NIBIB,100000,0,100000,
