"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT04425941","Polyp Artificial Intelligence Study",,"Completed","No Results Available","Software Analysis on Polyp Histology Prediction","Other: artificial intelligence diagnosis","Software accuracy of polyp histology prediction","Petz Aladar County Teaching Hospital","All","18 Years to 90 Years   (Adult, Older Adult)",,"373","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","PetzACTHospital","January 5, 2014","May 31, 2020","May 31, 2020","June 11, 2020",,"June 11, 2020",,,"https://ClinicalTrials.gov/show/NCT04425941"
12,"NCT03917017","The Evaluation of Surgical Decisions and Prognosis of the Radiomics and Watson Artificial Intelligence in Patients With Hepatocellular Carcinoma",,"Recruiting","No Results Available","Liver Resection","Device: Radiomics and Watson artificial intelligence","Postoperative survival|Disease-free survival","Zhujiang Hospital","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","201901","January 1, 2019","December 31, 2024","December 31, 2024","April 16, 2019",,"April 16, 2019","Zhujiang Hospital of Southern Medical University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT03917017"
13,"NCT04040114","Improving Skin Cancer Management With Artificial Intelligence (04.17 SMARTI)","SMARTI","Recruiting","No Results Available","Skin Cancer|Melanoma (Skin)","Device: Molemap Skin Cancer Triage Artificial Intelligence Device","Diagnostic accuracy of the device when compared prospectively to a teledermatologist assesment|Diagnostic accuracy of the device when used prospectively as compared to a dermatologist assessment|Diagnostic accuracy of the device compared to teledermatologist, dermatologist and registrar using histopathology as 'gold standard' for any lesions biopsied.|Appropriate selection of lesions by registrar compared to specialist dermatologists|Appropriateness of management by registrar compared to specialist dermatologists and impact AI might have on this.","Melanoma and Skin Cancer Trials Limited|Molemap Australia Pty Ltd|Monash University, Melbourne","All","18 Years and older   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic","04.17","October 1, 2019","October 2020","October 2020","July 31, 2019",,"October 2, 2019","The Alfred- Victorian Melanoma Service, Melbourne, Victoria, Australia|Skin & Cancer Foundation Inc., Melbourne, Victoria, Australia",,"https://ClinicalTrials.gov/show/NCT04040114"
14,"NCT04271657","RadioPathomics Artificial Intelligence Model to Predict nCRT Response in Locally Advanced Rectal Cancer","RPAI-pCR","Recruiting","No Results Available","Rectal Cancer",,"The prediction accuracy of the radiopathomics artificial intelligence model|The specificity of the radiopathomics artificial intelligence model|The sensitivity of the radiopathomics artificial intelligence model|The area under curve (AUC) of Receiver Operating Characteristic (ROC) curves of the radiopathomics artificial intelligence model","Sixth Affiliated Hospital, Sun Yat-sen University|The Third Affiliated Hospital of Kunming Medical College.|Sir Run Run Shaw Hospital","All","18 Years to 75 Years   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Other|Time Perspective: Prospective","RPAI-pCR2020","January 10, 2020","July 2020","December 2020","February 17, 2020",,"February 17, 2020","the Sixth Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China|The Third Affiliated Hospital of Kunming Medical College, Kunming, Yunnan, China|Sir Run Run Shaw Hospital, Hangzhou, Zhejiang, China",,"https://ClinicalTrials.gov/show/NCT04271657"
15,"NCT04273451","RadioPathomics Artificial Intelligence Model to Predict Tumor Regression Grading in Locally Advanced Rectal Cancer","RPAI-TRG","Recruiting","No Results Available","Rectal Cancer",,"The prediction accuracy of the radiopathomics artificial intelligence model|The specificity of the radiopathomics artificial intelligence model|The sensitivity of the radiopathomics artificial intelligence model|The F1 score of the radiopathomics artificial intelligence model","Sixth Affiliated Hospital, Sun Yat-sen University|The Third Affiliated Hospital of Kunming Medical College.|Sir Run Run Shaw Hospital","All","18 Years to 75 Years   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Other|Time Perspective: Prospective","RPAI-TRG2020","January 10, 2020","July 2020","December 2020","February 18, 2020",,"February 18, 2020","the Sixth Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China|The Third Affiliated Hospital of Kunming Medical College, Kunming, Yunnan, China|Sir Run Run Shaw Hospital, Hangzhou, Zhejiang, China",,"https://ClinicalTrials.gov/show/NCT04273451"
16,"NCT04136236","Automatic Diagnosis of Early Esophageal Squamous Neoplasia Using pCLE With AI",,"Recruiting","No Results Available","Esophageal Neoplasms|Artificial Intelligence|Confocal Laser Endomicroscopy","Diagnostic Test: The diagnosis of Artificial Intelligence and endoscopist","The diagnosis efficiency of Artificial Intelligence|Contrast the diagnosis efficiency of Artificial Intelligence with endoscopists","Shandong University","All","18 Years to 80 Years   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Cohort|Time Perspective: Other","2019SDU-QILU-66","August 1, 2019","December 1, 2019","December 1, 2019","October 23, 2019",,"October 23, 2019","Qilu Hospital, Shandong University, Jinan, Shandong, China",,"https://ClinicalTrials.gov/show/NCT04136236"
17,"NCT04214782","Detection of Ovarian Cancer Using an Artificial Intelligence Enabled Transvaginal Ultrasound Imaging Algorithm",,"Not yet recruiting","No Results Available","Ovarian Cancer","Diagnostic Test: Artificial Intelligence Enabled Transvaginal Ultrasound Imaging algorithm","diagnostic accuracy|time cost for Transvaginal Ultrasound image interpretation","Tongji Hospital|Hubei Cancer Hospital|Qilu Hospital of Shandong University|Henan Cancer Hospital|Xiangyang Central Hospital|The First People's Hospital of Jingzhou|First Affiliated Hospital, Sun Yat-Sen University","Female","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","10000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Diagnostic","2019-TJ-OVAB","January 1, 2020","January 1, 2022","January 1, 2024","January 2, 2020",,"January 2, 2020",,,"https://ClinicalTrials.gov/show/NCT04214782"
18,"NCT04260321","The AID Study 2: Artificial Intelligence for Colorectal Adenoma Detection 2",,"Recruiting","No Results Available","Colon Cancer","Device: AI","Non-inferiority of AI-aided colonoscopy in terms of ADR","Istituto Clinico Humanitas","All","40 Years to 80 Years   (Adult, Older Adult)",,"700","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2363-2","February 19, 2020","December 31, 2020","December 31, 2020","February 7, 2020",,"June 16, 2020","Fondazione Poliambulanza, Brescia, Italia, Italy|Endoscopy Unit, Humanitas Research Hospital, Rozzano, Milano, Italy|Ospedale Valduce, Como, Italy|Digestive Endoscopy Unit, Nuovo Regina Margherita Hospital, Rome, Italy|Ente Ospedaliero Cantonale, Ospedale Italiano, Lugano, Switzerland",,"https://ClinicalTrials.gov/show/NCT04260321"
19,"NCT03700268","Programming Cochlear Implant With Artificial Intelligence","CI_AI","Recruiting","No Results Available","Deafness; Perception","Other: Manual intervention to programme Cochlear Implant electrodes","Evaluate Fox software efficiency","Cliniques universitaires Saint-Luc- Université Catholique de Louvain","All","18 Years and older   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2017/04SEP/427|2017/13OCT/480","September 4, 2017","September 2020","September 2021","October 9, 2018",,"October 9, 2018","Cliniques Universitaires Saint-Luc, Brussels, Belgium",,"https://ClinicalTrials.gov/show/NCT03700268"
20,"NCT04203264","Real-Time Identification System of Magnetically Controlled Capsule Endoscopy Using Artificial Intelligence",,"Recruiting","No Results Available","Capsule Endoscopy","Diagnostic Test: Real-time artificial intelligence identification system","Sensitivity|Delay time|Specificity|Accuracy of anatomic landmarks identification|Completeness of real-time observation with assistance|Accuracy of heat map|Lesion detection yield","Changhai Hospital","All","18 Years to 80 Years   (Adult, Older Adult)",,"50","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20190411A","December 16, 2019","January 1, 2020","January 1, 2020","December 18, 2019",,"December 18, 2019","Changhai Hospital, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04203264"
21,"NCT04378660","Artificial Intelligence (AI) Validation Study for Polyp Detection",,"Completed","No Results Available","Polyp of Colon","Diagnostic Test: Artificial intelligence for polyp detection","Diagnostic accuracy of the novel AI system compared to endoscopic diagnosis as gold standard|Endoscopist's polyp miss rate as number of extra AI detections","Universitaire Ziekenhuizen Leuven|Nuovo Regina Margherita Hospital, Rome, Italy|Universitäts Medizin, Mainz, Germany","All","16 Years and older   (Child, Adult, Older Adult)","Not Applicable","357","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","s59405","October 30, 2019","April 18, 2020","April 18, 2020","May 7, 2020",,"May 7, 2020","University Hospitals Leuven, Leuven, Vlaams-Brabant, Belgium","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/60/NCT04378660/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/60/NCT04378660/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT04378660"
22,"NCT03622281","Quality Improvement Intervention in Colonoscopy Using Artificial Intelligence",,"Completed","No Results Available","Quality Control|Artificial Intelligence|Colonoscopy","Other: quality improvement intervention using artificial intelligence","Adenoma detection rate","Shandong University","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","676","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Health Services Research","2018SDU-QILU-716","October 20, 2018","May 31, 2019","May 31, 2019","August 9, 2018",,"February 12, 2020","Department of Gastroenterology, Qilu Hospital, Shandong University, Jinan, Shandong, China",,"https://ClinicalTrials.gov/show/NCT03622281"
23,"NCT04196088","To Compare Artificial Intelligence Software Aided Adenoma Detection in Screening Colonoscopies Versus Standard Colonoscopy Without Artificial Intelligence Software Assistance in Participants Between 50 and 75 Years of Age","AIDA","Recruiting","No Results Available","Colorectal Adenoma|Colorectal Polyp|Colorectal Adenocarcinoma|Colorectal SSA","Device: Ultivision Artificial Intelligence Software|Device: No Artificial Intelligence Software enhancement","Overall adenoma detection using Ultivision AI software in subjects undergoing screening standard high definition white light colonoscopy (SHDWLC) versus screening SHDWLC without AI.|Adenoma detection rate using Ultivision AI software in subjects undergoing screening standard high definition white light colonoscopy (SHDWLC) versus screening SHDWLC without AI.|Adenomas per extraction (APE) ratio using Ultivision AI software in subjects undergoing screening standard high definition white light colonoscopy (SHDWLC) versus screening SHDWLC without AI.","Docbot, Inc.","All","50 Years to 75 Years   (Adult, Older Adult)","Not Applicable","978","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Screening","Docbot AIDA: Ultivision_002","June 11, 2020","November 2020","December 2020","December 12, 2019",,"June 30, 2020","Gastro Health, Birmingham, Alabama, United States|Kansas City Veterans Administration, Kansas City, Kansas, United States|Capital Digestive Care, Chevy Chase, Maryland, United States|Gastrointestinal & Liver Specialists of Tidewater, PLLC, Norfolk, Virginia, United States|Wisconsin GI Associates, Milwaukee, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04196088"
24,"NCT04071678","A Randomized Controlled Multicenter Study of Artificial Intelligence Assisted Digestive Endoscopy",,"Recruiting","No Results Available","Artificial Intelligence","Behavioral: Careful examination during endoscopic procedures to identify lesions","Changes of detection rate of digestive tract lesions assisted by artificial intelligence gastroenteroscopy|The accuracy of AI-assisted diagnostic model evaluating the intestinal readiness score","Second Affiliated Hospital, School of Medicine, Zhejiang University","All","18 Years and older   (Adult, Older Adult)",,"3600","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","研2019-262","August 1, 2019","August 1, 2021","December 30, 2021","August 28, 2019",,"October 22, 2019","Cai J Ting, Hangzhou, Zhejiang, China",,"https://ClinicalTrials.gov/show/NCT04071678"
25,"NCT04359355","Computer-aided Detection of Colorectal Polyps",,"Recruiting","No Results Available","Adenoma Colon|Polyp of Colon","Device: Artificial Intelligence System for Detection of colorectal polyps","Feasibility to use the AI System in vivo during colonoscopy|Diagnostic Performance of the AI System for detecting colorectal polyps","University of Erlangen-Nürnberg Medical School","All","18 Years to 85 Years   (Adult, Older Adult)",,"40","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CAID","January 1, 2020","April 30, 2020","May 31, 2020","April 24, 2020",,"April 24, 2020","University Hospital Erlangen, Erlangen, Germany",,"https://ClinicalTrials.gov/show/NCT04359355"
26,"NCT04227795","AI-assisted Detection of Missed Colonic Polyps",,"Completed","No Results Available","Colon Adenoma|Colonic Polyp|Colon Cancer","Device: Artificial intelligence-Assisted real time colonoscopy","Adenoma miss rate|Total number of adenoma missed|Colonic polyp miss rate|Total number of missed polyps","The University of Hong Kong","All","40 Years to 90 Years   (Adult, Older Adult)","Not Applicable","52","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","UW 19-309","January 1, 2020","February 1, 2020","March 1, 2020","January 14, 2020",,"March 4, 2020","Queen Mary Hospital, Hong Kong, Hong Kong",,"https://ClinicalTrials.gov/show/NCT04227795"
27,"NCT04255615","Use of Artificial Intelligence for Clinical Assessment of Assisted Reproductive Techniques and IVF Outcomes","AI in ART","Suspended","No Results Available","Infertility|in Vitro Fertilization (IVF)|ART","Other: AI to analyze 3 D ultrasound","Number of baseline antral follicle count|Number of retrieved oocytes|Number of mature oocytes|Number of multiple gestation|Number of clinical intrauterine pregnancies IVF|Number of clinical intrauterine pregnancies OI","Weill Medical College of Cornell University","All","18 Years to 48 Years   (Adult)","Not Applicable","2000","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","19-06020306","February 12, 2020","January 31, 2022","January 31, 2023","February 5, 2020",,"April 2, 2020","Weill Cornell Medicine, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04255615"
28,"NCT03787784","Automatic Classification of Colorectal Polyps Using Probe-based Endomicroscopy With Artificial Intelligence",,"Recruiting","No Results Available","Probe-based Confocal Laser Endomicroscopy|Artificial Intelligence|Colorectal Polyps","Other: AI presentation","The accuracy of classifying colorectal Polyps using Probe-based endomicroscopy with deep neural networks|Contrast the diagnosis efficiency of Artificial Intelligence with endoscopists","Shandong University","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Diagnostic","2018SDU-QILU-8","May 1, 2018","January 30, 2019","March 30, 2019","December 26, 2018",,"December 26, 2018","Endoscopic unit of Qilu Hospital Shandong University, Jinan, Shandong, China",,"https://ClinicalTrials.gov/show/NCT03787784"
29,"NCT04079478","The AID Study: Artificial Intelligence for Colorectal Adenoma Detection","AID","Completed","No Results Available","Colon Cancer","Other: AI","Additional diagnostic yield obtained by AI-aided colonoscopy to the yield obtained by the Standard (high-definition) colonoscopy","Istituto Clinico Humanitas","All","40 Years to 80 Years   (Adult, Older Adult)",,"700","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2363","September 25, 2019","December 31, 2019","December 31, 2019","September 6, 2019",,"February 12, 2020","Endoscopy Unit, Humanitas Research Hospital, Rozzano, Milano, Italy",,"https://ClinicalTrials.gov/show/NCT04079478"
30,"NCT04399590","Comparing the Number of False Activations Between Two Artificial Intelligence CADe Systems: the NOISE Study","NOISE","Not yet recruiting","No Results Available","Artificial Intelligence","Other: Interficial Intelligence","To evaluate the cause of False Positives (FPs) signals, their frequenTocy and time rate, on two different CAD systems: CADe (GI Genius, Medtronic) and CADe/CADx (CAD EYE, Fujifilm) and report a comparison among the two","Istituto Clinico Humanitas","All","18 Years and older   (Adult, Older Adult)",,"40","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2598","June 30, 2020","September 30, 2020","September 30, 2020","May 22, 2020",,"June 22, 2020","Endoscopy Unit, Humanitas Research Hospital, Rozzano, Milano, Italy",,"https://ClinicalTrials.gov/show/NCT04399590"
31,"NCT04275609","The Efficiency of Writing Endoscopic Reports by Artificial Intelligence and Physicians: a Randomized Controlled Trial",,"Not yet recruiting","No Results Available","Gastrointestinal Disease","Other: AI generated report|Other: physicians writing report","The time spent writing reports","Shandong University","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic","2020SDU-QILU-G002","February 20, 2020","March 20, 2020","March 30, 2020","February 19, 2020",,"February 19, 2020",,,"https://ClinicalTrials.gov/show/NCT04275609"
32,"NCT03899623","Multi-modal Imaging and Artificial Intelligence Diagnostic System for Multi-level Clinical Application",,"Recruiting","No Results Available","Diabete Mellitus|Diabetic Retinopathy",,"The diagnostic sensitivity, specificity and ROC curve of the artificial intelligence（AI） system compared with reference standard (ophthalmologist).","Zhongshan Ophthalmic Center, Sun Yat-sen University","All","Child, Adult, Older Adult",,"3000","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","2017KYPJ104","April 23, 2018","December 31, 2019","December 31, 2019","April 2, 2019",,"April 2, 2019","Zhongshan Opthalmic Center, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT03899623"
33,"NCT04022018","Study on Adaptive Radiotherapy and Multimodal Information of Cervical Cancer Assisted by Artificial Intelligence","SOARAMIOCC","Recruiting","No Results Available","Cervical Cancer|Radiotherapy Side Effect|Biomarker|Artificial Intelligence","Radiation: Adaptive radiotherapy|Radiation: no adaptive radiotherapy","the difference in grade 3 side effects between the two groups|2-year PFS differences between the two groups|2-year OS differences between the two groups|the correlation between physical dosimetry differences and prognosis|the predictive factors for the response rate of concurrent chemoradiotherapy for cervical cancer|the prognostic factors for the 2-year overall survival rate of patients with cervical cancer after concurrent chemoradiotherapy|the time difference between labor and an artificial intelligence to design radiotherapy plans","The University of Hong Kong-Shenzhen Hospital","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","122","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","hkuszh2019119","December 18, 2019","May 30, 2022","May 30, 2022","July 16, 2019",,"March 27, 2020","HongKong University Shenzhen Hospital, Shenzhen, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04022018"
34,"NCT04294355","AI-assisted Colonoscopy on Detection of Missed Proximal Lesions",,"Not yet recruiting","No Results Available","Colon Adenoma|Colon Polyp","Device: Artificial intelligence-Assisted colonoscopy|Procedure: Conventional colonoscopy","Proximal adenoma missed rate|Proximal polyp missed rate|Proximal adenoma detection rate|Proximal polyp detection","The University of Hong Kong|Tan Tock Seng Hospital|The University of Hong Kong-Shenzhen Hospital|Chongqing University Cancer Hospital|Hanoi Medical University","All","40 Years and older   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Diagnostic","UW 19-713","May 1, 2020","April 1, 2021","July 1, 2021","March 4, 2020",,"March 4, 2020",,,"https://ClinicalTrials.gov/show/NCT04294355"
