"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
21,"NCT04320251","Tissue Growth Characterization for Cochlear Implant Users",,"Enrolling by invitation","No Results Available","Cochlear Implant","Procedure: cochlear implant revision surgery","Tissue growth","Vanderbilt University Medical Center","All","18 Years and older   (Adult, Older Adult)","Not Applicable","24","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","192257","June 1, 2020","January 9, 2023","January 9, 2023","March 24, 2020",,"May 5, 2020","Vanderbilt University Medical Center, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT04320251"
22,"NCT04036903","D-Lung: An Analytics Platform for Lung Cancer Based on Deep Learning Technology",,"Recruiting","No Results Available","Lung Cancer","Radiation: computed tomography","accuracy|sensitivity|specificity|area under curve (AUC)|average number of false positives per scan (FPs/scan)|competition performance metric (CPM)","Chinese University of Hong Kong|Department of Computer Science & Engineering, CUHK","All","Child, Adult, Older Adult",,"500","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","2019.316","August 16, 2019","June 2020","December 2021","July 30, 2019",,"October 23, 2019","The Chinese University of Hong Kong, Prince of Wale Hospital, Hong Kong, Shatin, Hong Kong",,"https://ClinicalTrials.gov/show/NCT04036903"
23,"NCT03336411","A Personalized Diet Study to Reduce Glycemic Exposure",,"Recruiting","No Results Available","Pre-diabetes|Overweight and Obesity","Behavioral: mHealth|Behavioral: Personalized mHealth","Body weight, percent change|Body Composition|Metabolic Adaptation|Weight regain","NYU Langone Health|American Heart Association|Weizmann Institute of Science","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","17-00741","December 12, 2017","October 2020","May 2021","November 8, 2017",,"May 29, 2020","New York University School of Medicine, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT03336411"
24,"NCT04322487","Simple, Safe, Same: Lung Ultrasound for COVID-19","LUSCOVID19","Recruiting","No Results Available","Coronavirus|Epidemic Disease|Pneumonia, Viral","Diagnostic Test: Lung ultrasound","Lung ultrasound grading system for COVID-19 pneumonia","Catholic University of the Sacred Heart|Valle del Serchio General Hospital, Lucca, Italy|University of Trento, Trento, Italy|Fondazione IRCCS Policlinico San Matteo, University of Pavia, Pavia, Italy|Bresciamed, Brescia, Italy|118 USL Nordovest Toscana, Lucca, Italy|General Hospital, Voghera, Italy|Lodi General Hospital, Lodi, Italy","All","Child, Adult, Older Adult",,"100","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","0013226/20","April 8, 2020","December 31, 2020","January 15, 2021","March 26, 2020",,"April 17, 2020","Bresciamed, Brescia, Italy|Pulmonary Medicine Unit, Lodi General Hospital, Lodi, Italy|118 USL Nordovest Toscana, Lucca, Italy|Diagnostic and Interventional Ultrasound Unit, Valle del Serchio General Hospital, Lucca, Italy|Emergency Department, Fondazione IRCCS Policlinico San Matteo, and Department of Internal Medicine and Therapeutics, University of Pavia, Pavia, Italy|Department of woman and child health and public health, Fondazione Policlinico Universitario A. Gemelli IRCCS, Roma, Italy|Pulmonary Medicine Unit, Dept. Medical and Surgical Sciences, Fondazione Policlinico Universitario A. Gemelli IRCCS, Roma, Italy|Department of Information Engineering and Computer Science, Ultrasound Laboratory Trento, University of Trento, Trento, Italy|Emergency Medicine Unit, General Hospital, Voghera, Italy",,"https://ClinicalTrials.gov/show/NCT04322487"
25,"NCT03266224","Digital Analysis of Ultrasonographic Images in Children With Wry Neck",,"Completed","No Results Available","Torticollis Congenital|Wryneck",,"cervical passive range of motion|Area in cm^2|Brightness of echogenicity in %|max Feret's diameter in cm|min Feret's diameter in cm","Chang Gung Memorial Hospital","All","up to 12 Months   (Child)",,"29","Other","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","100-3793A3","April 30, 2013","August 15, 2015","August 15, 2015","August 30, 2017",,"August 31, 2017",,,"https://ClinicalTrials.gov/show/NCT03266224"
26,"NCT02385643","The Efficacy of A Smartphone-based Support System to Reinforce Alcohol Abstinence in Treatment-seeking Patients",,"Unknown status","No Results Available","Alcohol Dependence","Behavioral: SmartPhone Support System","Time to first lapse|Time to first relapse|Cumulative abstinence days|Number of drinks per drinking days|VAS craving measurement|complete abstinence rate|Drop-out rate","Ming-Chyi Huang|Taipei City Hospital","All","20 Years to 65 Years   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MOST 103-2628-B-532 -001 -MY3","September 2013","July 2017","July 2017","March 11, 2015",,"March 11, 2015","Ming-Chyi, Taipei, Taiwan",,"https://ClinicalTrials.gov/show/NCT02385643"
27,"NCT04342234","Neural Network to Calculate Morphology of the Cleft Palate to Reduce Cleft Lip and Palate Treatment Burden.",,"Recruiting","No Results Available","Cleft Palate|Orofacial Cleft","Other: data collection of palatal casts and palatal images of cleft patients routinely treated at the institution","3D palatal geometry","University Hospital, Basel, Switzerland|Botnar Research Centre for Child Health (BRCCH)|sciCORE Basel|Department of Computer Science, Computer Graphics Laboratory, ETH Zurich","All","Child, Adult, Older Adult",,"450","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2020-00388; ch19Mueller2","March 5, 2020","December 2025","December 2025","April 10, 2020",,"April 15, 2020","Mund-, Kiefer- und Gesichtschirurgie, Universitätsspital Basel, Basel, Switzerland",,"https://ClinicalTrials.gov/show/NCT04342234"
28,"NCT03549806","Stanford Cardiac Invasive Electrophysiology Novel Computer Experience","SCIENCE","Recruiting","No Results Available","Atrial Fibrillation|Atrial Tachycardia|Atrial Flutter|Arrhythmias, Cardiac","Diagnostic Test: No Intervention. Test is computer algorithm.","Reduction in AF burden on follow-up|Freedom from arrhythmia on follow-up|Clinical status as measured by the EQ5D","Stanford University","All","21 Years to 80 Years   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","SCIENCE","June 21, 2018","June 30, 2020","June 30, 2021","June 8, 2018",,"September 19, 2019","Stanford Hospital, Stanford, California, United States",,"https://ClinicalTrials.gov/show/NCT03549806"
29,"NCT02404194","Targeted Cognitive Training in Clinical High Risk (CHR) for Psychosis",,"Recruiting","No Results Available","Clinical High Risk for Psychosis","Behavioral: Targeted Cognitive Training|Behavioral: Computer Games","Measurement and Treatment Research to Improve Cognition in Schizophrenia (MATRICS) Consensus Cognitive Battery|Global Function: Social and Role Scales","Rush University Medical Center|Harvard Medical School|Beth Israel Deaconess Medical Center|National Institute of Mental Health (NIMH)","All","15 Years to 30 Years   (Child, Adult)","Not Applicable","76","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","MH105246|R01MH105246","March 2015","September 2019",,"March 31, 2015",,"March 19, 2019","Rush University Medical Center, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT02404194"
30,"NCT02734550","(1,3)-β-D-glucan Based Diagnosis of Invasive Candida Infection in Sepsis","CandiSep","Completed","No Results Available","Severe Sepsis|Septic Shock","Other: Standard of care|Other: (1,3)-β-D-glucan guided therapy","28 day mortality|28 day antifungal-free survival|Candida Colonization|Time to antifungal therapy|Duration of organ support|Mean total SOFA score|ICU and hospital length of stay|ICU and hospital mortality|Adverse events|Diagnostic performance of (1,3)-β-D-glucan in comparison to PCR and other experimental diagnostics|Pharmacoeconomics","Center for Sepsis Control and Care, Germany|Center for Clinical Studies, University Hospital Jena, Germany|Dept. of Microbiology, University Hospital Erlangen, Germany|Institute of Medical Statistics, Computer Sciences and Documentation, University Hospital Jena, Germany|Federal Ministry of Education and Research, Berlin, Germany|Associates of Cape Cod, Inc., East Falmouth, MA, USA","All","18 Years and older   (Adult, Older Adult)","Not Applicable","342","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","ZKSJ0087|01EO1502|U1111-1181-8724|DRKS00010285","September 12, 2016","August 22, 2019","September 17, 2019","April 12, 2016",,"December 20, 2019","Hospital Augsburg, Augsburg, Germany|HELIOS Klinikum Bad Saarow, Bad Saarow, Germany|University Hospital Bonn, Bonn, Germany|Hospital Emden, Emden, Germany|University Hospital Erlangen, Erlangen, Germany|University Hospital Frankfurt, Frankfurt, Germany|University Hospital Göttingen, Gottingen, Germany|University Hospital Greifswald, Greifswald, Germany|University Hospital Halle, Halle, Germany|University Hospital Hamburg-Eppendorf, Hamburg, Germany|University Hospital Heidelberg, Heidelberg, Germany|Jena University Hospital, Jena, Germany|University Hospital Schleswig-Holstein, Kiel, Germany|University Hospital Leipzig, Leipzig, Germany|University Hospital Münster, Münster, Germany|Hospital Oldenburg, Oldenburg, Germany|Diakonie Klinikum, Siegen, Germany|University Hospital Würzburg, Würzburg, Germany",,"https://ClinicalTrials.gov/show/NCT02734550"
31,"NCT01269775","Comparison of Face to Face Lecture, Interactive Internet Based and Computer Based Teaching",,"Completed","No Results Available","3rd Year Medical School's Students","Other: Teaching Methods",,"Tehran University of Medical Sciences","All","Child, Adult, Older Adult","Early Phase 1","84","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)","10764","June 2010","July 2010","July 2010","January 4, 2011",,"January 4, 2011","Tehran University of Medical Sciences, Tehran, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT01269775"
32,"NCT01406106","Effect of Plant Sterols on the Lipid Profile of Patients With Hypercholesterolaemia",,"Unknown status","No Results Available","Hypercholesterolemia","Dietary Supplement: Plant stanol esters","Change in lipid profile|Change in cardiovascular risk|Adherence to the dairy product (liquid yoghurt)|Adverse events|Adherence to the dietary recommendations|Frequency of food intake|Occurrence of cardiovascular events|Weight, height, body mass index (BMI)|Physical activity|Smoking habit|Systolic and diastolic blood pressure (two measurements):|Health problems|Lipid-lowering pharmacological treatment.|Socio-demographic data","Gerencia de Atención Primaria, Albacete|Fundación para la Investigación Sanitaria en Castilla-La Mancha (FISCAM)|Castilla-La Mancha Health Research Foundation.","All","18 Years and older   (Adult, Older Adult)","Not Applicable","182","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2009/001","January 2010","December 2011","December 2012","July 29, 2011",,"July 29, 2011",,,"https://ClinicalTrials.gov/show/NCT01406106"
33,"NCT03996083","Multicomponent Exercise vs Walking Intervention in Nursing Home Residents","MCvsW","Completed","No Results Available","Aging","Other: Multicomponent exercise intervention|Other: Walking intervention","Short Physical Performance Battery|Senior Fitness Test: strength of the upper extremities|Senior Fitness Test: strength of the lower extremities|Senior Fitness Test: flexibility|Senior Fitness Test: dynamic balance|Senior Fitness Test: aerobic capacity|The Berg Balance Scale|Usual gait speed (4m)|The instrumented Timed Up and Go test|Objectively measured habitual physical activity|Montreal Cognitive Assessment test|Rey Auditory Verbal Learning Test|Anxiety and Depression Goldberg Scale|Quality of Life Alzheimer´s disease scale|de Jong Gierveld loneliness scale|Handgrip strength|Anthropometric measurements: Height|Anthropometric measurements: weight|Anthropometric measurements: perimeters|Frailty Tilburg|Frailty Fried|Falls|Deaths","Basque Country University","All","70 Years and older   (Older Adult)","Not Applicable","81","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Other","2019","February 1, 2018","April 1, 2019","May 1, 2019","June 24, 2019",,"June 24, 2019","Basque Country, Leioa, Bizkaia, Spain",,"https://ClinicalTrials.gov/show/NCT03996083"
34,"NCT03388918","Future Patient - Telerehabilitation of Heart Failure Patients",,"Unknown status","No Results Available","Heart Failure NYHA Class I|Heart Failure NYHA Class II|Heart Failure NYHA Class III|Heart Failure NYHA Class IV|Acute Decompensated Heart Failure","Device: Telerehabilitation","Increased quality of life|Time from baseline to optimized medical treatment|All cause hospitalization|Steps taken|Development of bloodpressure|Development of pulse|Development of weight|Sleep|Illness perception|Motivation|Anxiety and depression|Health- literacy|eHealth literacy|Experiences of using the Heart portal|Costs of healthcare and rehabilitation services","Aalborg University|Aage og Johanne Louis-Hansens Fond|Viewcare A/S|Laboratory of Welfare Technologies – Telehealth & Telerehabilitation, SMI, Department of Health Science and Technology, Aalborg University|Regionshospitalet Viborg, Skive|Technical University of Denmark|University of Aarhus|Danish Heart Foundation|Viborg Healthcare Center|Skive Healthcare Center|CIMT, Odense University Hospital, Odense|Department of Computer Science, AAU","All","18 Years and older   (Adult, Older Adult)","Not Applicable","140","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","N-20160055","December 21, 2016","July 1, 2019","July 1, 2019","January 3, 2018",,"January 3, 2018","Cardiology Ward, Viborg Hospital, Viborg, Denmark",,"https://ClinicalTrials.gov/show/NCT03388918"
