"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT02879591","Enhancing Social Interaction With an AlterEgo Artificial Agent","ALTEREGO","Unknown status","No Results Available","Schizophrenia","Other: Social Skills training with Avatar therapist","number of patient enhancing social intercation|number of patient accepting avatar therapy|questionnaire for Faisability of avatar therapy","University Hospital, Montpellier|Université Montpellier|Ecole Polytechnique Fédérale de Lausanne|University of Bristol|DEUTSCHES FORSCHUNGSZENTRUM FUER KUENSTLICHE","All","18 Years to 60 Years   (Adult)","Not Applicable","246","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)","U 9038","April 2014","September 2016","September 2016","August 25, 2016",,"August 25, 2016","Service Universitaire de psychiatrie adulte, University Hospital of Montpellier, Montpellier, France",,"https://ClinicalTrials.gov/show/NCT02879591"
12,"NCT02243670","Using Artificial Intelligence To Monitor Medication Adherence in Opioid Replacement Therapy",,"Completed","No Results Available","Opiate Addiction|Medication Non-adherence|Addiction|Opioid Dependence","Device: AiCure monitoring and intervention","To evaluate the feasibility and acceptability to participants and study staff in using AiCure to monitor medication adherence.|To evaluate the acceptability of using AiCure to optimize care pathways.|To measure the reliability and validity of AiCure in detecting interruptions in treatment.|The degree of participant maximum craving (during the 24 hour period prior to the study visit) for opioids as measured by the Brief Substance Craving Scale (BSCS).|The change in participant's psychosocial well being over time as measured by the seven subscales of the Addiction Severity Index (ASI).","AiCure|Orexo AB|Montefiore Medical Center","All","18 Years and older   (Adult, Older Adult)","Not Applicable","9","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AIC-HHSN271201300036C-01|HHSN271201300036C","August 2016","March 2017","March 2017","September 18, 2014",,"September 12, 2017","Montefiore Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT02243670"
13,"NCT04220242","Future of Colorectal Cancer Surgery","FOCCuS1","Recruiting","No Results Available","Colorectal Cancer|Surgery","Other: Video recordings with analysis thereafter applied|Other: Examination of microsections of tissue excised for the purposes of cancer resection|Other: Cancer organoid development and testing","Video recordings of Colorectal Cancer.|Analysis of video recordings|Biophysics visualisation software development|Biophysics model training|Validation of predictive accuracy biophysics-visualisation model|Coefficients of Variation|Microscopic Map of intratumoral fluorophore accumulation|Realtime delineation display of tumour area including margins","Mater Misericordiae University Hospital|Royal College of Surgeons, Ireland|IBM Research In Ireland","All","18 Years and older   (Adult, Older Adult)",,"250","Other","Observational","Observational Model: Cohort|Time Perspective: Other","DT 2018 0240","December 30, 2019","December 1, 2022","March 1, 2023","January 7, 2020",,"January 7, 2020","Mater Misericordiae University Hospital, Dublin, Other (Non U.s.), Ireland",,"https://ClinicalTrials.gov/show/NCT04220242"
14,"NCT02546063","Carbohydrate Estimation Supported by the GoCARB System",,"Completed","No Results Available","Diabetes Mellitus, Type 1|Carbohydrates","Other: Smartphone App","Average of the postprandial area under the glucose curve (AUC) measured over three hours after each meal's start using Continuous Glucose Monitoring|Composite of insulin-related parameters|Glucose-related parameters|Daily nutritional behavior in individuals with T1D|User satisfaction","University Hospital Inselspital, Berne","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)","100/15","August 2015","December 2015","December 2015","September 10, 2015",,"August 10, 2016","Division of Endocrinology, Diabetes and Clinical Nutrition, Bern University Hospital, Bern, Switzerland",,"https://ClinicalTrials.gov/show/NCT02546063"
15,"NCT03955614","Intelligent Operating Room","inOr","Recruiting","No Results Available","Surgery","Other: pedal-controlled GoSurgeryTM|Other: ML-controlled GoSurgeryTM|Other: NoGo","Does GosurgeryTM affect teamwork?|Does GoSurgeryTM affect surgical training overtime?|Does GoSurgeryTM affect delays in the operating theatre?|Does GoSUrgeryTM affect mental demand overtime when operating?|Does GoSurgeryTM affect operative timings?|Does GoSurgeryTM affect patient outcomes (the presence of complications )?|Does GoSurgeryTM affect patient outcomes (duration of hospital stay)?|How does GosurgeryTM affect team performance?|Evaluation of the Machine Learning algorithm to correctly detect operative steps of the procedures.|Does GoSurgeryTM influence cost of wasted equipment?","Imperial College London","All","18 Years and older   (Adult, Older Adult)","Not Applicable","150","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","19SM4984","October 4, 2019","October 2020","October 2020","May 20, 2019",,"October 10, 2019","Imperial College Hospitals NHS Trust, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03955614"
16,"NCT01387581","Does the Aid of MelaFind Affect Clinical Management Decisions",,"Completed","Has Results","Melanoma",,"Sensitivity|Specificity","MELA Sciences, Inc.","All","Child, Adult, Older Adult",,"227","Industry","Observational","Observational Model: Case Control|Time Perspective: Prospective","20101","October 2011","March 2012","March 2012","July 4, 2011","November 14, 2014","November 14, 2014","MELA Sciences, Irvington, New York, United States",,"https://ClinicalTrials.gov/show/NCT01387581"
17,"NCT04079478","The AID Study: Artificial Intelligence for Colorectal Adenoma Detection","AID","Completed","No Results Available","Colon Cancer","Other: AI","Additional diagnostic yield obtained by AI-aided colonoscopy to the yield obtained by the Standard (high-definition) colonoscopy","Istituto Clinico Humanitas","All","40 Years to 80 Years   (Adult, Older Adult)",,"700","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2363","September 25, 2019","December 31, 2019","December 31, 2019","September 6, 2019",,"February 12, 2020","Endoscopy Unit, Humanitas Research Hospital, Rozzano, Milano, Italy",,"https://ClinicalTrials.gov/show/NCT04079478"
18,"NCT04260321","The AID Study 2: Artificial Intelligence for Colorectal Adenoma Detection 2",,"Recruiting","No Results Available","Colon Cancer","Device: AI","Non-inferiority of AI-aided colonoscopy in terms of ADR","Istituto Clinico Humanitas","All","40 Years to 80 Years   (Adult, Older Adult)",,"700","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2363-2","February 19, 2020","December 31, 2020","December 31, 2020","February 7, 2020",,"June 16, 2020","Fondazione Poliambulanza, Brescia, Italia, Italy|Endoscopy Unit, Humanitas Research Hospital, Rozzano, Milano, Italy|Ospedale Valduce, Como, Italy|Digestive Endoscopy Unit, Nuovo Regina Margherita Hospital, Rome, Italy|Ente Ospedaliero Cantonale, Ospedale Italiano, Lugano, Switzerland",,"https://ClinicalTrials.gov/show/NCT04260321"
19,"NCT04377217","Computerized Facial Recognition for Automated Diagnosis of the Facio-Scapulo-Humeral Muscular Dystrophy (FSMHD): Pilot Study","CV4 DIAGNOSIS","Not yet recruiting","No Results Available","Muscular Dystrophy, Facioscapulohumeral","Other: Video recording","Video recording","Centre Hospitalier Universitaire de Nice","All","18 Years and older   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","18-AOI-03","May 2020","December 2021","December 2021","May 6, 2020",,"May 6, 2020","Hopital Pasteur 2, Nice, France",,"https://ClinicalTrials.gov/show/NCT04377217"
20,"NCT03382951","Development and Validation of an Automated Measurement of Child Screen Media Use: FLASH",,"Enrolling by invitation","No Results Available","Sedentary Lifestyle",,"Screen media use/viewing|The feasibility to recruit families to test the of the FLASH devices their home|The feasibility of the FLASH devices to be used in the family's home|The feasibility of the FLASH devices in children's homes to measure the amount of time a child spends viewing TV or other screens|The feasibility of the FLASH devices in children's homes for future studies","Baylor College of Medicine|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|William Marsh Rice University|Seattle Children's Hospital","All","6 Years to 65 Years   (Child, Adult, Older Adult)",,"448","Other|NIH","Observational","Observational Model: Other|Time Perspective: Cross-Sectional","H-40556|R01DK113269","October 19, 2017","March 30, 2021","February 28, 2022","December 26, 2017",,"February 12, 2020","Baylor College of Medicine, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03382951"
21,"NCT03770832","Wearable Sensors and Video Recordings to Monitor Motor Development",,"Recruiting","No Results Available","Motor Delay|Neurodevelopmental Disorders|Developmental Disability",,"Three month clinical score estimation|Six month clinical score estimation|Prediction of neuromotor outcome using sensor and video data from 3 month time-point|Prediction of neuromotor outcome using sensor and video data from 6 month time-point|Prediction of neuromotor outcome using General Movements Assessment (GMA) scores|Prediction of neuromotor outcome using Alberta Infant Motor Scale (AIMS) scores|Prediction of neuromotor outcome using Hammersmith Infant Neurological Examination (HINE) scores|Prediction of neuromotor outcome using Test of Infant Motor Performance (TIMP) scores|Clinical score estimation|Prediction of neuromotor outcome at 2 years using sensor and video data from the remaining time-points","Shirley Ryan AbilityLab|Ann & Robert H Lurie Children's Hospital of Chicago|Northwestern University","All","up to 24 Months   (Child)",,"150","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","SX04202018","March 29, 2019","December 2023","December 2023","December 10, 2018",,"March 19, 2020","Shirley Ryan AbilityLab, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT03770832"
22,"NCT03936413","Artificial Intelligence in Echocardiography",,"Not yet recruiting","No Results Available","Cardiovascular Diseases","Device: Bay Labs EchoGPS Echcoardiogram|Device: Native Terason Echocardiogram","Echocardiogram image acquisition quality|Educational outcome","New York Presbyterian Hospital|Caption Health, Inc.","All","18 Years and older   (Adult, Older Adult)","Not Applicable","1500","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","NYPresbyterianH","May 1, 2019","June 30, 2020","June 30, 2020","May 3, 2019",,"May 3, 2019",,,"https://ClinicalTrials.gov/show/NCT03936413"
23,"NCT02981758","Accurate Display of Postpartum Hemorrhage Using Triton (ADOPT)","ADOPT","Completed","No Results Available","Post-partum Hemorrhage (PPH)",,"Quantification of blood loss during vaginal deliveries|Comparison of quantified blood loss (hemoglobin loss) using the The Triton™ System of mobile imaging with computer vision and learning algorithms compared to estimations of blood loss given by the provider.|Comparison of quantified blood loss (hemoglobin loss) using the The Triton™","Hackensack Meridian Health","Female","Child, Adult, Older Adult",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","Pro2016-0184","July 2016","July 2018","September 2019","December 5, 2016",,"February 11, 2020","Hackensack University Medical Center, Hackensack, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT02981758"
24,"NCT04321200","PANDA Gym: Automated Assessment of Neurodevelopment in Infants at Risk for Motor Disability",,"Not yet recruiting","No Results Available","Pediatric ALL|Infant Development|Neurodevelopmental Disorders","Diagnostic Test: PANDA Gym|Other: Mobile App","Prechtl's General Movements Assessment (GMA)|The Test of Infant Motor Performance (TIMP)|Alberta Infant Motor Scale (AIMS)|Hammersmith Infant Neurological Examination (HINE)","University of Pennsylvania|Children's Hospital of Philadelphia","All","up to 6 Months   (Child)",,"1700","Other","Observational","Observational Model: Other|Time Perspective: Prospective","833180","August 1, 2020","August 1, 2023","July 1, 2024","March 25, 2020",,"March 25, 2020",,,"https://ClinicalTrials.gov/show/NCT04321200"
25,"NCT03345693","Use of MoTrack Therapy in At-Home Hand Rehabilitation",,"Recruiting","No Results Available","Hand Injuries","Device: MoTrack Therapy","Compliance|Patient Ability to Understand the Prescribed Exercises From the Device|Prediction of Patient Improvement|Patient Hand Recovery|Patient Satisfaction|Therapist Satisfaction","Johns Hopkins University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00106559","November 10, 2017","July 2020","July 2020","November 17, 2017",,"July 23, 2019","Johns Hopkins Medicine, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT03345693"
26,"NCT04068688","Tailoring Treatment Targets for Early Autism Intervention in Africa",,"Recruiting","No Results Available","Autism Spectrum Disorder","Behavioral: Early Start Denver Model (ESDM)","Supported joint engagement measured by the Joint Engagement Rating Inventory (JERI)|Coordinated joint engagement measured by the Joint Engagement Rating Inventory (JERI)|Symbol-infused joint engagement measured by the Joint Engagement Rating Inventory (JERI)|Fluency and connectedness measured by the Joint Engagement Rating Inventory (JERI)|Shared routines and rituals measured by the Joint Engagement Rating Inventory (JERI)|Scaffolding measured by the Joint Engagement Rating Inventory (JERI)|Following in on a child's focus measured by the Joint Engagement Rating Inventory (JERI)|Caregiver affect measured by the Joint Engagement Rating Inventory (JERI)|Initiation of joint attention measured by the Early Social Communication Scales (ESCS)|Response to joint attention measured by the Early Social Communication Scales (ESCS)|Language and Communication developmental quotient on the Griffiths Scales of Child Development 3rd Edition (Griffiths-III)|Personal-Social-Emotional developmental quotient on the Griffiths Scales of Child Development 3rd Edition (Griffiths-III)|Socialization subscale standard score on the Vineland Adaptive Behavior Scales - Socialization subscale standard score on the Vineland Adaptive Behavior Scales - 3rd edition (VABS-3)|Communication subscale standard score on the Vineland Adaptive Behavior Scales - 3rd edition (VABS-3)|Affective response measured by the SenseToKnow App|Social referencing measured by the SenseToKnow App|Gaze patterns measured by the SenseToKnow App|Postural sway measured by the SenseToKnow App","Duke University|University of Cape Town","All","18 Months to 72 Months   (Child)","Not Applicable","130","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","Pro00103045","September 1, 2019","July 31, 2021","July 31, 2021","August 28, 2019",,"October 9, 2019","University of Cape Town, Cape Town, West Cape, South Africa",,"https://ClinicalTrials.gov/show/NCT04068688"
27,"NCT04309097","Reducing Eye Strain and Anxiety Using a Digital Intervention During Online Learning Class Recess Among Children at Home: A Randomized Controlled Trial","RESILIENT","Completed","No Results Available","Anxiety|Digital Eye Strain","Behavioral: Digital intervention|Behavioral: Information-only intervention","Change in anxiety|Change in syndromes of digital eye strain|Change in sleeping quality|Changes in time (hour) spent on different near work activities","Sun Yat-sen University","All","Child, Adult, Older Adult","Not Applicable","954","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020KYPJ045","March 16, 2020","March 29, 2020","March 29, 2020","March 16, 2020",,"May 12, 2020","Secondary schools, Zhaoqing, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04309097"
28,"NCT02996669","Autism Biomarker Consortium for Clinical Trials","ABC-CT","Completed","No Results Available","Autism Spectrum Disorder",,"NEPSY-II|Video Tracking|Aberrant Behavior Checklist (ABC)|Autism Impact Measure (AIM) Frequency|Autism Impact Measure (AIM) Impact|Child and Adolescent Symptom Inventory 5 (CASI-5)|PDD Behavior Inventory (PDD-BI)|Social Responsiveness Scale 2 (SRS-2) Total Score|Cognitive Assessment|Resting State EEG|Faces EEG|Visual Evoked Potentials (VEPs) EEG|Biological Motion EEG|Eye-tracking (ET) Biological Motion Task|Eye-tracking (ET) Activity Monitoring Task|Eye-tracking (ET) Interactive Social Task (IST)|Eye-tracking (ET) Pupillary Light Reflex Task|Eye-tracking (ET) Visual Search/Static Social Scenes Task","Yale University|Boston Children’s Hospital|Duke University|University of California, Los Angeles|University of Washington|Food and Drug Administration (FDA)|National Institute of Mental Health (NIMH)","All","6 Years to 11 Years   (Child)",,"399","Other|U.S. Fed|NIH","Observational","Observational Model: Case-Control|Time Perspective: Prospective","1509016477|U01FD006888|U19MH108206","October 2016","May 13, 2019","May 13, 2019","December 19, 2016",,"March 5, 2020","Yale University Child Study Center, New Haven, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT02996669"
29,"NCT02798848","CREATE - Children Reading With Electronic Assistance To Educate","CREATE","Unknown status","No Results Available","Vision, Low|Child|Adolescent Development","Device: Tablet computer","acceptance/usage, measured as ordinal variable by participant diary|accessibility measured as ordinal variable as score on a touch-based game, ""Piano Tiles""|recruitment rates into the trial|Cardiff Visual Ability Questionnaire for Children (CVAQC) score|LV Prasad Functional Vision Questionnaire|Impact of Vision Impairment for Children (IVI_C) Questionnaire|Neale Analysis of Reading Ability (NARA)|International Reading Speed Texts (IREST)","University College, London|L.V. Prasad Eye Institute","All","10 Years to 18 Years   (Child, Adult)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care","15/0570","March 2016","December 2016","February 2017","June 14, 2016",,"June 14, 2016","Meera and L B Deshpande Centre for Sight Enhancement, L V Prasad Eye Institute, Hyderabad, India|South Essex Partnership Foundation Trust - Child Development Centre Bedford, Bedford, United Kingdom|Moorfields Eye Hospital, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02798848"
30,"NCT03908918","Mind and Body:A Clinical Trial Evaluation of a Smartphone App-based Mindfulness Intervention",,"Completed","No Results Available","Psychological Stress|Psychological Distress|Rehabilitation","Other: Mindfulness app","Outcome: Cost of treatment; Measure: Duration of stay|Outcome: Health services utilization; measure: survey questions|Outcome: Cost of treatment; Measure: Discharge destination|Outcome: Cost of treatment; Measure: Alternate Level of Care (ALC) assignment.|Outcome: Cost of treatment; Measure: National Rehabilitation Reporting System (NRS) assessments.|Outcome: Cost of treatment; Measure: Rehabilitation Patient Group (RPG)|Outcome: Cost of treatment; Measure: number of clinic visits|Outcome: stress; Measure: NIH Toolbox Perceived Stress Fixed Form (Age 18+ v2.0)|Outcome: Impact on health-related quality of life; Measure: PROMIS57|Outcome: clinician reported quality of patient appointment time; measure: purpose designed survey questions|Outcome: Mood; Measure: The Am app's mood measure|Outcome: Psychological flexibility; Measure: The Acceptance & Action Questionnaire-II|Outcome: User engagement; Measure: The Am app's user analytics - meditation choice and frequency|Outcome: Mood, stress and heart rate; Measure: The Am app's biometric measures (Heart Rate)|Outcome: Mood, stress and heart rate; Measure: The Am app's biometric measures (respiratory rate)|Outcome: Mood, stress and heart rate; Measure: The Am app's biometric measures (relative blood oxygen saturation)|Outcome: Stress; Measure: The Am app's stress measure|Outcome: Stress; Measure: The Am app's intent for practicing mindfulness measure|Outcome: User engagement; Measure: The Am app's points structure","Providence Healthcare","All","40 Years and older   (Adult, Older Adult)","Not Applicable","11","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","123","April 1, 2019","September 30, 2019","September 30, 2019","April 9, 2019",,"December 18, 2019","Providence Healthcare, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT03908918"
