Question,Votes,Views,Date
What we cover with iterative Fast Gradient Sign Method (iterative-FGSM) that we can't cover with simple Fast Gradient Sign Method (FGSM),2,50,2020-01-14
I keep getting an Assertion Error with StyleGAN,3,427,2020-01-08
Unable to get adversarial attack to converge on target class,0,28,2020-01-08
Increase Training Iterations in StyleGAN,0,206,2020-01-07
WGAN-GP Large Oscillating Loss,2,128,2019-12-30
Changing discrimination layer after training in GAN,0,33,2019-12-27
Unconditional Generative Adverserial Networks on MNIST dataset,2,64,2019-12-23
Tensorflow gradient update for LSTM,0,20,2019-12-20
Weird circle-like patterns in GAN,0,32,2019-12-17
How to use Supervised Generative Adversarial Network to inpaint images?,2,35,2019-12-13
Confusion on learning of Generative Adversarial Networks (GANs),0,41,2019-12-13
HTTP Error when downloading from google drive with TensorFlow,1,128,2019-12-13
how to train generative adversarial network using tensorflow estimator?,0,18,2019-12-11
Text-based style transfer,1,24,2019-12-10
How to use finished GAN model with trianed weights to create new images?,1,32,2019-12-08
Tensorflow 2.0: How to change the output signature while using tf.saved_model,4,443,2019-12-02
Using a custom loss function to predict a latent variable in sklearn,0,17,2019-11-30
How to force a generator in a GAN to explore?,1,23,2019-11-19
How to compute gradients w.r.t weights in tf.keras and logging the same for gradients monitoring on tensorboard?,1,100,2019-11-16
"CycleGAN, keras model doesn't produce desired output",0,340,2019-11-11
Tensorflow create a GAN from the topology,0,42,2019-11-09
Why my generative adversarial network (gan) is not converging during training?,0,166,2019-11-07
TF-GAN tutorial by Google,-1,41,2019-11-07
Should we stop training discriminator while training generator in CycleGAN tutorial?,0,99,2019-11-06
Ruuning same code(dcgan) converges in tensorflow1.15 but collapses in tensorflow2.0 on google colab,0,54,2019-11-04
"mnist-score for GANs on mnist data-set returns a logits tensor of [batch, 10]",-1,29,2019-10-31
Image quality assessment,0,15,2019-10-30
How to implement WGAN-GP loss in tensorflow for image generation task?,0,78,2019-10-22
GAN d_loss and g_loss,0,40,2019-10-17
Combining a neural network classifier with genetic algorithm to do the task likes what generative adversarial network does?,1,65,2019-10-14
How to implement graph execution for batch training in tensorflow,0,25,2019-10-10
How to input audio data into deep learning algorithm?,2,67,2019-10-10
"GAN with batch norm acting very weird, both discriminator and generator get zero loss",2,285,2019-10-10
Writing my own FGSM Adversarial attack always gives zero perturbation,0,80,2019-10-09
ModelCheckpoint in GAN: How to save discriminator model on highest F1-score,0,44,2019-09-27
Preparing data for GAN training on TPU,0,83,2019-09-24
which one of these losses are better?,0,18,2019-09-20
3D DCGAN doesn't learn as expected,0,54,2019-09-19
Fetch argument None has invalid type <type 'NoneType'>,0,47,2019-09-14
Interpret GAN loss [closed],-1,67,2019-09-13
How to Train a GAN with a 3D Model Instead of a Million Images,0,114,2019-09-10
How to conveniently control features in Nvidia StyleGAN?,0,274,2019-09-10
What are the main problems with GANs? Specifically WGAN and DCGAN in deep learning?,0,28,2019-08-28
Music GAN loss not decreasing for generator,0,115,2019-08-16
DC-GAN: Discriminator loss going up while generator loss goes down,0,398,2019-08-15
Evaluating the critic score in WGANs,1,34,2019-08-13
GAN generator loss goes to zero,0,845,2019-08-08
"How to import AdversarialModel, simple_gan, gan_targets in colab",0,77,2019-08-06
What are GANs that take images as input instead of latent vectors?,0,50,2019-08-06
how to fix 'encoder to genrator' shape mismatch for GAN or generative adversial network?,0,34,2019-08-02
How to combine Autoencoders L1 and GAN's crossentropy-loss?,1,45,2019-08-02
How do I use the best_mapping.pth generated by MUSE to build a dictionary,0,19,2019-08-01
What can cause a GAN to generate images that look different than those provided in the training set,0,97,2019-07-27
Improved WGAN-GP training over open-street-network images datasets produces poor results,0,116,2019-07-24
unsupported operand type(s) for /: 'Adam' and 'int,-2,53,2019-07-22
Manual backprop in Keras with loss value,0,31,2019-07-22
Implementation of StyleGAN by NVlabs shows syntax error,0,568,2019-07-22
wgan-gp loss for generator with multiple output,0,68,2019-07-21
Why are the images generated by a GAN get darker as the network trains more?,9,443,2019-07-19
Keras historical averaging custom loss function,0,174,2019-07-19
Wasserstein loss can be negative?,6,"1,357",2019-07-19
"Saving adversarial samples into images and loading it back, but it fails attack",0,52,2019-07-17
How to make WGAN train with RGB images instead of grayscale?,0,68,2019-07-16
GAN measurement - FID score,1,290,2019-07-16
Change yTrue in custom metrics,0,58,2019-07-15
Changing CNN to work with 3D convolutions,11,351,2019-07-10
Loading a model from checkpoint fails?,2,520,2019-07-09
Discriminator accuracy and generator fool rate both near 1.0 with batch normalization layers,0,48,2019-07-04
how to load batch of images from a dataset in a generator?,0,19,2019-06-29
GANs: discriminator should be fed with samples or probabilities?,0,15,2019-06-25
Suggestion on implementing Spatial Transformer Network and GAN,0,83,2019-06-25
Distance/Similarity Measures on Multimedia - GANs and Hybrid Data Set,0,32,2019-06-24
Error: Need to feed value to placeholder tensor after adding layers to a compiled model,0,34,2019-06-22
How do I restore the Generator of a GAN from a Tensorflow Model?,0,247,2019-06-19
Difference between mode dropping and mode collapsing in GANs?,3,347,2019-06-19
Varying image size in pytorch celeb GAN,0,42,2019-06-19
RuntimeError: input.size(-1) must be equal to input_size,0,649,2019-06-17
Trying to create GAN: InvalidArgumentError: Matrix size-incompatible,1,144,2019-06-15
How to control which digit is generated from a GAN trained in MNIST?,1,84,2019-06-14
Download from Google Colab in a scheduled way,0,243,2019-06-14
How to use tf-coreml correctly?,0,335,2019-06-13
how to deploy pytorch based GAN model to android,2,157,2019-06-12
Generated Image is not Colorized in GAN,1,56,2019-06-11
All Images in the batch are same while training GAN,1,48,2019-06-10
Generator and Discriminator Loss in Image Colorization,1,49,2019-06-10
How to decide how many convolutions e deconvolutions apply to a GAN?,0,92,2019-05-31
Pix2pix program terminates after giving Thread warning of Tensorflow,0,42,2019-05-29
Adversarial Training and Testing,0,35,2019-05-21
Abnormal Loss Curves When Training GAN on Cifar10,1,194,2019-05-19
How to train generator from GAN?,2,881,2019-05-11
How can I generate more images for training from few input images?,0,23,2019-05-07
Why doesn't the Discriminator's and Generators' loss change?,-1,540,2019-05-01
"How to fix ‘You must feed a value for placeholder tensor 'Placeholder_2' with dtype float and shape [?,1,680,1]’ error in Python?",1,80,2019-04-29
Input/output shapes of GANs for sequential data,0,34,2019-04-24
Resolve exploding gradient in VAE,0,98,2019-04-19
Missing Keys in state_dict,1,559,2019-04-18
My conditional GAN seems to be experiencing mode collapse,2,80,2019-04-18
Keras: Update `trainable` attribute after compiling model,0,77,2019-04-15
How to improve the result I get using GANs for Time-Series Prediction/Anomaly Detection,1,"1,740",2019-04-02
Dropout layer directly in tensorflow: how to train?,4,"1,472",2019-04-01
Problen in 3D GAN which makes it generate entire solid blocks instead of real 3D shapes,0,114,2019-03-26
Why is my generator loss function increasing with iterations,2,429,2019-03-23
The name “Generator” is used 2 times in the model. All layer names should be unique,-1,395,2019-03-22
Derivation of InfoGAN function,1,94,2019-03-22
"Deep learning + Music , Music Generation using GAN , How to play songs from the midi images",-4,233,2019-03-17
Why nvidia-smi GPU performance is low although it is not used,2,276,2019-03-13
Convert PNG or JPEG images to the format accepted by GAN algorithm,0,329,2019-03-13
How the input shape of noise vector affects the Generator in GANs?,0,204,2019-03-12
What's the relationship between Style Transfer and GAN?,3,541,2019-03-11
Keras: Understanding the role of Embedding layer in a Conditional GAN,0,617,2019-03-07
CycleGAN with 1-channel tiffs both as input and as output,0,64,2019-03-06
BrokenPipeError: [Errno 32] Broken pipe error when running GANs,1,"1,209",2019-03-06
Difference between AEGenerator and Generator in the SEGAN model for speech enhancement,1,29,2019-02-22
CycleGAN for unpaired image to image translation,0,130,2019-02-20
Is it possible to use GAN for filling only the missing part of image instead of generating whole image?,-2,394,2019-02-20
Face Generation TensorFlow increase size from 28px conv2d_transpose,0,35,2019-02-19
How to use keras model inside other model in TPU,3,181,2019-02-18
Should the random noise given to a GAN kept constant?,2,470,2019-02-18
Tensorflow efficient Cyclegan history pool,0,47,2019-02-03
GANs on color images,1,329,2019-02-01
Using tf.cond() in an estimator model function to train a WGAN on a TPU causes doubled global_step,0,134,2019-01-27
CycleGAN - artifacts and style not transferring,1,596,2019-01-26
Tensorflow GAN: “No gradients provided for any variable”,0,255,2019-01-24
Why this boolean is in this bayes classifier? (Python question?),0,60,2019-01-24
Why do the generated images have a different shape than the real images in this GAN?,0,234,2019-01-21
DCGAN generator loss stuck at 0.7 after 5 epochs,1,266,2019-01-20
On how to update AutoEncoder generated image when learning GAN using AutoEncoder,0,38,2019-01-18
How to perform inference on tensorRT pytorch GAN model,1,444,2019-01-12
Graph disconnected: cannot obtain value for tensor Tensor,1,"2,148",2019-01-11
Retrain a saved model in Keras that was trained using train_on_batch(),4,167,2019-01-10
How can I tell Keras the learning phase when I use train_on_batch to train a model?,0,"1,049",2019-01-09
Working with multiple losses and their weights in keras,0,584,2019-01-07
How do I get a loss per epoch and not per batch?,4,"2,895",2019-01-05
"Do I have to recompile my Gan every batch, to prevent the discriminator from learning?",2,478,2019-01-05
Generate image from latent variables using generative adversarial neural networks [closed],-4,129,2018-12-21
Global step for GAN,2,146,2018-12-20
“Fading in” new layers in Keras,0,104,2018-12-19
A general query while training,0,32,2018-12-18
Training discriminator and generator at the same time(Tensorflow),0,454,2018-12-09
tensorflow model not updating weights,0,660,2018-12-07
RuntimeError: CUDA error: out of memory - DCGAN with image_size = 256,0,"1,145",2018-12-05
A basic query about Generative adversarial Models,1,29,2018-12-05
Delete some neurons at output layer (Keras),0,95,2018-11-28
DCGAN Tensorflow code doesn't produce faces on CelebA dataset,-1,262,2018-11-16
Tensorflow - keras - Shape errors with 'strided_slice' (used resized MNIST dataset),2,933,2018-11-12
Problem GAN conversion when applying variable reuse on tensorflow,1,48,2018-11-10
GAN output images in COLAB,0,429,2018-11-10
"DCGAN: ValueError: Input 0 of layer deconv is incompatible with the layer: expected ndim=4, found ndim=2. Full shape received: [None, 100]",0,108,2018-11-06
Keras GAN with multiple output from generator and discriminator respectively,0,492,2018-10-27
Matplotlib - plot face landmarks with no background image,1,353,2018-10-18
Errors when create the same placeholders,1,19,2018-09-29
Error while calculating gradient penalty for wgan-gp,0,331,2018-09-25
Conditional GAN for domain translation,5,264,2018-09-16
LookupError: No gradient defined for operation type: ResizeNearestNeighborGrad,1,903,2018-09-10
Selectively Optimizing a Keras Model with Tensorflow,0,102,2018-09-10
Confused on tensorflow feed_dict problem with value 'z' not feed,0,32,2018-09-09
why do i get nan loss value in training discriminator and generator of GAN?,0,"1,780",2018-09-06
Value error while concatenating the numpy arrays,1,90,2018-08-31
Implementation of Adversarial Loss In Keras,1,"1,011",2018-08-28
Add class information to Generator model in keras,7,199,2018-08-23
Generator and discriminator loss curves are exact mirror images,-1,510,2018-08-10
Any Asynchronous Training Methods for GAN?,3,238,2018-08-05
What is the input to the generator in Generative Adversarial Network,0,43,2018-08-03
"Generative Adversial Networks, divergence of the discriminator and pictures artifacts (PIX2PIX)",1,116,2018-07-27
Convolution outputs immense values instead of 0-1 range,0,47,2018-07-26
Tensorflow Merge Datasets Alternatively,1,509,2018-07-19
Tensorflow GAN only works when batch size equals one,3,664,2018-07-16
Loss Function of generator in Gans,2,"1,694",2018-07-12
backprop in merged models,0,31,2018-07-11
Sudden drop in validation_loss after reloading the model(s),1,204,2018-07-10
Runtime Error: Disconnected graph for GANs because input can't be obtained,2,282,2018-07-06
what is the use of .data in pytorch,1,697,2018-07-05
"Convert a tensor from 128,128,3 to 129,128,3 and the 1,128,3 values padded to that tensor happens later",1,73,2018-07-05
Generative Adversarial Networks in Keras doesn't work like expected,1,705,2018-06-29
Data augmentation with GAN Network for handwriting alphabets recognition,2,455,2018-06-28
Keras GAN Batch Training,3,538,2018-06-27
what is use of scipy.misc library in machine learning?,-3,89,2018-06-27
"Tensorflow - tf.variable_scope , reuse argument for GAN",0,"1,341",2018-06-22
Implementation of conditional WGAN-GP in Keras,3,749,2018-06-20
Add class information to keras network,15,619,2018-06-18
Sample single digit from Conditional WGAN-GP in Keras,0,196,2018-06-13
Keras.backend.reshape: TypeError: Failed to convert object of type <class 'list'> to Tensor. Consider casting elements to a supported type,0,"4,289",2018-06-12
Self-Attention GAN in Keras,2,"2,895",2018-06-12
GAN doesn't proceed training very well,1,146,2018-06-09
Debugging GAN covergence error,1,306,2018-06-08
Keras report wrong accuracy,2,600,2018-05-29
Adversarial Discriminative Domain Adaptation (ADDA),2,508,2018-05-28
Universal adversarial pertubation query/issue,1,35,2018-05-25
Proper way of generating initial random vectors for generator model in GAN?,-1,367,2018-05-23
GAN network Disc. loss decreasing and Gen. increasing instead of decreasing,1,"1,092",2018-05-17
What is the ideal value of loss function for a GAN,2,"2,320",2018-03-22
Adjusting GAN hyperparameters,0,"2,154",2017-09-24
How to interpret the discriminator's loss and the generator's loss in Generative Adversarial Nets?,21,"14,722",2017-03-09
Keras train partial model issue (about GAN model),2,"4,834",2017-02-23
