"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
13,"NCT04060706","Heuristics, Algorithms and Machine Learning: Evaluation & Testing in Radiation Therapy","Hamlet rt","Not yet recruiting","No Results Available","Cancer","Radiation: Radical Image-Guided Radiotherapy","Machine Learning Modelling|Predictive Modelling|Clinical Toxicity Evaluation","CCTU- Cancer Theme|University of Cambridge|Microsoft Research|Cambridge University Hospitals NHS Foundation Trust","All","18 Years and older   (Adult, Older Adult)",,"310","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","Hamlet.rt","January 1, 2020","January 1, 2023","January 1, 2028","August 19, 2019",,"August 19, 2019","Cambridge University Hospitals NHS Foundation Trust, Cambridge, Cambridgeshire, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04060706"
14,"NCT04219306","Machine Learning Assisted Recognition of Out-of-Hospital Cardiac Arrest During Emergency Calls.",,"Completed","No Results Available","Out-Of-Hospital Cardiac Arrest","Other: Alert on dispatchers screen 'Suspect cardiac arrest'","Dispatcher recognition of cardiac arrest|Time to recognition|Dispatcher assisted telephone CPR|Time to T-CPR","Emergency Medical Services, Capital Region, Denmark","All","Child, Adult, Older Adult","Not Applicable","5242","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Diagnostic","F-35101-01","September 1, 2018","April 1, 2020","April 2, 2020","January 7, 2020",,"April 16, 2020","Emergency Medical Services Copenhagen, Ballerup, Danmark, Denmark","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/06/NCT04219306/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT04219306"
15,"NCT03398551","Machine Learning From Fetal Flow Waveforms to Predict Adverse Perinatal Outcomes",,"Unknown status","No Results Available","Perinatal Mortality|Neonatal Morbidities",,"Stillbirth|Early neonatal mortality|IUGR|Prematurity|Birth asphyxia|Neonatal sepsis|Low Birth Weight","Aga Khan University|Universitat Pompeu Fabra","Female","Child, Adult, Older Adult",,"525","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","4872-Ped-ERC-17","February 2018","September 2018","December 2018","January 12, 2018",,"January 12, 2018",,,"https://ClinicalTrials.gov/show/NCT03398551"
16,"NCT04423991","Identification of a Responsive Subpopulation to Hydroxychloroquine in COVID-19 Patients Using Machine Learning","IDENTIFY","Completed","No Results Available","COVID-19|Coronavirus|Mortality","Device: COViage","Mortality outcome","Dascena","All","Child, Adult, Older Adult","Not Applicable","290","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","060820","March 10, 2020","June 4, 2020","June 4, 2020","June 9, 2020",,"June 9, 2020","Dascena, Oakland, California, United States",,"https://ClinicalTrials.gov/show/NCT04423991"
17,"NCT04337502","Clinical and Radiomic Model of COVID-19",,"Completed","No Results Available","Coronavirus|Machine Learning","Diagnostic Test: Machine learning model","Predictive performance","Maastricht University|The Central Hospital of Wuhan","All","Child, Adult, Older Adult",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","UM_2020_GY_COVID-19","December 23, 2019","January 20, 2020","March 3, 2020","April 7, 2020",,"April 7, 2020","The central hospital of Wuhan, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04337502"
18,"NCT04282837","Machine Learning for Reclassification of Obesity",,"Completed","No Results Available","Obesity","Diagnostic Test: AI classification of patients with obesity","Metabolic classification of patients with obesity using machine learning|Metabolic features in patients of different subgroups|Risks for noncommunicable disease in patients of different subgroups|Effect of bariatric surgery in patients of different subgroups","Shanghai 10th People's Hospital|The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School|The Third People's Hospital of Chengdu|Shanghai East Hospital|University of Pittsburgh","All","10 Years to 70 Years   (Child, Adult, Older Adult)",,"2495","Other","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","Obesity Reclassification","March 1, 2020","April 30, 2020","June 20, 2020","February 25, 2020",,"June 25, 2020","Shanghai Tenth People's Hospital, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04282837"
19,"NCT04192175","Identification of Patients Admitted With COPD Exacerbations and Predicting Readmission Risk Using Machine Learning",,"Active, not recruiting","No Results Available","Copd Exacerbation Acute|Readmission|Machine Learning|Natural Language Processing",,"Identification of COPD exacerbation|Readmission risk","University Health Network, Toronto|Canadian Lung Association|Canadian Institutes of Health Research (CIHR)","All","18 Years and older   (Adult, Older Adult)",,"65000","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Retrospective","19-5124","June 1, 2019","May 31, 2020","December 31, 2020","December 10, 2019",,"March 23, 2020","University Health Network, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04192175"
20,"NCT01448161","A Machine Learning Approach to Continuous Vital Sign Data Analysis",,"Enrolling by invitation","No Results Available","Vital Signs",,"Relevant Clinical Features","University of Colorado, Denver","All","up to 89 Years   (Child, Adult, Older Adult)",,"1200","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","11-0858","December 2011","July 2021","July 2021","October 7, 2011",,"September 30, 2019",,,"https://ClinicalTrials.gov/show/NCT01448161"
21,"NCT04256551","Effects of a Novel Machine Learning Mobile App on Diet Adherence in Individuals Following the Low Fodmap Diet",,"Completed","No Results Available","IBS - Irritable Bowel Syndrome","Other: Heali mobile application + Registered Dietitian|Other: Heali mobile application|Other: Standard Dietary Education","Rome IV|IBS-SSS|Low FODMAP dietary adherence (LFDA)|Low FODMAP dietary knowledge (LFDK)","Arizona State University","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","58","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FODMAP/APP","January 23, 2020","June 1, 2020","June 1, 2020","February 5, 2020",,"July 8, 2020","Arizona State University, Phoenix, Arizona, United States",,"https://ClinicalTrials.gov/show/NCT04256551"
22,"NCT03976297","Artificial Intelligence/Machine Learning Modeling on Time to Palliative Care Review in an Inpatient Hospital Population",,"Recruiting","No Results Available","Palliative Care","Other: Control Tower","Timely identification for need of palliative care|The number of inpatient palliative care consults|Timely identification for need of palliative care per unit|Transition time to hospice-designated bed|Time to hospice designation|Emergency Department visit within 30 days of discharge|Hospitalization or readmission within 30 days of discharge|ICU transfers|Ratio of inpatient hospice death to non-hospice hospital deaths|Rate of discharge to external hospice|Inpatient length of stay","Mayo Clinic","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20000","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","19-002315","August 19, 2019","August 19, 2020","October 2020","June 6, 2019",,"August 28, 2019","Mayo Clinic, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT03976297"
23,"NCT03882476","RCT of Sepsis Machine Learning Algorithm",,"Not yet recruiting","No Results Available","Sepsis|Severe Sepsis|Septic Shock","Diagnostic Test: InSight","In-hospital SIRS-based mortality","Dascena|University of California, San Francisco","All","18 Years and older   (Adult, Older Adult)","Phase 2","51645","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Diagnostic","19-494662","January 1, 2020","February 28, 2021","February 28, 2021","March 20, 2019",,"March 25, 2019",,,"https://ClinicalTrials.gov/show/NCT03882476"
24,"NCT04014010","Machine Learning Modeling of Intraoperative Hemodynamic Predictors of Postoperative Outcomes",,"Completed","No Results Available","Perioperative/Postoperative Complications|Morbidity, Multiple|Surgery|Anesthesia|Death","Other: Blood pressure|Other: Heart rate|Other: Use of hemodynamic medications (i.e. special medications for blood pressure)|Other: Oxygen saturation by pulse oximetry (SpO2)|Other: End-tidal Carbon dioxide (EtCO2)","Mortality|In-hospital Morbidity: Any|In-hospital Morbidity: Cardiac|In-hospital Morbidity: Respiratory|In-hospital Morbidity: Acute Kidney Injury|In-hospital Morbidity: Cerebrovascular|In-hospital Morbidity: Delirium|In-hospital Morbidity: Septic Shock|Postoperative ICU admission|Prolonged Postoperative Length of Stay (LOS)|Hospital readmission|Intraoperative mortality|Days alive and out of hospital at 30 days postoperatively","Janny Xue Chen Ke|Dalhousie University|Harvard University|University of Toronto|University of Ottawa|Nova Scotia Health Authority","All","45 Years and older   (Adult, Older Adult)",,"35000","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","1024251","January 1, 2013","December 31, 2017","December 31, 2017","July 10, 2019",,"June 30, 2020",,"""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/10/NCT04014010/Prot_SAP_001.pdf","https://ClinicalTrials.gov/show/NCT04014010"
25,"NCT03724123","Machine Learning-Based Risk Profile Classification of Patients Undergoing Elective Heart Valve Surgery",,"Completed","No Results Available","Heart Valve Diseases|Surgery--Complications",,"Area under the curve for different prediction models","Kepler University Hospital|Institute of Bioinformatics, JKU Linz","All","18 Years and older   (Adult, Older Adult)",,"2229","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","K-82-15","January 1, 2008","December 31, 2014","December 31, 2014","October 30, 2018",,"October 30, 2018",,,"https://ClinicalTrials.gov/show/NCT03724123"
26,"NCT02934971","Optimized Multi-modality Machine Learning Approach During Cardio-toxic Chemotherapy to Predict Arising Heart Failure","MERMAID","Unknown status","No Results Available","Toxicity Due to Chemotherapy",,"Change in LVEF from baseline to one year, as determined by MRI as gold standard according to random study group allocation","RWTH Aachen University|Technion, Israel Institute of Technology","Female","18 Years to 100 Years   (Adult, Older Adult)",,"470","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","16-079","January 2017","January 2019","January 2019","October 17, 2016",,"October 17, 2016","Department of Cardiology, RWTH Aachen University Hospital, Aachen, Germany",,"https://ClinicalTrials.gov/show/NCT02934971"
27,"NCT02805621","Machine leArning Based CT angiograpHy derIved FFR: a Multi-ceNtEr, Registry","Machine","Completed","No Results Available","Coronary Heart Disease|Coronary Artery Disease",,"Diagnostic accuracy of local reduced order CFD and machine learning based CT angiography derived FFR, both validated against invasive FFR. Measured at both vessel and patient level.|Influence of calcium on diagnostic accuracy of CT angiography derived FFR.|Confidence intervals of CT angiography derived FFR|Direct vessel based comparison between CT angiography derived FFR and QCT stenosis measurements|Analysis of anatomically mild stenosis (<50% lumen diameter reduction) but functionally significant (invasive FFR ≤ 0.80)|Long term clinical outcome of CT angiography derived FFR","Erasmus Medical Center|Asan Medical Center|University Hospital, Linkoeping|Institute of Cardiology, Warsaw, Poland|Medical University of South Carolina|Siemens Healthcare Diagnostics Inc","All","18 Years and older   (Adult, Older Adult)",,"352","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Retrospective","Machine","April 2016","January 2017","January 2017","June 20, 2016",,"January 4, 2017","ErasmusMC, Rotterdam, Zuid Holland, Netherlands",,"https://ClinicalTrials.gov/show/NCT02805621"
28,"NCT04074772","Leveraging Machine Learning to Effortlessly Track Patient Movement in the Clinic.",,"Not yet recruiting","No Results Available","Movement Disorders",,"Successful Tracking Achieved in Clinic|Identification of Diseases by Movement Tracking","University of Colorado, Denver","All","18 Years to 70 Years   (Adult, Older Adult)",,"190","Other","Observational","Observational Model: Other|Time Perspective: Other","19-1250","April 2020","October 2021","October 2021","August 30, 2019",,"March 19, 2020",,,"https://ClinicalTrials.gov/show/NCT04074772"
29,"NCT04193475","Machine Learning in Quantitative Stress Echocardiography","MLQSE","Recruiting","No Results Available","Cardiovascular Diseases|Ischaemic Heart Disease","Other: Analysis","Inducible myocardial ischaemia|Workload|Velocity|Strain rate|Strain","Hull University Teaching Hospitals NHS Trust|Barts & The London NHS Trust|Cardiff and Vale University Health Board","All","20 Years to 89 Years   (Adult, Older Adult)",,"1250","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","R2458","November 22, 2019","May 2021","June 2023","December 10, 2019",,"February 5, 2020","Castle Hill Hospital, Cottingham, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04193475"
30,"NCT03927066","Physiological Validation of Current Machine Learning Models for Hemodynamic Instability in Humans",,"Not yet recruiting","No Results Available","Hypotension and Shock","Other: Assigned Interventions","Blood Pressure|Heart rate","Mayo Clinic","All","18 Years to 90 Years   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","19-002893","September 1, 2020","October 10, 2023","October 10, 2023","April 25, 2019",,"June 11, 2020","Mayo Clinic in Rochester, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT03927066"
31,"NCT04189029","PACIFIC-PRESERVED : PhenomApping, ClassIFication, and Innovation for Cardiac Dysfunction - HF With PRESERVED LVEF Study",,"Recruiting","No Results Available","Heart Failure|Heart Failure With Preserved Ejection Fraction","Other: Extensive phenotyping","Machine learning algorithm to identify distinct phenotypic subgroups among HFpEF patients|Prognosis|Myocardial stiffness|Sarcopenia and muscular capacity|Exercise tolerance|Cardiac fibrosis|Arterial Stiffness|Right heart and pulmonary circulation|Ventricular-arterial coupling|Omics signature|Quality of life evaluation|Telemonitoring of weight|Telemonitoring of cardiac rythm|Telemonitoring of ECG|Telemonitoring of physical activity|Telemonitoring of blood pressure|Telemonitoring of pulmonary function|Telemonitoring of oxygen saturation|Telemonitoring of pulmonary congestion|Digitalized ECG|Cardiac echography|Cardiac calcium scoring|Cardiac MRI|Left atria","Assistance Publique - Hôpitaux de Paris|BPIfrance|Sanofi|Institut de Recherches Internationales Servier|Institut National de la Santé Et de la Recherche Médicale, France|BioSerenity|Casis|Firalis SA|Fealinx|Centre National de la Recherche Scientifique, France|ESPCI Paris|University of Paris 5 - Rene Descartes|Sorbonne University","All","18 Years to 90 Years   (Adult, Older Adult)",,"2620","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","APHP190558|2019-A01795-52","December 9, 2019","December 2021","June 2024","December 6, 2019",,"January 21, 2020","AP - HP, Hôpital Européen Georges-Pompidou, Paris, France",,"https://ClinicalTrials.gov/show/NCT04189029"
32,"NCT04390516","Respiratory Decompensation and Model for the Triage of COVID-19 Patients","READY","Completed","No Results Available","COVID-19|Coronavirus|Mortality|Mechanical Ventilation","Device: COViage","Mechanically ventilated patient outcome|Mortality or mechanically ventilated patient outcome","Dascena","All","18 Years and older   (Adult, Older Adult)","Not Applicable","197","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","051420","March 24, 2020","May 4, 2020","May 30, 2020","May 15, 2020",,"June 12, 2020","Dascena, Oakland, California, United States",,"https://ClinicalTrials.gov/show/NCT04390516"
33,"NCT04442425","A Feasibility Study Investigating the Use of Machine Learning to Analyze Facial Imaging, Voice and Spoken Language for the Capture and Classification of Cancer Pain",,"Not yet recruiting","No Results Available","Cancer|Neoplasms|Solid Tumors",,"Feasibility of using facial recognition technology to classify pain","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","All","12 Years and older   (Child, Adult, Older Adult)",,"120","NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","200130|20-C-0130","July 14, 2020","March 1, 2022","March 1, 2022","June 22, 2020",,"July 9, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04442425"
34,"NCT03490149","Prediction of the Cognitive Effects of Electroconvulsive Therapy Via Machine Learning and Neuroimaging","CoEffECT","Recruiting","No Results Available","ECT|Depression|Cognitive Impairment|Memory Impairment","Device: Electroconvulsive Therapy|Drug: Medication - Treatment as usual","Change in auditory verbal learning performance|Change in autobiographical memory performance|Change in subjective memory impairment|Occurence of retrograde amnesia|Change in depression severity as measured by the Hamilton Depression Rating Scale (HDRS 28).|Change in depression severity as measured by the Montgomery-Åsberg Depression Rating Scale (MADRS)","University Hospital, Bonn|Maximilian Kiebs, M.Sc. - University Hospital Bonn (Department of Medical Psychology)","All","18 Years to 85 Years   (Adult, Older Adult)",,"180","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","CoEffECT - Study","January 2, 2018","December 1, 2020","March 1, 2021","April 6, 2018",,"September 25, 2019","Klinik und Poliklinik für Psychiatrie und Psychotherapie, Bonn, Nordrhein-Westfalen, Germany",,"https://ClinicalTrials.gov/show/NCT03490149"
35,"NCT03895606","Prediction of Kidney Injury After Hyperthermic Intraperitoneal Chemotherapy (HIPEC)* With Machine Learning","HIPEC","Recruiting","No Results Available","Acute Kidney Injury|Chemotherapy","Other: Data collection","number of patients with postoperative acute kidney injury staged by Kidney Disease: Improving Global Outcomes (KDIGO)","Gangnam Severance Hospital","All","19 Years and older   (Adult, Older Adult)",,"80","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","3-2019-0016","March 29, 2019","March 18, 2020","March 30, 2020","March 29, 2019",,"July 31, 2019","Gangnam Severeance Hospital, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT03895606"
