"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT01679600","Cardiovascular Rehabilitation Early After Stroke Using Feedback-controlled Robotics-assisted Treadmill Exercise",,"Completed","Has Results","Stroke|Cardiovascular Diseases","Device: Feedback-controlled robotics-assisted treadmill exercise|Device: Robotics-assisted treadmill exercise","Peak Oxygen Uptake (V'O2peak)","Bern University of Applied Sciences|Maastricht University|Reha Rheinfelden|Swiss Federal Institute of Technology","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","CardioRobot","August 2012","April 2014","April 2014","September 6, 2012","August 5, 2015","August 5, 2015","Reha Rheinfelden, Rheinfelden, Aargau, Switzerland",,"https://ClinicalTrials.gov/show/NCT01679600"
12,"NCT02895347","Proficiency Based Robotics Training Curriculum: Skill Acquisition & Transferability of Skills to Live Porcine Models",,"Completed","Has Results","Medical Students Naive to Surgical Robotics","Behavioral: Surgical Simulation Practice Modules","Global Evaluative Assessment of Robotic Skills (GEARS) Scale|Amount Time to Suture|Amount of Time to Achieve Proficiency","George Washington University","All","Child, Adult, Older Adult","Not Applicable","36","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Other","111547","December 2015","March 2016","November 2016","September 9, 2016","April 18, 2017","April 18, 2017","George Washington University Medical Faculty Associates, Washington, District of Columbia, United States",,"https://ClinicalTrials.gov/show/NCT02895347"
13,"NCT03931980","Robotic Versus Laparoscopic Approach for Rectal Cancer Surgery",,"Recruiting","No Results Available","Rectal Cancer","Procedure: Robotic-assisted rectal cancer resection and Laparoscopic rectal cancer resection","Conversion to open surgery|Time of surgery","Binh Dan Hospital","All","Child, Adult, Older Adult","Not Applicable","100","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BD012019","January 1, 2019","December 31, 2020","February 28, 2021","April 30, 2019",,"May 7, 2019","Binh Dan hospital, Ho Chi Minh City, Vietnam",,"https://ClinicalTrials.gov/show/NCT03931980"
14,"NCT03727425","Robotic Bronchoscopy for Peripheral Pulmonary Lesions",,"Active, not recruiting","No Results Available","Lung; Node","Device: Robotic assisted bronchoscopy","Incidence of device or procedure related adverse events|Successful navigation to targeted peripheral pulmonary lesions|Incidence of complications unrelated to device|Time to R-EBUS confirmation (lesion localization)|Time to the tissue acquisition confirmation|Total procedure time|Procedure interruptions|Radiographic and procedural factors that influence the ability to successfully navigate to peripheral lesions|Diagnostic yield|Conversion to conventional bronchoscopic procedure","Auris Health, Inc.","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","55","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","18-BR-0001","November 1, 2018","September 12, 2019","June 30, 2020","November 1, 2018",,"September 25, 2019","Henry Ford Health System, Detroit, Michigan, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Cleveland Clinic, Cleveland, Ohio, United States|Medical University of South Carolina, Charleston, South Carolina, United States|Innova Fairfax Hospital, Falls Church, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT03727425"
15,"NCT04452695","Acceptability of Telehealth Triage Using Robotic Systems in COVID-19",,"Recruiting","No Results Available","COVID-19|Telemedicine|Robotics|Emergencies|Emerging Infectious Disease","Device: Doctor Spot","Acceptance of robotic telehealth system|Willingness to interact with robotic telehealth system|Satisfaction of interacting with a robotic telehealth system|Use of robotic system versus in-person triage","Brigham and Women's Hospital","All","18 Years and older   (Adult, Older Adult)",,"50","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2020P000957","March 10, 2020","July 31, 2020","July 31, 2020","June 30, 2020",,"June 30, 2020","Brigham and Women's Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04452695"
16,"NCT02558621","New Robotic Assistance System for Spinal Fusion Surgery","AQrate","Completed","No Results Available","Degenerative Disc Disease|Spinal Stenosis|Spondylolisthesis|Spondylosis","Device: AQrate Robotic Assistance System","clinical acceptance of the performance of the AQrate Robotic Assistance System.|Intraoperative exposure to radiation|Accuracy of spinal screws placed","KB Medical SA","All","18 Years to 85 Years   (Adult, Older Adult)","Not Applicable","24","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AQrate01/2015","September 2015","May 2016","May 2016","September 24, 2015",,"May 10, 2016","Clinic Genolier, Genolier, VD, Switzerland|Hôpital du Valais, Sion, VS, Switzerland",,"https://ClinicalTrials.gov/show/NCT02558621"
17,"NCT03313700","Clinical Outcomes of Robotic Versus Laparoscopic Distal Gastrectomy for Gastric Cancer","RDG","Active, not recruiting","No Results Available","Stomach Neoplasm|Robotic Surgery","Procedure: Robotic Distal Gastrectomy|Procedure: Laparoscopic Distal Gastrectomy","3-year disease free survival rate|3-year overall survival rate|3-year recurrence pattern|overall postoperative morbidity rates|intraoperative morbidity rates|overall postoperative serious morbidity rates|number of retrieved lymph nodes|the noncompliance rate of lymphadenectomy|Time to first ambulation|Time to first flatus|Time to first liquid diet|Time to first soft diet|Duration of postoperative hospital stay|The variation of weight|The variation of cholesterol|The variation of album|The variation of white blood cell count|The variation of hemoglobin|Hospitalization expenses|operation time","Fujian Medical University","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2017-02","September 1, 2017","December 31, 2019","August 2022","October 18, 2017",,"April 3, 2020","Fujian Medical University Union Hospital, Fuzhou, Fujian, China",,"https://ClinicalTrials.gov/show/NCT03313700"
18,"NCT04233710","Robotic Rehabilitation and Brain Stimulation for Children With Hemiparetic Cerebral Palsy","RoboCP","Recruiting","No Results Available","Hemiplegic Cerebral Palsy|Perinatal Stroke","Combination Product: Robot Rehabilitation + tDCS|Behavioral: Robotic Rehabilitation + sham tDCS","Reaching Accuracy|Standardized robotic measures of motor and sensory performance|Assisting Hand Assessment|Box and Block Assessment|Purdue Pegboard","University of Calgary","All","6 Years to 18 Years   (Child, Adult)","Phase 2","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","REB17-1008","March 25, 2019","December 31, 2020","December 31, 2021","January 18, 2020",,"January 18, 2020","Alberta Children's Hospital, Calgary, Alberta, Canada",,"https://ClinicalTrials.gov/show/NCT04233710"
19,"NCT01618292","Cohort Study of Bowel Function Following Robotic-assisted Laparoscopic Sacrocolpopexy",,"Completed","No Results Available","Pelvic Organ Prolapse|Constipation|Bowel Dysfunction|Irritable Bowel Syndrome","Procedure: Robotic sacral colpopexy","Changes in bowel function|Objective anatomic outcomes","Atlantic Health System","Female","Child, Adult, Older Adult",,"393","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","R11-08-011","January 2007","August 2012","August 2012","June 13, 2012",,"January 28, 2014","Atlantic Health System, Morristown, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT01618292"
20,"NCT03524300","Clinical Efficacy Between Robotic and Laparoscopic Total Gastrectomy in Patients With Clinical Stage I Gastric Cancer",,"Recruiting","No Results Available","Stomach Neoplasm|Robotic Surgery","Procedure: Robotic Assisted Total Gastrectomy|Procedure: Laparoscopic Assisted Total Gastrectomy","3-year disease free survival rate|3-year overall survival rate|3-year recurrence pattern|overall postoperative morbidity rates|intraoperative morbidity rates|overall postoperative serious morbidity rates|Time to first ambulation|Time to first flatus|Time to first liquid diet|Time to first soft diet|Duration of postoperative hospital stay|The variation of weight|The variation of white blood cell count|Hospitalization expenses|operation time","Fujian Medical University","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","220","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FUGES-015","June 1, 2018","November 30, 2021","November 30, 2024","May 14, 2018",,"February 5, 2020","Fujian Medical University Union Hospital, Fuzhou, Fujian, China",,"https://ClinicalTrials.gov/show/NCT03524300"
21,"NCT03145532","Transcranial Direct-Current Stimulation (tCDS) and Robotics for Children With Hemiplegia",,"Recruiting","No Results Available","Cerebral Palsy|Hemiplegia","Other: tDCS plus robotic training","Change in Assisting Hand Assessment after intervention|Change in Jebsen-Taylor Test of Hand Function after intervention|Change in Box and blocks test after intervention","Blythedale Children's Hospital","All","6 Years to 17 Years   (Child)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","16-1003KF","June 12, 2017","June 1, 2021","June 1, 2022","May 9, 2017",,"October 14, 2019","Kathleen Friel, Valhalla, New York, United States",,"https://ClinicalTrials.gov/show/NCT03145532"
22,"NCT02700061","Effects of Upper Limb Motor and Robotic Training Over Neuroplasticity and Function Capacity","NARLE1","Unknown status","No Results Available","Stroke","Procedure: Robotic occupational therapy|Procedure: Induced Constraint Therapy - ICT","Change on Motor Function assessed by Wolf Motor Function scale|Change on Motor Function assessed by Fugl Meyer scale|Change on Motor Function assessed by Robotic scale|Change on Function ability and quality of movement assessed by Arm Motor Ability Test (AMAT)|Change on Functional Independence Measure (FIM) as assessed by FIM scale|Change on Quality of life assessed by Stroke Impact Scale (SIS)|Change on Kinematic variables assessed by InMotion robots","University of Sao Paulo General Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 2","51","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment","0910.0.015.000-11","February 2012","April 2016","February 2017","March 7, 2016",,"March 7, 2016","Centro de Pesquisa Clínica do Instituto de Medicina Física e Reabilitação do HCFMUSP, Sao Paulo, Brazil",,"https://ClinicalTrials.gov/show/NCT02700061"
23,"NCT00381966","Study of Robotic Template Guidance for Needle Placement in Transperineal Prostate Brachytherapy","J0511","Completed","Has Results","Prostate Cancer","Device: robotic placement device","Positioning Effectiveness as Determined by Confirmatory Measurements of Robotic Movements|Utility of the Needle Position Device: Number of Adjustments Possible Out of Adjustments Attempted","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins|National Cancer Institute (NCI)","Male","18 Years and older   (Adult, Older Adult)","Not Applicable","5","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Device Feasibility","J0511|5R44CA088139-04|05-03-28-03|SBIR Ph1/Ph2","June 2006","December 2008","December 2008","September 28, 2006","June 29, 2018","November 26, 2019","The Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT00381966"
24,"NCT03283982","Laparoscopic vs. Robotic Ventral Hernia Repair With IPOM",,"Enrolling by invitation","No Results Available","Ventral Hernia","Device: Robotic Ventral Hernia Repair with IPOM|Device: Laparoscopic Ventral Hernia Repair with IPOM","Postoperative Pain Scores|Surgical Site Infection|Surgical Site Occurrences|Surgical Site Occurrences requiring Procedural Intervention|Ventral Hernia Recurrence|Abdominal Wall Specific Quality of Life|Postoperative pain scores","The Cleveland Clinic|Intuitive Surgical","All","18 Years and older   (Adult, Older Adult)","Not Applicable","74","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","17-1053","September 11, 2017","September 2020","December 2021","September 15, 2017",,"October 15, 2019","Cleveland Clinic Comprehensive Hernia Center, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT03283982"
25,"NCT03038269","tDCS and Robotic Training in Adults With Cerebral Palsy",,"Recruiting","No Results Available","Cerebral Palsy|Hemiplegia","Behavioral: Upper Extremity Robotics, tDCS","Fugl-Meyer Assessment of Motor Recovery|Wolf Motor Function Test|Box and Blocks Test","Burke Medical Research Institute","All","15 Years to 70 Years   (Child, Adult, Older Adult)","Not Applicable","22","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Supportive Care","BRC 467","December 2013","December 2019","December 2019","January 31, 2017",,"July 10, 2019","Burke Medical Research Institute, White Plains, New York, United States",,"https://ClinicalTrials.gov/show/NCT03038269"
26,"NCT04108117","Surgical and Oncologic Outcomes After Robotic Nipple Sparing Mastectomy and Immediate Reconstruction","SORI","Enrolling by invitation","No Results Available","Postoperative Complications|Recurrence|Breast Neoplasms|Breast Cancer|BRCA1 Mutation|BRCA2 Mutation|Surgery|Surgery--Complications","Procedure: Robotic nipple sparing mastectomy","Locoregional recurrence-free survival (LRFS)|Postoperative complication rates in 30 days|Clavien-Dindo grade of postoperative complications|Nipple necrosis rates|Recurrence free survival (RFS)|Complications per case|Patient's satisfaction|Surgeon's satisfaction|Operation times","Severance Hospital|European Institute of Oncology|Changhua Christian Hospital|Gustave Roussy, Cancer Campus, Grand Paris","Female","Child, Adult, Older Adult",,"300","Other","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","4-2019-0834","May 14, 2020","September 1, 2020","December 1, 2020","September 27, 2019",,"May 19, 2020","Yonsei University College of Medicine, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT04108117"
27,"NCT03673410","Robotic Versus Laparoscopic Techniques for Revisional Bariatric Surgery",,"Not yet recruiting","No Results Available","Bariatric Surgery|Robotic Surgery","Procedure: Robotic bariatric surgery - revisional|Procedure: Laparoscopic bariatric surgery - revisional","Short term complication rate|Readmission|Long-term reintervention|Weight loss in kgs|BMI change (in kg/m2)|Diabetes resolution|Hypertension resolution|Sleep apnea resolution","McMaster University","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","Robotic revisional surgery","January 1, 2019","July 31, 2020","July 31, 2025","September 17, 2018",,"September 17, 2018",,,"https://ClinicalTrials.gov/show/NCT03673410"
28,"NCT04423796","Robotic Assisted Early Mobilization in Ventilated ICU Patients","ROBEM-I","Not yet recruiting","No Results Available","Critical Illness Polyneuromyopathy|Critical Illness|Early Ambulation|Rehabilitation","Device: Robotic-assisted early mobilization|Other: Early mobilization","Feasibility of early mobilization|Mobilization level|Mobilization duration|Frequency of mobilization|Pain level|Anxiety|Patient satisfaction with mobilization|Inflammatory response|Health care provider assessment|Muscle wasting|Oxygen consumption during mobilization|Oesophageal pressure|Safety events","Charite University, Berlin, Germany|Reactive Robotics GmbH","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ROBEM I","June 15, 2020","October 31, 2020","November 30, 2020","June 9, 2020",,"June 11, 2020",,,"https://ClinicalTrials.gov/show/NCT04423796"
29,"NCT02274493","Robotic Harvest of the Latissimus Dorsi (LD) Muscles",,"Completed","Has Results","Other Reconstructive Surgery|Failure of Muscle Graft|Cancer|Complications|Surgical Procedure, Unspecified","Device: da Vinci® Robotic Surgical System|Procedure: LD muscle flap harvest procedure|Procedure: Reconstructive surgery|Behavioral: Questionnaires","Number of Participants Assessed for Donor Site Complications and Muscle Flap Viability|Number of Participants With LD Muscle Flap Viability Following Robotic-Assisted Harvest Procedure|Evaluation of Donor Site Complications Through 6 Months Post-procedure|LD Muscle Flap Failure Through 6 Months Post-procedure","M.D. Anderson Cancer Center","All","18 Years and older   (Adult, Older Adult)","Not Applicable","15","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2013-0232|NCI-2015-00616","July 8, 2015","March 7, 2018","March 7, 2018","October 24, 2014","March 14, 2019","March 26, 2019","University of Texas MD Anderson Cancer Center, Houston, Texas, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/93/NCT02274493/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02274493"
