Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
ENHANCING WORKSITE CANCER PREVENTION THROUGH THE HOME,NCI,6217409,3P01CA050087-10S1,3,P01,CA,50087,10,S1,2,9661605,"ABRAMS, DAVID BRIAN",Not Applicable,UNIVERSITY OF RHODE ISLAND,,1999,,0
CORE--INTERVENTION TECHNOLOGY,NCI,6217414,3P01CA050087-10S1,3,P01,CA,50087,10,S1,9002,9661605,"ABRAMS, DAVID BRIAN",Not Applicable,UNIVERSITY OF RHODE ISLAND,,1999,,0
ENHANCING WORKSITE CANCER PREVENTION THROUGH THE HOME,NCI,6102564,5P01CA050087-10,5,P01,CA,50087,10,,2,9661605,"ABRAMS, DAVID BRIAN",Not Applicable,UNIVERSITY OF RHODE ISLAND,,1998,,
CORE--INTERVENTION TECHNOLOGY,NCI,6102569,5P01CA050087-10,5,P01,CA,50087,10,,9002,9661605,"ABRAMS, DAVID BRIAN",Not Applicable,UNIVERSITY OF RHODE ISLAND,,1998,,
ENHANCING WORKSITE CANCER PREVENTION THROUGH THE HOME,NCI,6237078,5P01CA050087-09,5,P01,CA,50087,9,,2,9661605,"ABRAMS, DAVID BRIAN",Not Applicable,UNIVERSITY OF RHODE ISLAND,,1997,,309009
CORE--INTERVENTION TECHNOLOGY,NCI,6237083,5P01CA050087-09,5,P01,CA,50087,9,,9002,9661605,"ABRAMS, DAVID BRIAN",Not Applicable,UNIVERSITY OF RHODE ISLAND,,1997,,309009
Secondary Analysis of EHR Data to Examine Relative Impact of Oral Health History on Incident Pneumonia by Settings,NIDCR,9784789,5R03DE027020-02,5,R03,DE,27020,2,,,10416723,"ACHARYA, AMIT ",Not Applicable,MARSHFIELD CLINIC RESEARCH FOUNDATION,,2019,159914,
Personalized multimedication packaging with integrated real-time instrumentation to improve adherence,NCATS,9846816,1R43TR003071-01,1,R43,TR,3071,1,,,11315234,"ACWORTH, EDWARD ",Not Applicable,INSIGHTFIL,,2019,225000,
Tough Talks: A Disclosure Intervention for HIV+ YMSM,NIMH,9707883,5R44MH104102-05,5,R44,MH,104102,5,,,8949861,"ADAMS LARSEN, MARGO  ","HIGHTOW-WEIDMAN, LISA B","VIRTUALLY BETTER, INC.",,2019,352289,
Tough Talks: A Disclosure Intervention for HIV+ YMSM,NIMH,9503774,5R44MH104102-04,5,R44,MH,104102,4,,,8949861,"ADAMS LARSEN, MARGO  ","HIGHTOW-WEIDMAN, LISA B","VIRTUALLY BETTER, INC.",,2018,590141,
Tough Talks: A Disclosure Intervention for HIV+ YMSM,NIMH,9348065,2R44MH104102-03,2,R44,MH,104102,3,,,8949861,"ADAMS LARSEN, MARGO  ","HIGHTOW-WEIDMAN, LISA B","VIRTUALLY BETTER, INC.",,2017,530730,
Arkansas Bioinformatics Consortium,FDA,9961522,5R13FD006690-02,5,R13,FD,6690,2,,,12328003,"ADAMS, JERRY ",Not Applicable,ARKANSAS RESEARCH ALLIANCE,,2020,15000,
Identifying opioid response phenotypes in low back pain electronic health data,NIBIB,9667431,5K08EB022631-04,5,K08,EB,22631,4,,,11210225,"ADAMS, MEREDITH C. B.",Not Applicable,WAKE FOREST UNIVERSITY HEALTH SCIENCES,,2019,184373,
Identifying Patterns of Cognitive; Motor; and Brain Structural Abnormalities Differentiating Alcohol Use Disorder with and without HIV Infection Comorbidity,NIAAA,9768139,5F32AA026762-02,5,F32,AA,26762,2,,,15125348,"ADELI-MOSABBEB, EHSAN ",Not Applicable,STANFORD UNIVERSITY,,2019,22899,
A comprehensive liquid biopsy platform for detection and prognostication in early stage breast cancer,NCI,9784775,5U01CA233363-02,5,U01,CA,233363,2,,,11044941,"AGARWAL, ASHUTOSH  ","COTE, RICHARD JAMES",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,,2019,560831,
Linking human enhancers to predictive models of mRNA abundance,NHGRI,9804719,1K99HG010662-01,1,K99,HG,10662,1,,,12161827,"AGARWAL, VIKRAM ",Not Applicable,UNIVERSITY OF WASHINGTON,,2019,119880,
Developing Objective Assessment of Physical Activity and Sedentary Behavior for Adults with Down Syndrome,NICHD,9730779,1R15HD098660-01,1,R15,HD,98660,1,,,11145301,"AGIOVLASITIS, STAMATIS ",Not Applicable,MISSISSIPPI STATE UNIVERSITY,,2019,423824,
Prospective Slice Tracking for Cardiac MRI,NIBIB,9762101,5R21EB026657-02,5,R21,EB,26657,2,,,9231849,"AHMAD, RIZWAN  ","SIMONETTI, ORLANDO PAUL",OHIO STATE UNIVERSITY,,2019,223680,
Molecular and biophysical mechanism of plasma membrane internalization during nonclathrin endocytosis,NIGMS,9721597,1K99GM132551-01,1,K99,GM,132551,1,,,11165588,"AKAMATSU, MATTHEW SATARO",Not Applicable,UNIVERSITY OF CALIFORNIA BERKELEY,,2019,96768,
TRD3 - Image Reconstruction,NIBIB,9633118,1P41EB027061-01,1,P41,EB,27061,1,,6074,10663512,"AKCAKAYA, MEHMET ",Not Applicable,UNIVERSITY OF MINNESOTA,,2019,,221908
A Software Platform for the Identification of Cell Surface Antigens Using RNA-seq Data,NCI,9909639,1R43CA246950-01,1,R43,CA,246950,1,,,10512346,"AKERMAN, MARTIN ",Not Applicable,"ENVISAGENICS, INC.",,2019,301502,
SpliceCore: A Cloud-Based Software Platform to Translate Alternative Splicing Events into Therapeutic Targets Using RNA-seq Data,NIGMS,9677178,5R44GM116478-03,5,R44,GM,116478,3,,,10512346,"AKERMAN, MARTIN ",Not Applicable,"ENVISAGENICS, INC.",,2019,517226,
A Comprehensive Structural and Dynamic Map of DNA Duplex Ends,NIGMS,7024252,1R21GM073617-01A1,1,R21,GM,73617,1,A1,,6200626,"AKESON, MARK A",Not Applicable,UNIVERSITY OF CALIFORNIA SANTA CRUZ,,2006,172838,
A Unified Nanopore Platform for Direct Sequencing of Individual Full Length RNA Strands Bearing Modified Nucleotides,NHGRI,9706908,5R01HG010053-02,5,R01,HG,10053,2,,,6200626,"AKESON, MARK A",Not Applicable,UNIVERSITY OF CALIFORNIA SANTA CRUZ,,2019,954816,
Multi-Scale 3-D Image Analytics for High Dimensional Spatial Mapping of Normal Tissues,NCI,9893208,1UH3CA246594-01,1,UH3,CA,246594,1,,,11995944,"AL-KOFAHI, YOUSEF ",Not Applicable,GENERAL ELECTRIC GLOBAL RESEARCH CTR,,2019,587413,
Electrocardiographic Detection of Non-ST Elevation Myocardial Events for Accelerated Classification of Chest Pain Encounters (ECG-SMART),NHLBI,9681483,5R01HL137761-02,5,R01,HL,137761,2,,,11966765,"AL-ZAITI, SALAH S",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2019,370300,
Using Markov Decision Processes to Optimize Breast Biopsy Decision Making,NCI,7559005,5R21CA129393-02,5,R21,CA,129393,2,,,8680137,"ALAGOZ, OGUZHAN ",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON,,2009,153320,
Using Markov Decision Processes to Optimize Breast Biopsy Decision Making,NCI,7385606,1R21CA129393-01A1,1,R21,CA,129393,1,A1,,8680137,"ALAGOZ, OGUZHAN ",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON,,2008,185293,
Mining Social Media Messages for HIV Testing and Prevention Communication,NIMH,9785634,5R01MH114847-02,5,R01,MH,114847,2,,,2097462,"ALBARRACIN, DOLORES ",Not Applicable,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,,2019,565763,
Mechanistic Machine Learning,NLM,9767278,5R01LM012734-04,5,R01,LM,12734,4,,,10534283,"ALBERS, DAVID J. ","GLUCKMAN, BRUCE J;HRIPCSAK, GEORGE M",UNIVERSITY OF COLORADO DENVER,,2019,660597,
Harnessing Diverse BioInformatic Approaches to Repurpose Drugs for Alzheimers Disease,NIA,9789798,5R01AG058063-02,5,R01,AG,58063,2,,,6625336,"ALBERS, MARK W ","SORGER, PETER KARL",MASSACHUSETTS GENERAL HOSPITAL,,2019,768451,
CENTER ADMINISTRATIVE,NIDCD,8301754,5P30DC005207-10,5,P30,DC,5207,10,,9004,1863790,"ALBERT, MARTIN L",Not Applicable,BOSTON UNIVERSITY MEDICAL CAMPUS,,2011,,68759
CENTER ADMINISTRATIVE,NIDCD,8136092,5P30DC005207-09,5,P30,DC,5207,9,,9004,1863790,"ALBERT, MARTIN L",Not Applicable,BOSTON UNIVERSITY MEDICAL CAMPUS,,2010,,69453
CENTER ADMINISTRATIVE,NIDCD,7915363,5P30DC005207-08,5,P30,DC,5207,8,,9004,1863790,"ALBERT, MARTIN L",Not Applicable,BOSTON UNIVERSITY MEDICAL CAMPUS,,2009,,70154
CENTER ADMINISTRATIVE,NIDCD,7692407,5P30DC005207-07,5,P30,DC,5207,7,,9004,1863790,"ALBERT, MARTIN L",Not Applicable,BOSTON UNIVERSITY MEDICAL CAMPUS,,2008,,70154
AUTOMATED SYSTEM FOR TELEPHONIC MGMT OF ASTHMA,NHLBI,6183366,5R44HL059024-03,5,R44,HL,59024,3,,,8627517,"ALBISSER, ANTHONY MICHAEL",Not Applicable,BETTER CONTROL MEDICAL COMPUTERS (BCMC),,2000,357308,
AUTOMATED SYSTEM FOR TELEPHONIC MGMT OF ASTHMA,NHLBI,2777211,2R44HL059024-02,2,R44,HL,59024,2,,,8627517,"ALBISSER, ANTHONY MICHAEL",Not Applicable,BETTER CONTROL MEDICAL COMPUTERS (BCMC),,1999,392475,
AUTOMATED SYSTEM FOR TELEPHONE HOME MANAGEMENT OF ASTHMA,NHLBI,2421250,1R43HL059024-01,1,R43,HL,59024,1,,,8627517,"ALBISSER, ANTHONY MICHAEL",Not Applicable,BETTER CONTROL MEDICAL COMPUTERS (BCMC),,1997,99997,
PROTEIN HOMOLOGY FROM NEAREST NEIGHBOR NEURAL NETWORKS,NIGMS,2023106,1R43GM053417-01A1,1,R43,GM,53417,1,A1,,1964375,"ALDERMAN, JERRY L",Not Applicable,ST. JOHNS RESEARCH CORPORATION,,1997,100000,
PROCESSING OF HIGH RESOLUTION ELECTRON MICROGRAPHS,NCRR,5204053,1Z01RR010225-11,1,Z01,RR,10225,11,,,3178755,"ALDROUBI, A ",Not Applicable,,,1995,,
Automatic Rib Fracture Detection in Pediatric Radiography to Identify Non-Accidental Trauma,NICHD,9658063,1R21HD097609-01,1,R21,HD,97609,1,,,8540275,"ALESSIO, ADAM M",Not Applicable,MICHIGAN STATE UNIVERSITY,,2019,223004,
Principled Methods for Very Large-Scale Causal Discovery,NLM,6930544,5R01LM007948-03,5,R01,LM,7948,3,,,6831187,"ALIFERIS, CONSTANTIN F",Not Applicable,VANDERBILT UNIVERSITY,,2005,199320,
Principled Methods for Very Large-Scale Causal Discovery,NLM,6784073,5R01LM007948-02,5,R01,LM,7948,2,,,6831187,"ALIFERIS, CONSTANTIN F",Not Applicable,VANDERBILT UNIVERSITY,,2004,232540,
Principled Methods for Very Large-Scale Causal Discovery,NLM,6670333,1R01LM007948-01,1,R01,LM,7948,1,,,6831187,"ALIFERIS, CONSTANTIN F",Not Applicable,VANDERBILT UNIVERSITY,,2003,199320,
MEMORY STORAGE IN NEURAL NETWORKS,NINDS,2579516,1Z01NS002151-22,1,Z01,NS,2151,22,,,6231419,"ALKON, D L",Not Applicable,,,1996,,
MEMORY STORAGE IN NEURAL NETWORKS,NINDS,5203889,1Z01NS002151-21,1,Z01,NS,2151,21,,,3218598,"ALKON, D L",Not Applicable,,,1995,,
MEMORY STORAGE IN NEURAL NETWORKS,NINDS,3760221,1Z01NS002151-20,1,Z01,NS,2151,20,,,3218598,"ALKON, D L",Not Applicable,,,1994,,
MEMORY STORAGE IN NEURAL NETWORKS,NINDS,3782302,1Z01NS002151-19,1,Z01,NS,2151,19,,,3218598,"ALKON, D L",Not Applicable,,,1993,,
MEMORY STORAGE IN NEURAL NETWORKS,NINDS,3846167,1Z01NS002151-18,1,Z01,NS,2151,18,,,3218598,"ALKON, D L",Not Applicable,,,1992,,
MEMORY STORAGE IN NEURAL NETWORKS,NINDS,3860767,1Z01NS002151-17,1,Z01,NS,2151,17,,,3218598,"ALKON, D L",Not Applicable,,,1991,,
INFORMATION PROCESSING IN SIMPLE NERVOUS SYSTEM,NINDS,3881690,1Z01NS002151-16,1,Z01,NS,2151,16,,,3218598,"ALKON, D L",Not Applicable,,,1990,,
INFORMATION PROCESSING IN SIMPLE NERVOUS SYSTEM,NINDS,3922486,1Z01NS002151-15,1,Z01,NS,2151,15,,,3218598,"ALKON, D L",Not Applicable,,,1988,,
INFORMATION PROCESSING IN SIMPLE NERVOUS SYSTEM,NINDS,3945194,1Z01NS002151-14,1,Z01,NS,2151,14,,,3218598,"ALKON, D L",Not Applicable,,,1987,,
INFORMATION PROCESSING IN SIMPLE NERVOUS SYSTEM,NINDS,3968920,1Z01NS002151-12,1,Z01,NS,2151,12,,,3218598,"ALKON, D L",Not Applicable,,,1986,,
MAPS: Mobile Assessment for the Prediction of Suicide,NIMH,9773224,5U01MH116923-02,5,U01,MH,116923,2,,,2081490,"ALLEN, NICHOLAS B ","AUERBACH, RANDY PATRICK",UNIVERSITY OF OREGON,,2019,721420,
HYPERTENSION EXPERT SYSTEM,CIT,3896416,1Z01CT000178-02,1,Z01,CT,178,2,,,3408223,"ALLEN, S I",Not Applicable,,,1989,,
COMPUTING ENVIRONMENTS FOR GRAPHICAL BELIEF MODELS,NCRR,3505371,1R43RR007749-01,1,R43,RR,7749,1,,,1957670,"ALMOND, RUSSELL G",Not Applicable,INSIGHTFUL CORPORATION,,1992,47250,
PED Screen: Pediatric Sepsis EHR Registry; Clinical Outcomes; and Predictive Model,NICHD,9626417,5R01HD087363-03,5,R01,HD,87363,3,,,9702625,"ALPERN, ELIZABETH RACHEL",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO,,2019,616807,
SenseWhy: Overeating in Obesity Through the Lens of Passive Sensing,NIDDK,9613247,5K25DK113242-02,5,K25,DK,113242,2,,,12685807,"ALSHURAFA, NABIL ",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO,,2019,165108,
Phenotypic variability within isogenic population of lymphocytes,NCI,10014789,1ZIABC011726-04,1,ZIA,CA,11726,4,,,15201697,"ALTAN-BONNET, GREGOIRE ",Not Applicable,,,2019,115681,
Immunophenotyping by CyTOF and machine learning,NCI,10014846,1ZIABC011807-02,1,ZIA,CA,11807,2,,,15201697,"ALTAN-BONNET, GREGOIRE ",Not Applicable,,,2019,289203,
Beyond Association: Predictive Modeling of Nicotine Dependance,NIDA,7617627,5R21DA025168-02,5,R21,DA,25168,2,,,8802789,"ALTEROVITZ, GIL ",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL,,2009,175000,
Automated Integration of Biomedical Knowledge,NHGRI,7945368,5R01HG004836-02,5,R01,HG,4836,2,,,8802789,"ALTEROVITZ, GIL ",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL,YES,2010,428079,
Developing an Artificial Intelligence Chatbot to Promote HIV Testing,NIAID,10082768,1R21AI152927-01A1,1,R21,AI,152927,1,A1,,1870165,"ALTICE, FREDERICK LEWIS",Not Applicable,YALE UNIVERSITY,,2020,248218,
The PharmGKB: Catalyzing Research in Pharmacogenetics,NIGMS,7109270,5U01GM061374-07,5,U01,GM,61374,7,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2006,2832656,
The PharmGKB: Catalyzing Research in Pharmacogenetics,NIGMS,6942558,2U01GM061374-06,2,U01,GM,61374,6,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2005,2851826,
THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6736326,5U01GM061374-05,5,U01,GM,61374,5,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2004,2152102,
THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6738628,3U01GM061374-04S1,3,U01,GM,61374,4,S1,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2003,159000,
THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6636465,5U01GM061374-04,5,U01,GM,61374,4,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2003,1939629,
THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6649647,3U01GM061374-03S1,3,U01,GM,61374,3,S1,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2002,232118,
THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6520265,5U01GM061374-03,5,U01,GM,61374,3,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2002,1891894,
THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6495900,3U01GM061374-02S1,3,U01,GM,61374,2,S1,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2001,35096,
THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6387173,5U01GM061374-02,5,U01,GM,61374,2,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2001,1951937,
THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6344145,3U01GM061374-01S2,3,U01,GM,61374,1,S2,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2000,141192,
THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6323962,3U01GM061374-01S1,3,U01,GM,61374,1,S1,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2000,186611,
THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6132622,1U01GM061374-01,1,U01,GM,61374,1,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2000,1638812,
INTELLIGENT SYSTEMS FOR MOLECULAR BIOLOGY CONFERENCE,NLM,2238155,1R13LM005768-01,1,R13,LM,5768,1,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,1994,9900,
Graduate Training in Biomedical Informatics,NLM,7457660,5T15LM007033-25,5,T15,LM,7033,25,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2008,967500,
Graduate Training in Biomedical Informatics,NLM,7213982,2T15LM007033-24,2,T15,LM,7033,24,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2007,1364540,
Graduate Training in Biomedical Informatics,NLM,7390557,3T15LM007033-23S1,3,T15,LM,7033,23,S1,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2007,54000,
CORE RESEARCH--MICROPOPULATION SIMULATION MODULES DEVELOPMENT; SUMMERS,NCRR,6120311,5P41RR001632-13,5,P41,RR,1632,13,,9003,6244823,"ALTMANN, MICHAEL A.",Not Applicable,UNIVERSITY OF MINNESOTA TWIN CITIES,,1995,,
NIDA STRENGTHENING WASHINGTON; DC FAMILIES GRANT,NIDA,2882620,5R01DA010825-02,5,R01,DA,10825,2,,,6160124,"ALVARADO, ROSE L",Not Applicable,UNIVERSITY OF UTAH,,1999,773374,
NIDA STRENGTHENING WASHINGTON; DC FAMILIES GRANT,NIDA,2487768,1R01DA010825-01A1,1,R01,DA,10825,1,A1,,6160124,"ALVARADO, ROSE L",Not Applicable,UNIVERSITY OF UTAH,,1998,709663,
Office of the Scientific Director,NIMH,10021346,1ZIAMH002917-12,1,ZIA,MH,2917,12,,,11999773,"AMARA, SUSAN ",Not Applicable,NATIONAL INSTITUTE OF MENTAL HEALTH,,2019,3925691,
Modeling Core,NIAID,9626383,5U19AI135964-02,5,U19,AI,135964,2,,6183,7601541,"AMARAL, LUIS A. NUNES",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO,,2019,,525604
Genome Clustering for Clinical Subtype Detection in Autism,NIMH,9773221,5F30MH115584-03,5,F30,MH,115584,3,,,12334774,"AMATYA, DEBHA NARSINGH",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",,2019,43812,
IMPROVING DECISION-SUPPORT SYSTEMS WITH DOMAIN KNOWLEDGE,NLM,2237607,1F37LM000048-01,1,F37,LM,48,1,,,1949396,"AMBROSINO, RICHARD ",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,1996,43684,
AUGS/DUKE UrogynCREST program,NICHD,9703267,1R25HD094667-01A1,1,R25,HD,94667,1,A1,,8662485,"AMUNDSEN, CINDY ",Not Applicable,DUKE UNIVERSITY,,2019,161462,
Development of a Rapid Method for Imaging Regional Ventilation in Small Animals w/o Contrast Agents,NIBIB,9927856,7R01EB023045-04,7,R01,EB,23045,4,,,2205403,"ANASTASIO, MARK A",Not Applicable,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,,2019,408514,
MULTIMEDIA FITNESS PROMOTION FOR SEDENTARY ADULTS,NHLBI,2031539,1R43HL058338-01,1,R43,HL,58338,1,,,7723192,"ANDERSON, MICHAEL ",Not Applicable,"HEALTH MEDIA LAB, INC.",,1997,100000,
CANCER PROTEIN DATA BASE,NCI,3491144,1R43CA040855-01,1,R43,CA,40855,1,,,1874111,"ANDERSON, NORMAN G",Not Applicable,LARGE SCALE BIOLOGY CORPORATION,,1986,50000,
Automated Plaque Detection and Classification using MRI,NHLBI,6951380,5R44HL071470-03,5,R44,HL,71470,3,,,2186677,"ANDERSON, RUSSELL WAYNE",Not Applicable,ISCHEM CORPORATION,,2005,374972,
Automated Plaque Detection and Classification using MRI,NHLBI,6833334,2R44HL071470-02,2,R44,HL,71470,2,,,2186677,"ANDERSON, RUSSELL WAYNE",Not Applicable,ISCHEM CORPORATION,,2004,374972,
A robust platform for multiplexed; subcellular proteomic imaging in human tissue,NCI,9894465,1UH3CA246633-01,1,UH3,CA,246633,1,,,11579647,"ANGELO, ROBERT MICHAEL ","BENDALL, SEAN CURTIS",STANFORD UNIVERSITY,,2019,590000,
Neuroinformatics platform using machine learning and content-based image retrieval for neuroscience image data,NIMH,9797689,4R44MH118815-02,4,R44,MH,118815,2,,,11041450,"ANGSTMAN, PAUL ",Not Applicable,"MICROBRIGHTFIELD, INC.",,2019,748584,
Advancing artificial intelligence algorithms for chest x-ray screening and visualization,NLM,10016025,1ZIALM010004-04,1,ZIA,LM,10004,4,,,14765974,"ANTANI, SAMEER ",Not Applicable,NATIONAL LIBRARY OF MEDICINE,,2019,533106,
Advancing artificial intelligence algorithms for cervical cancer diagnostics ,NLM,10016030,1ZIALM010014-02,1,ZIA,LM,10014,2,,,14765974,"ANTANI, SAMEER ",Not Applicable,NATIONAL LIBRARY OF MEDICINE,,2019,562723,
Rad-path-omic tools for rectal cancer treatment evaluation,NCI,9683190,1F31CA216935-01A1,1,F31,CA,216935,1,A1,,14630438,"ANTUNES, JACOB ",Not Applicable,CASE WESTERN RESERVE UNIVERSITY,,2019,45016,
A Quantitative Systems Pharmacology Software Platform for Biologics: reduce costs and accelerate development of innovative biotherapeutics,NIGMS,9266447,5R44GM116214-02,5,R44,GM,116214,2,,,12368310,"APGAR, JOSHUA ",Not Applicable,"APPLIED BIOMATH, LLC",,2017,1016648,
A Quantitative Systems Pharmacology Software Platform for Biologics: reduce costs and accelerate development of innovative biotherapeutics,NIGMS,9138949,1R44GM116214-01A1,1,R44,GM,116214,1,A1,,12368310,"APGAR, JOSHUA ",Not Applicable,"APPLIED BIOMATH, LLC",,2016,469938,
Motor cortex network dynamics driving stroke recovery,NINDS,9762241,5K08NS109315-02,5,K08,NS,109315,2,,,10542994,"ARAC, AHMET ",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,2019,213840,
VISUOMOTOR COORDINATION:  NEURAL NETWORKS AND SCHEMAS,NINDS,3395870,2R01NS014971-06A2,2,R01,NS,14971,6,A2,,1876321,"ARBIB, MICHAEL A",Not Applicable,UNIVERSITY OF MASSACHUSETTS AMHERST,,1985,181981,
VISUOMOTOR COORDINATION:  NEURAL NETWORKS AND SCHEMAS,NINDS,3409936,5R01NS024926-03,5,R01,NS,24926,3,,,1876321,"ARBIB, MICHAEL A",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,1988,121329,
VISUOMOTOR COORDINATION:  NEURAL NETWORKS AND SCHEMAS,NINDS,3409935,5R01NS024926-02,5,R01,NS,24926,2,,,1876321,"ARBIB, MICHAEL A",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,1987,123969,
VISUOMOTOR COORDINATION:  NEURAL NETWORKS AND SCHEMAS,NINDS,3409939,7R01NS024926-01,7,R01,NS,24926,1,,,1876321,"ARBIB, MICHAEL A",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,1986,69016,
