,Unnamed: 0,Unnamed: 0.1,title,score,view_count,answer_count,Date
21,21.0,0.0,OpenNMT confusion use of `Optim.updateLearningRate`: `valid_loss` used as `ppl` arg,0,62,1,2017-04-01
22,22.0,0.0,How to tell the amount of layers in ResNet-18?,4,4717,1,2017-04-03
23,23.0,0.0,IDE autocomplete for pytorch,5,3376,3,2017-04-07
24,24.0,1.0,AttributeError: type object &#39;object&#39; has no attribute &#39;__getattr__&#39;,0,1088,0,2017-04-07
25,25.0,0.0,Pytorch reshape tensor dimension,39,92549,9,2017-04-10
26,26.0,0.0,Pytorch .backward() method without CUDA,2,510,1,2017-04-12
27,27.0,0.0,about torch.nn.CrossEntropyLoss parameter shape,2,4073,2,2017-04-14
28,28.0,1.0,OSError: cannot identify image file,2,1388,0,2017-04-14
29,29.0,0.0,Trying to load a custom dataset in Pytorch,4,8554,3,2017-04-16
30,30.0,0.0,"Pytorch, what are the gradient arguments",112,16729,4,2017-04-17
31,31.0,1.0,LSTM time sequence generation using PyTorch,21,4360,1,2017-04-17
32,32.0,0.0,Default dilation value in PyTorch,3,1414,1,2017-04-18
33,33.0,0.0,"How to train a reverse embedding, like vec2word?",6,1694,1,2017-04-20
34,34.0,0.0,multi-variable linear regression with pytorch,5,3394,1,2017-04-22
35,35.0,1.0,Disable GPU on certain applications,1,981,1,2017-04-22
36,36.0,0.0,IOError: [Errno 28] No space left on device while installing pytorch,0,1136,1,2017-04-24
37,37.0,0.0,Error when compiling pytorch: &#39;cstdint&#39; file not found,0,545,1,2017-04-26
38,38.0,0.0,How can l uninstall PyTorch?,13,55736,6,2017-04-27
39,39.0,1.0,Conda Runtime error when installing PyTorch using anaconda,0,864,1,2017-04-27
40,40.0,0.0,type mismatch in pytorch forward method,1,852,1,2017-04-29
41,41.0,0.0,How to use the BCELoss in PyTorch?,10,24842,2,2017-04-30
42,42.0,1.0,Numpy outperforms Tensorflow and Pytorch with same hyperparameters,2,628,1,2017-04-30
43,43.0,0.0,Standard deviation in batches,1,619,1,2017-05-01
44,0.0,,Standard deviation in batches,1,619,1,2017-05-01
45,0.0,,How to change the structure of model in pytorch,1,789,1,2017-05-03
46,0.0,,libc++abi.dylib: terminating with uncaught exception of type std::__1::system_error: No such file or directory,-1,932,1,2017-05-04
47,1.0,,"Pytorch, TypeError: object() takes no parameters",0,877,1,2017-05-04
48,2.0,,pytorch Network.parameters() missing 1 required positional argument: &#39;self&#39;,3,8694,2,2017-05-04
49,0.0,,How to run pytorch computation in cuda as default,7,4426,1,2017-05-05
50,0.0,,how to set different learning rate for different layer in pytorch,7,1868,1,2017-05-06
51,0.0,,Fixing a subset weights in Neural network during training,2,751,1,2017-05-08
52,0.0,,PyTorch network test code not working,0,520,1,2017-05-09
53,0.0,,Training speed on GPU become slower overtime,3,137,0,2017-05-11
54,0.0,,How to asynchronously load and train batches to train a DeepLearning model?,3,1462,3,2017-05-12
55,0.0,,Accuracy score in pyTorch LSTM,13,3523,2,2017-05-14
56,1.0,,PyTorch + CUDA 7.5 error,0,1324,1,2017-05-14
57,0.0,,Can I slice tensors with logical indexing or lists of indices?,10,12524,2,2017-05-15
58,0.0,,How to convert pretrained FC layers to CONV layers in Pytorch,5,4176,1,2017-05-23
59,1.0,,Simple LSTM in PyTorch with Sequential module,5,4888,1,2017-05-23
60,0.0,,how does the pytorch autograd work?,3,1085,1,2017-05-26
61,0.0,,Convolutional NN for text input in PyTorch,10,5716,2,2017-05-27
62,0.0,,"OverflowError: (34, &#39;Numerical result out of range&#39;) in PyTorch",1,691,2,2017-05-28
63,1.0,,KeyError: &#39;unexpected key &quot;module.encoder.embedding.weight&quot; in state_dict&#39;,8,4042,1,2017-05-28
64,0.0,,Hyperparameter optimization for Pytorch model,24,11941,4,2017-05-30
65,1.0,,how tf.space_to_depth() works in tensorflow?,5,7009,4,2017-05-30
66,2.0,,Why should be the function backward be called only on 1 element tensor or with gradients w.r.t to Variable?,2,1857,1,2017-05-30
67,3.0,,"backward, grad function in pytorch",4,2308,1,2017-05-30
68,0.0,,"PyTorch, nn.Sequential(), access weights of a specific module in nn.Sequential()",6,9516,3,2017-05-31
69,0.0,,Deep learning: save and load a universal machine model through different libraries,1,993,3,2017-06-01
70,0.0,,"How to get a uniform distribution in a range [r1,r2] in PyTorch?",23,22164,6,2017-06-02
71,0.0,,How can I install python modules in a docker image?,4,15549,1,2017-06-03
72,1.0,,How to convert Pytorch autograd.Variable to Numpy?,16,15733,2,2017-06-03
73,0.0,,Long Sequence In a seq2seq model with attention?,6,536,1,2017-06-04
74,1.0,,PyTorch Linear layer input dimension mismatch,2,5342,2,2017-06-04
75,0.0,,What is the relationship between PyTorch and Torch?,31,22305,2,2017-06-05
76,1.0,,Basic multi GPU parallelization of matrix multiplication,7,622,1,2017-06-05
77,0.0,,Handling C++ arrays in Cython (with numpy and pytorch),3,1519,1,2017-06-06
78,0.0,,"OpenNMT issues with Pytorch: cPickle.UnpicklingError: invalid load key, &#39;&#39;",1,818,1,2017-06-07
79,1.0,,Pytorch: Sparse Matrix multiplcation,4,2639,1,2017-06-07
80,2.0,,Implementing Adagrad in Python,7,3487,1,2017-06-07
81,3.0,,pytorch custom layer &quot;is not a Module subclass&quot;,5,5766,1,2017-06-07
82,0.0,,How to load a list of numpy arrays to pytorch dataset loader?,27,25812,4,2017-06-08
83,1.0,,when is a pytorch custom function needed (rather than only a module)?,13,3817,1,2017-06-08
84,2.0,,Parallel way of applying function element-wise to a Pytorch CUDA Tensor,8,2038,1,2017-06-08
85,0.0,,Creating one hot vector from indices given as a tensor,14,10089,3,2017-06-09
86,0.0,,How to do product of matrices in PyTorch,61,78410,3,2017-06-13
87,1.0,,PyTorch specific inspection issues in PyCharm,8,1238,1,2017-06-13
88,2.0,,tensor division in pytorch. Assertion error,0,3466,1,2017-06-13
89,0.0,,Convert nngraph model to nn model,5,591,0,2017-06-14
90,1.0,,Couple 2 different GPU cards for mini batching,0,260,1,2017-06-14
91,0.0,,python child process exit unexpectedly with exit code -9,1,984,1,2017-06-15
92,1.0,,AttributeError in creating module,0,141,1,2017-06-15
93,0.0,,How to parallelize RNN function in Pytorch with DataParallel,2,2368,2,2017-06-16
94,1.0,,Stacking copies of an array/ a torch tensor efficiently?,1,5531,3,2017-06-16
95,2.0,,Custom loss function in PyTorch,13,8901,1,2017-06-16
96,3.0,,CUDA vs. DataParallel: Why the difference?,6,1600,1,2017-06-16
97,0.0,,How to convert a list of strings into a tensor in pytorch?,9,11626,3,2017-06-18
98,1.0,,Is Torch7 defined-by-run like Pytorch?,0,65,1,2017-06-18
99,0.0,,How to handle the BatchNorm layer when training fully convolutional networks by finetuning?,2,3213,6,2017-06-19
100,1.0,,Convert &#39;int&#39; to pytorch &#39;Variable&#39; makes problems,1,1570,1,2017-06-19
101,2.0,,subtraction of scalar from tensor yields &#39;inconsistent tensor size&#39; in pytorch,1,3471,1,2017-06-19
102,3.0,,PyTorch Pretrained VGG19 KeyError,3,606,0,2017-06-19
103,0.0,,"In Pytorch, how to add L1 regularizer to activations?",21,14794,3,2017-06-20
104,1.0,,Torch code producing CUDA Runtime Error,0,2699,1,2017-06-20
105,2.0,,How do you use PyTorch PackedSequence in code?,5,1784,1,2017-06-20
106,3.0,,How do you implement variable-length recurrent neural networks?,2,1143,1,2017-06-20
107,4.0,,"PyTorch, simple char level RNN, can&#39;t overfit one example",2,429,0,2017-06-20
108,0.0,,Pytorch: Convert FloatTensor into DoubleTensor,12,21253,2,2017-06-23
109,1.0,,pytorch inplace operation error. How to get around it?,2,1301,0,2017-06-23
110,0.0,,Why do we need to explicitly call zero_grad()?,48,12583,4,2017-06-24
111,1.0,,PyTorch: Extract learned weights correctly,10,16560,1,2017-06-24
112,2.0,,Initialize optim and saving model when using DataParallel,2,248,0,2017-06-24
113,0.0,,Re-weight the input to a neural network,1,791,1,2017-06-25
114,0.0,,Torch sum a tensor along an axis,34,60205,3,2017-06-27
115,1.0,,"when I run p.start(), I got TypeError: &#39;generator&#39; object is not callable",1,520,0,2017-06-27
116,0.0,,necessity of transposed convolution when feature maps are not downsampled,0,229,1,2017-06-28
117,0.0,,PyTorch Linear Algebra Gradients,7,920,1,2017-06-29
118,1.0,,how to append a singleton numpy array item into a list?,0,256,1,2017-06-29
119,2.0,,Apply json config file using parse_args() in pycharm,0,599,2,2017-06-29
120,0.0,,No N-dimensional tranpose in PyTorch,15,8081,3,2017-06-30
121,1.0,,How to debug(monitoring value of object in other class&#39; function) in Pycharm,1,507,2,2017-06-30
122,2.0,,version `GLIBC_2.7&#39; not found when import pytorch,0,2114,1,2017-06-30
123,3.0,,How to solve the two layers of CNN dimension,3,95,0,2017-06-30
124,0.0,,How do you alter the size of a Pytorch Dataset?,7,5090,2,2017-07-01
125,1.0,,Find number of non-zero elements in a tensor along an aixs,3,3458,1,2017-07-01
126,2.0,,Caffe Generated LMDB Data Load Crashes in Pytorch,1,469,0,2017-07-01
127,0.0,,PyTorch - Element-wise multiplication between a variable and a tensor?,8,12695,1,2017-07-02
128,0.0,,Pytorch nn.functional.batch_norm for 2D input,4,1234,1,2017-07-03
129,1.0,,Failed to compute dot product of torch.cuda.FloatTensor,1,863,1,2017-07-03
130,0.0,,how to change CNN model to Wide convolution in pytorch?,0,289,1,2017-07-04
131,1.0,,requires_grad relation to leaf nodes,5,2363,1,2017-07-04
132,2.0,,What would be equivalent of pytorch&#39;s torch.nn.CosineEmbeddingLoss in tensorflow?,2,1767,1,2017-07-04
133,0.0,,How two rows can be swapped in a torch tensor?,2,2493,2,2017-07-05
134,0.0,,How padded sequences given as packed sequences are dealt by RNN in pytorch?,13,2731,2,2017-07-06
135,1.0,,Backpropagation without updating weights (DCGAN),2,368,1,2017-07-06
136,2.0,,Why does an attribute has a method?,-1,73,3,2017-07-06
137,0.0,,Unique tensor values in PyTorch,16,14253,3,2017-07-09
138,0.0,,Understanding a simple LSTM pytorch,34,26089,3,2017-07-10
139,1.0,,Confused about tensor dimensions and batch sizes in pytorch,6,4372,2,2017-07-10
140,2.0,,Include .whl installation in requirements.txt,17,7641,1,2017-07-10
141,3.0,,RNN parameters not updating?,1,284,1,2017-07-10
142,4.0,,Why RNN need two bias vectors?,2,231,1,2017-07-10
143,0.0,,How to simplify DataLoader for Autoencoder in Pytorch,2,1187,2,2017-07-14
144,0.0,,How to get mini-batches in pytorch in a clean and efficient way?,40,37356,5,2017-07-15
145,1.0,,Indexing second dimension of Tensor using indices,2,6254,1,2017-07-15
146,0.0,,BCELoss for binary pixel-wise segmentation pytorch,1,2869,2,2017-07-19
147,0.0,,PyTorch RuntimeError : Gradients are not CUDA tensors,1,479,1,2017-07-20
148,1.0,,Is torchvision.datasets.cifar.CIFAR10 a list or not?,0,524,1,2017-07-20
149,0.0,,Is there a way to use an external loss function in pytorch?,1,453,1,2017-07-22
150,0.0,,PyTorch Multi-GPU K80s Batch fails for Tensors,1,731,1,2017-07-23
151,1.0,,Seq2seq multiple input features (Passing multiple word/word tokens as input),2,705,0,2017-07-23
152,0.0,,CUDNN Error in backprop for big batches,2,1385,0,2017-07-24
153,0.0,,Numpy/PyTorch method for partial tiling,0,282,1,2017-07-25
154,0.0,,pytorch: how to directly find gradient w.r.t. loss,3,683,1,2017-07-26
155,0.0,,PyTorch Model is not training,1,2905,1,2017-07-27
156,1.0,,"Running conv2d on tensor [batch, channel, sequence, H,W] in Pytorch",3,1320,1,2017-07-27
157,0.0,,Replace all nonzero values by zero and all zero values by a specific value,10,10961,2,2017-07-29
158,0.0,,Tensor type mismatch when moving to GPU,6,6539,2,2017-08-01
159,0.0,,Regression loss functions incorrect,0,584,1,2017-08-03
160,1.0,,TypeError: a float is required,0,1083,1,2017-08-03
161,2.0,,"Pip list shows only one version of `torch`, yet conda list shows two",0,321,1,2017-08-03
162,0.0,,Any pytorch tools to monitor neural network&#39;s training?,10,5543,5,2017-08-05
163,0.0,,How does one make sure that everything is running on GPU automatically in Pytorch?,3,1431,3,2017-08-07
164,0.0,,How to install pytorch on windows subsystem for linux,0,2278,2,2017-08-08
165,0.0,,Flatten layer of PyTorch build by sequential container,9,5758,2,2017-08-09
166,1.0,,Pytorch vectors with empty dimensions,1,744,1,2017-08-09
167,0.0,,KeyError when trying to modify pytorch-example,0,3044,2,2017-08-10
168,1.0,,Axes don&#39;t match array error in pytorch,0,1645,1,2017-08-10
169,2.0,,Which deep learning library support the compression of the deep learning models to be used on the phones?,-2,329,1,2017-08-10
170,0.0,,How does one make sure that the parameters are update manually in pytorch using modules?,1,1040,0,2017-08-11
171,0.0,,How to leverage the world-size parameter for DistributedDataParallel in Pytorch example for multiple GPUs?,3,318,1,2017-08-14
172,1.0,,Error importing PyTorch - Python,1,2611,3,2017-08-14
173,2.0,,Does PyTorch support variable with dynamic dimension?,0,1663,1,2017-08-14
174,0.0,,PyTorch: How to get around the RuntimeError: in-place operations can be only used on variables that don&#39;t share storage with any other variables,3,1888,1,2017-08-15
175,0.0,,How to correctly use Numpy&#39;s FFT function in PyTorch?,0,2985,1,2017-08-17
176,1.0,,Matching PyTorch w/ CNTK (VGG on CIFAR),1,285,1,2017-08-17
177,0.0,,PyTorch RuntimeError: Assertion `cur_target &gt;= 0 &amp;&amp; cur_target &lt; n_classes&#39; failed,9,8226,3,2017-08-19
178,0.0,,RuntimeError: CUDNN_STATUS_INTERNAL_ERROR,3,4197,1,2017-08-22
179,1.0,,Is there a function to extract image patches in PyTorch?,11,2917,1,2017-08-22
180,0.0,,"What is the first parameter (gradients) of the backward method, in pytorch?",3,809,1,2017-08-23
181,0.0,,PyTorch giving cuda runtime error,4,6663,1,2017-08-24
182,1.0,,How to run Pytorch model in normal non-parallel way?,0,1408,1,2017-08-24
183,0.0,,How to compute cross entropy loss for binary classification in Pytorch ？,2,2581,2,2017-08-25
184,1.0,,"Spyder just &quot;kernel died,restarting&quot; when I run net.forward in pytorch",1,2044,1,2017-08-25
185,0.0,,Pytorch install with anaconda error,4,17296,3,2017-08-27
186,0.0,,pytorch: memorize output from several layers of sequencial,0,69,1,2017-08-28
187,0.0,,How should I save the model of PyTorch if I want it loadable by OpenCV dnn module,4,2710,1,2017-08-29
188,1.0,,"in Pytorch, restore the model parameters but the same initial loss",2,767,0,2017-08-29
189,0.0,,Why does autograd not produce gradient for intermediate variables?,11,3982,1,2017-08-31
190,1.0,,Seq2seq pytorch Inference slow,0,917,0,2017-08-31
191,0.0,,pytorch inception model outputs the wrong label for every input image,4,1065,2,2017-09-01
192,1.0,,&quot;expected CPU tensor(got CUDA tensor)&quot; error for PyTorch,2,3306,2,2017-09-01
193,0.0,,Float16 (HalfTensor) in pytorch + cuda,3,1186,0,2017-09-02
194,0.0,,How to do scatter and gather operations in numpy?,5,7574,8,2017-09-06
195,0.0,,what is the equivalent of theano.tensor.clip in pytorch?,2,1355,1,2017-09-07
196,0.0,,Efficient way of calculating sum of unequal sized chunks of tensor in Pytorch,1,282,0,2017-09-08
197,1.0,,Access parameter names in torch,3,2092,0,2017-09-08
198,0.0,,How to write a PyTorch sequential model?,14,20497,3,2017-09-10
199,1.0,,How to combine multiple models together?,3,483,1,2017-09-10
200,0.0,,How to train pytorch model with numpy data and batch size?,4,4752,2,2017-09-12
201,1.0,,Pytorch Pre-trained RESNET18 Model,0,687,1,2017-09-12
202,0.0,,PyTorch equivalence for softmax_cross_entropy_with_logits,7,4892,2,2017-09-14
203,1.0,,How can I change this GPU code in CPU code?,0,278,1,2017-09-14
204,2.0,,Resized copy of Pytorch Tensor/Dataset,3,881,1,2017-09-14
205,0.0,,How to load torch pretrained models in Python?,1,749,0,2017-09-16
206,0.0,,How does pytorch compute the gradients for a simple linear regression model?,4,1632,2,2017-09-18
207,1.0,,Pytorch load model,1,765,1,2017-09-18
208,0.0,,Static graph is fast. Dynamic graph is slow. Is there any specific benchmark demonstrating this?,1,669,2,2017-09-20
209,1.0,,How to get the inner module of Unet?,2,448,2,2017-09-20
210,2.0,,Torch&#39;s loss.backward() hanged on ParlAI,2,72,0,2017-09-20
211,0.0,,indexing a tensor with an object of type torch.LongTensor,0,650,1,2017-09-21
212,0.0,,Different Pytorch random initialization with the same seed,3,2304,1,2017-09-23
213,1.0,,How to initialize decoder&#39;s state when it has multiple layers?,4,373,0,2017-09-23
214,2.0,,n*m*3 input image to an nxm label in PyTorch,0,129,1,2017-09-23
215,3.0,,When to use individual optimizers in PyTorch?,1,1417,1,2017-09-23
216,0.0,,How to correctly implement a batch-input LSTM network in PyTorch?,18,8301,2,2017-09-24
217,1.0,,CUDNN error using pretrained vgg16 model,0,253,2,2017-09-24
218,0.0,,Do I need to define the backward() in custom loss function?,1,840,1,2017-09-25
219,1.0,,Implementing memory monger method for pytorch,4,172,0,2017-09-25
220,0.0,,Running a portion of Python code in parallel on two different GPUs,1,427,1,2017-09-27
221,1.0,,NumPy/PyTorch extract subsets of images,1,670,2,2017-09-27
222,0.0,,"Assertion `THIndexTensor_(size)(target, 0) == batch_size&#39; failed",0,679,1,2017-09-28
223,0.0,,Same PyTorch script not running on different machines,0,88,1,2017-09-29
224,1.0,,Using Augmented Data Images in Testing,1,848,1,2017-09-29
225,2.0,,error occurs when loading data in pytorch: &#39;Image&#39; object has no attribute &#39;shape&#39;,1,2764,1,2017-09-29
226,0.0,,difference between python2 and python3 in terms of multiprocessing?,0,1287,2,2017-09-30
227,0.0,,Pytorch: define custom function,2,3715,3,2017-10-01
228,1.0,,Using pre-trained sentence embeddings in PyTorch,0,2272,1,2017-10-01
229,2.0,,How to get ouput from a particular layer from pretrained CNN in pytorch,1,1724,1,2017-10-01
230,3.0,,pytorch backprop through volatile variable error,3,2214,1,2017-10-01
231,0.0,,Adding a linear layer to an existing model on Pytorch,1,2290,2,2017-10-02
232,0.0,,expected Double tensor (got Float tensor) in Pytorch,3,3289,1,2017-10-03
233,1.0,,How to use groups parameter in PyTorch conv2d function,6,5374,1,2017-10-03
234,0.0,,Pytorch maxpooling over channels dimension,1,4000,1,2017-10-04
235,0.0,,How to apply the torch.inverse() function of PyTorch to every sample in the batch?,6,13598,2,2017-10-05
236,1.0,,Pytorch: Trying to apply the transform to a numpy array... fails with an error,3,4958,2,2017-10-05
237,2.0,,Loss is not decreasing for convolutional autoencoder,0,947,1,2017-10-05
238,0.0,,PyTorch Broadcasting Failing. &quot;Rules&quot; Followed,1,218,1,2017-10-07
239,1.0,,"Jupyter Kernel crash/dies when use large Neural Network layer, any idea pls?",0,219,1,2017-10-07
240,0.0,,Implementing a loss function (MSVE) in Reinforcement learning,3,190,1,2017-10-11
241,1.0,,how to efficiently make a mini-batch of images in pytorch?,0,1026,1,2017-10-11
242,2.0,,define torch.cuda.LongTensor instead of torch.LongTensor,0,458,1,2017-10-11
243,0.0,,Porting PyTorch code from CPU to GPU,2,6742,2,2017-10-12
244,1.0,,RNN is not training (PyTorch),0,1165,1,2017-10-12
245,0.0,,How can I extract the feature vector of the last hidden layer of the Alex net in pytorch?,0,728,1,2017-10-13
246,1.0,,Failing to train SkipGram word embedding in Pytorch,0,384,1,2017-10-13
247,0.0,,How to implement LSTM layer with multiple cells in Pytorch?,0,806,1,2017-10-15
248,1.0,,Is the torchvision MNIST loader not working properly or am I doing something wrong?,0,91,1,2017-10-15
249,0.0,,What does the parameter retain_graph mean in the Variable&#39;s backward() method?,36,16392,2,2017-10-16
250,0.0,,L1 norm as regularizer in Pytorch,0,2092,2,2017-10-17
251,1.0,,Is it possible to train pytorch and tensorflow model together on one GPU?,2,1380,1,2017-10-17
252,0.0,,PyTorch: How to get the shape of a Tensor as a list of int,23,84554,2,2017-10-19
253,0.0,,How to implement LSTM layer with multiple cells per memory block in Pytorch?,1,502,1,2017-10-20
254,1.0,,Hidden units saturate in a seq2seq model in PyTorch,1,487,1,2017-10-20
255,2.0,,Efficiently find centroid of labelled image regions,1,1039,3,2017-10-20
256,0.0,,Pytorch to Keras code equivalence,7,7262,2,2017-10-21
257,0.0,,Why grad_output requires_grad is False in pytorch?,-1,723,1,2017-10-22
258,1.0,,Indexing one PyTorch tensor by another using index_select,2,2399,1,2017-10-22
259,0.0,,Glove Pytorch speed up,7,834,0,2017-10-24
260,1.0,,How to do reinforcement learning with an LSTM in PyTorch?,2,848,1,2017-10-24
261,2.0,,How to input a matrix to CNN in pytorch,1,1944,1,2017-10-24
262,0.0,,Why detach needs to be called on variable in this example?,11,3907,4,2017-10-26
263,1.0,,A proper way to adjust input size of CNN (e.g. VGG),1,591,1,2017-10-26
264,2.0,,"sequence to sequence learning for language translation, what about unseen words",0,62,1,2017-10-26
265,0.0,,deep reinforcement learning parameters and training time for a simple game,2,286,1,2017-10-27
266,0.0,,Pytorch RNN memory allocation error in DataLoader,0,837,3,2017-10-28
267,1.0,,pip to install Pytorch for usr/bin/python,0,351,1,2017-10-28
268,0.0,,Neural network in pytorch predict two binary variables,3,498,1,2017-10-30
269,0.0,,How to solve PyTorch UnicodeEncodeError error when using torch.from_numpy?,-2,650,2,2017-10-31
270,1.0,,Pytorch visdom: can`t start visdom,0,374,0,2017-10-31
271,0.0,,Cross entropy loss in pytorch nn.CrossEntropyLoss(),7,10821,1,2017-11-01
272,1.0,,Sequence generation using pytorch RNN,3,542,0,2017-11-01
273,0.0,,Running out of memory during evaluation in Pytorch,10,8456,2,2017-11-02
274,1.0,,Pytorch print(x) gives Illegal instruction (core dumped),0,282,0,2017-11-02
275,2.0,,Teacher forcing with pytorch RNN,5,2003,1,2017-11-02
276,0.0,,Elegant way to compare to torch.FloatTensor on GPU,5,1271,2,2017-11-03
277,1.0,,How can I use three Conv1d on the three axis of my 3*n matrix in Pytorch?,-1,265,1,2017-11-03
278,0.0,,How do I use a ByteTensor in a contrastive cosine loss function?,0,263,2,2017-11-04
279,0.0,,how to calculate loss over a number of images and then back propagate the average loss and update network weight,2,1825,1,2017-11-05
280,1.0,,Upsampling in Semantic Segmentation,3,595,1,2017-11-05
281,0.0,,Calculating input and output size for Conv2d in PyTorch for image classification,3,12501,5,2017-11-06
282,1.0,,pytorch: Convert a tuple of FloatTensors into a numpy array,0,3620,2,2017-11-06
283,2.0,,"Error reading images with pandas (+pyTorch,scikit)",0,113,1,2017-11-06
284,0.0,,How to train a simple linear regression model with SGD in pytorch successfully?,1,880,1,2017-11-07
285,1.0,,Pytorch-tutorial: Strange input argument in class definition,-2,95,2,2017-11-07
286,0.0,,RNN can&#39;t learn integral function,0,198,1,2017-11-08
287,1.0,,How to change the picture size in PyTorch,2,7889,1,2017-11-08
288,0.0,,How to do fully connected batch norm in PyTorch?,9,14099,2,2017-11-09
289,1.0,,Embedding 3D data in Pytorch,7,1452,1,2017-11-09
290,2.0,,Pytorch Tensor help in LongTensor,2,1216,2,2017-11-09
291,0.0,,Generating new images with PyTorch,19,2740,2,2017-11-13
292,1.0,,error in backward function,0,186,0,2017-11-13
293,2.0,,How to `dot` weights to batch data in PyTorch?,1,1491,1,2017-11-13
294,3.0,,Add a constant variable to a cuda.FloatTensor,1,1363,1,2017-11-13
295,4.0,,How to generate a new Tensor with different vectors in PyTorch?,1,49,1,2017-11-13
296,5.0,,Pytorch: how to convert data into tensor,4,20789,1,2017-11-13
297,6.0,,Assign variable in pytorch,0,715,1,2017-11-13
298,7.0,,Assign torch.cuda.FloatTensor,1,796,1,2017-11-13
299,8.0,,Best way to copy weight from pretrained model to my newly defined model with skip branches in PyTorch?,0,639,0,2017-11-13
300,9.0,,How to get the value of a feature in a layer that match a the state dict in PyTorch?,1,714,1,2017-11-13
301,10.0,,Pytorch FloatClassNLLCriterion_updateOutput error,0,265,1,2017-11-13
302,0.0,,How to train identical torch.nn.Modules with different parameters in parallel in GPU,3,723,0,2017-11-14
303,1.0,,How to speed up add/sub using GPU cuda.FloatTensor?,0,65,0,2017-11-14
304,2.0,,How to update a Tensor?,0,1099,1,2017-11-14
305,3.0,,How to use if statement PyTorch using torch.FloatTensor,1,3940,2,2017-11-14
306,4.0,,Pytorch How to convert images into tensor,0,1880,1,2017-11-14
307,5.0,,PyTorch loss function evaluation,0,286,1,2017-11-14
308,0.0,,"pytorch, AttributeError: module &#39;torch&#39; has no attribute &#39;Tensor&#39;",16,21556,4,2017-11-15
309,1.0,,Tensorflow: Hierarchical Softmax Implementation,14,5503,2,2017-11-15
310,2.0,,Fine Tuning dimensionality error,0,95,1,2017-11-15
311,3.0,,Pytorch AssertionError: Torch not compiled with CUDA enabled,2,12333,1,2017-11-15
312,4.0,,ValueError: Floating point image RGB values must be in the 0..1 range. while using matplotlib,7,7292,1,2017-11-15
313,5.0,,Separate optimizer for discriminator and the rest of the model in adversarial setting,1,45,1,2017-11-15
314,0.0,,how pytorch nn.module save submodule,0,634,1,2017-11-16
315,1.0,,Is it possible to check if elements of a tensor are out of boundaries?,2,630,1,2017-11-16
316,0.0,,RuntimeError: cuda runtime error (30) : unknown error at /opt/conda/conda-bld/pytorch_1501972792122/work/pytorch-0.1.12/torch/lib/THC/THCGeneral.c:66,1,852,0,2017-11-17
317,1.0,,TypeError: object.__init__() takes no parameters trying to subclass torch.FloatTensor,2,262,0,2017-11-17
318,2.0,,Rosenbrock function with D dimension using PyTorch,0,352,1,2017-11-17
319,3.0,,torch.nn.LSTM runtime error,3,660,1,2017-11-17
320,0.0,,How to construct a 3D Tensor where every 2D sub tensor is a diagonal matrix in PyTorch?,6,1641,3,2017-11-19
321,1.0,,How to select index over two dimension in PyTorch?,4,2073,1,2017-11-19
322,2.0,,From 2D to 3D using convolutional autoencoder,0,333,1,2017-11-19
323,0.0,,"In Torch, module = nn.Padding(dim, pad, nInputDim, value, index), What does the nInputDim do?",0,301,1,2017-11-21
324,1.0,,`for` loop to a multi dimensional array in PyTorch,1,3657,1,2017-11-21
325,2.0,,How Pytorch do row normalization for each matrix in a 3D Tensor(Variable)?,3,8262,2,2017-11-21
