OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
MDA-2018-DACV-STEM-0001,"Missile Defense Agency (MDA) Science, Technology, Engineering, and Mathematics (STEM) Outreach Boosting Engineering Science and Technology (BEST) Robotics Grant: National Teacher Professional Development (NTPD) 2018",DOD-MDA,Missile Defense Agency,75000,,"John Michael
Grantor
Phone 256-450-1054",,john.michael@mda.mil,,,04/17/2018,06/01/2018,04/17/2018 10:53:17,Synopsis 2
MDA-2017-DACV-STEM-0003,"Missile Defense Agency (MDA) Science, Technology, Engineering & Mathematics (STEM) Outreach Boosting Engineering Science and Technology (BEST) Robotics Grant: Local Education Agency (LEA) National Teacher Professional Development (NTPD) 2017",DOD-MDA,Missile Defense Agency,75000,,"Mitchell Shelton
Contract Specialist
Phone 256-450-4680",,mitchell.shelton@mda.mil,,,05/03/2017,06/30/2017,06/06/2017 16:20:06,Synopsis 5
KYPTBAA-11-0001,"Science, Technology, Engineering & Mathematics (STEM) with Focus on Robotics",DOD-ONR-SEA-N00253,NUWC Division Keyport,80000,1,"Cindy Harley
Grants/Contract Specialist
Phone 360-315-3868",,cindy.harley@navy.mil,,,01/12/2011,02/11/2011,01/12/2011 13:42:12,Synopsis 1
ED-GRANTS-062012-003,National Institute on Disability and Rehabilitation Research (NIDRR)--Disability and Rehabilitation Research Projects and Centers Program--RERCs--Recreational Technologies and Rehabilitation Robotics CFDA Number 84.133E-3,ED,Department of Education,1900000,1,"Joyce Mays
Management Analyst 
Phone 202-245-6122
joyce.mays@ed.gov
Program Manager:
Lynn Medley or Marlene Spencer  
U.S. Department of Education, 400 Maryland Avenue SW., Room 5140, PCP
Washington, DC 20202
Telephone:(202) 245-7338 or by email: ",,Lynn.Medley@ed.gov.,,,06/20/2012,08/14/2012,06/21/2012 12:24:21,Synopsis 6
N00014-18-S-B003,Advancing Robotic Capability & Usability for Explosive Ordnance Disposal (EOD),DOD-ONR,Office of Naval Research,8000000,4,"Sean Palmer
Contracting Officer
Phone 703-696-0942",,sean.m.palmer@navy.mil,,,02/22/2018,08/16/2018,08/03/2018 15:32:03,Synopsis 3
HHS-2017-ACL-NIDILRR-DPGE-0205,Disability and Rehabilitation Research Projects (DRRP) Program: Using Robotics and Automation to Improve Accessible Transportation Options for Individuals with Disabilities,HHS-ACL,Administration for Community Living,500000,1,"Marlene Spencer
Marlene.spencer@acl.hhs.gov
",,Marlene.spencer@acl.hhs.gov,,,01/05/2017,03/21/2017,01/05/2017 11:53:05,Synopsis 1
NNA15525443C,ROBOTICS OUTREACH COMPETITION II,NASA-ARC,NASA Ames Research Center,5000000,2,"Bethany A McClave
Bethany.A.McClave@nasa.gov
NAIS Support
nais.support@nasa.gov
",,Bethany.A.McClave@nasa.gov,,,02/19/2015,04/22/2015,03/24/2015 15:50:24,Synopsis 4
RFA-HD-15-001,Improving Health through Rehabilitation Robotic Technology (R43/R44),HHS-NIH11,National Institutes of Health,900000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,08/19/2014,11/13/2014,08/19/2014 8:57:19,Synopsis 1
MDA-2016-DACV-STEM-0001,Missile Defense Agency STEM Outreach BEST Robotics Grant,DOD,Department of Defense,,,"Latoya Gilbert
Contract and Grant Specialist
Phone 256-450-2831",,latoya.gilbert@mda.mil,,,04/06/2016,05/12/2016,04/12/2016 11:04:12,Synopsis 3
MDA-2016-DACV-STEM-0002,Missile Defense Agency STEM Outreach BEST Robotics Grant,DOD,Department of Defense,,,"Latoya Gilbert
Contract and Grants Specialist
Phone 256-450-2831",,latoya.gilbert@mda.mil,,,04/06/2016,05/12/2016,04/12/2016 11:11:12,Synopsis 3
MDA-2016-DACV-STEM-0003,Missile Defense Agency STEM Outreach BEST Robotics Grant,DOD,Department of Defense,,,"Latoya Gilbert
Contract and Grants Specialist
Phone 256-450-2831",,latoya.gilbert@mda.mil,,,04/06/2016,05/12/2016,04/12/2016 11:15:12,Synopsis 2
MDA-2015-DACV-STEM-0001,Missile Defense Agency STEM Outreach BEST Robotics Grant,DOD,Department of Defense,,,"Michelle Dunn
Contract and Grant Specialist
Phone 256-450-0810",,michelle.dunn@mda.mil,,,04/13/2015,05/08/2015,04/28/2015 11:44:28,Synopsis 3
NNH15ZOA001N-15GCD-C2,HOSTING OF HUMANOID ROBOTS AND VALIDATION OF TASK PERFORMANCE FOR THE NASA SPACE ROBOTICS CHALLENGE APPENDIX,NASA-HQ,NASA Headquarters,,,"Ryan  Stephan
HQ-STMD-GCDC2@mail.nasa.gov
Chris  Gaspard
HQ-STMD-GCDC2@mail.nasa.gov
NAIS Support
nais.support@nasa.gov
",,HQ-STMD-GCDC2@mail.nasa.gov,,,06/03/2015,08/06/2015,07/15/2015 13:14:15,Synopsis 2
MDA-2020-STEM-0002,BESTRobotics Grant: Hub's Teacher Professional Development (HTPD) 2020,DOD-MDA,Missile Defense Agency,60000,,"Andrea Mitchell
Contract Specialist
Phone 256-450-1375",,andrea.mitchell@mda.mil,,,03/16/2020,05/31/2020,05/07/2020 9:10:07,Synopsis 2
NAWCAD-13-1-0001,STEM Grant 2013,DOD-ONR-AIR,NAVAIR,100000,10,"Stoianka  Encarnacion
Contract Specialist
Phone 301-737-2534",,tania.encarnacion@navy.mil,,,11/27/2012,12/17/2012,11/26/2012 13:32:26,Synopsis 1
NAWCAD-15-1-0001,FY15/16 NAWCAD Lakehurst STEM Grants,DOD-ONR-AIR,NAVAIR,100000,10,"Patrick Smith
Contracting Officer
Phone 732-323-7754",,patrick.w.smith2@navy.mil,,,09/09/2015,10/12/2015,09/09/2015 6:05:09,Synopsis 3
NAWCAD-11-0002,STEM Education Grants Program,DOD-ONR-AIR,NAVAIR,30000,6,"Kristen Dresser
Contract Specialist
Phone 732-323-4188",,kristen.dresser@navy.mil,,,06/21/2011,08/19/2011,08/05/2011 13:19:05,Synopsis 3
NAWCAD-12-0001,STEM Education Grants Program,DOD-ONR-AIR,NAVAIR,67500,9,"Kristen  Dresser
Contract Specialist
Phone 732-323-7548",,kristen.dresser@navy.mil,,,06/06/2012,07/31/2012,06/19/2012 14:12:19,Synopsis 3
NAWCAD-17-1-0001,FY17/18 NAWCAD Lakehurst STEM Grants,DOD-ONR-AIR,NAVAIR,50000,5,"Jillian Kohler
Contracting Officer
Phone 732-323-4589",,jillian.kohler@navy.mil,,,06/23/2017,09/11/2017,08/31/2017 14:10:31,Synopsis 7
HHS-2016-ACL-NIDILRR-DPGE-0159,Disability and Rehabilitation Research Projects (DRRP) Program: Accessible Transportation,HHS-ACL,Administration for Community Living,500000,1,"Marlene Spencer
Marlene.spencer@acl.hhs.gov
",,Marlene.spencer@acl.hhs.gov,,,06/02/2016,08/01/2016,06/02/2016 15:43:02,Synopsis 1
N00014-19-S-F006,"ONR, on behalf of the Office of the Secretary of Defense, for the Manufacturing Engineering Education Program",DOD-ONR,Office of Naval Research,40000000,,"Veronica Y. Lacey
Grants Officer
Office of Naval Research",,veronica.lacey@navy.mil,,,02/15/2019,06/28/2019,05/24/2019 10:23:24,Synopsis 6
11-525,Innovative Technology Experiences for Students and Teachers,NSF,National Science Foundation,20000000,30,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,01/26/2011,05/13/2011,01/26/2011 15:01:26,Synopsis 1
NNH16ZCQ002K-ITP1,ARM-UP Appendix B: ARM Investigation Team Phase 1,NASA-HQ,NASA Headquarters,2000000,10,"Mr. Daniel Mazanek, Mission Investigator - Asteroid Redirect Mission, hq-armup-baa-it@mail.nasa.gov
",,hq-armup-baa-it@mail.nasa.gov,,,09/06/2016,11/03/2016,09/06/2016 11:14:06,Synopsis 1
NAWCAD-16-1-0001,FY 16/17 NAWCAD Lakehurst STEM Grants,DOD-ONR-AIR,NAVAIR,100000,10,"Patrick Smith
Contracting Officer
Phone 732-323-7754",,patrick.w.smith2@navy.mil,,,06/27/2016,10/05/2016,09/14/2016 9:21:14,Synopsis 4
PD-18-7607,"Energy, Power, Control, and Networks",NSF,National Science Foundation,,,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,06/22/2018,,06/22/2018 1:00:22,Synopsis 1
NAWCAD-18-1-0001,FY19 NAWCAD Lakehurst STEM Grants,DOD-ONR-AIR,NAVAIR,150000,12,"Robert Megill
Contract Specialist
Phone 732-323-7627",,robert.megill@navy.mil,,,09/19/2018,11/09/2018,10/29/2018 9:01:29,Synopsis 3
PAR-18-185,"Development of Socially-Assistive Robots (SARs) to Engage Persons with Alzheimer's Disease (AD) and AD-Related Dementias (ADRD), and their Caregivers (R41/R42 Clinical Trial Optional)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/28/2017,07/05/2020,04/13/2020 14:05:13,Synopsis 2
PAR-18-186,"Development of Socially-Assistive Robots (SARs) to Engage Persons with Alzheimer's Disease (AD) and AD-Related Dementias (ADRD), and their Caregivers (R43/R44 Clinical Trial Optional)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/28/2017,07/05/2020,04/13/2020 14:08:13,Synopsis 2
PAR-17-107,"Development of Socially-Assistive Robots (SARs) to Engage Persons with Alzheimer's Disease (AD) and AD-Related Dementias (ADRD), and their Caregivers (R41/R42)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/09/2017,07/05/2020,04/13/2020 13:34:13,Synopsis 2
PAR-17-108,"Development of Socially-Assistive Robots (SARs) to Engage Persons with Alzheimer's Disease (AD) and AD-Related Dementias (ADRD), and their Caregivers (R43/R44)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/09/2017,07/05/2020,04/13/2020 14:00:13,Synopsis 2
NAWCAD-13-1-0002,2013 NAWCAD STEM Education Grant,DOD-ONR-AIR,NAVAIR,40000,8,"Kristen  Dresser
Contract Specialist
Phone 732-323-7548",,kristen.dresser@navy.mil,,,05/23/2013,07/03/2013,06/18/2013 8:14:18,Synopsis 2
NAWCAD-710-0001,STEM Grant 2010,DOD-ONR-AIR,NAVAIR,550000,10,"Stoianka (Tania) Encarnacion
Contract Specialist
Phone 301-757-7075",,tania.encarnacion@navy.mil,,,07/27/2010,08/13/2010,07/26/2010 14:53:26,Synopsis 1
NAWCAD-11-0001,STEM Grant 2011,DOD-ONR-AIR,NAVAIR,50000,14,"Stoianka  Encarnacion
Contract Specialist
Phone 301-737-2534",,tania.encarnacion@navy.mil,,,05/12/2011,06/20/2011,05/11/2011 15:40:11,Synopsis 1
ONRBAA11-019,Department of Defense Explosive Ordnance Disposal (EOD) (previously referred to as Joint Service EOD),DOD-ONR,Office of Naval Research,,4,"Surlean Darby
Contract Specialist
Phone 703-696-9257",,Surlean.D.Darby@navy.mil,,,03/16/2011,07/18/2011,06/16/2011 14:42:16,Synopsis 3
ED-GRANTS-062012-004,Disability and Rehabilitation Research Projects and Centers Program: Rehabilitation Engineering Research Centers Program (RERCs): Recreational Technologies and Exercise Physiology Benefiting Individuals with Disabilities CFDA Number 84.133E-1,ED,Department of Education,950000,1,"Julius Cotton
ED Grants.gov FIND Systems Admin.
Phone 202-245-6140
julius.cotton@ed.gov
Program Managers:
Lynn Medley or Marlene Spencer
Lynn Medley
U.S. Department of Education
400 Maryland Avenue SW., Room 5140
Potomac Center Plaza (PCP)
Washington, DC 20202-2700.
Telephone: (202) 245-7338 or by email: Lynn.Medley@ed.gov.
Marlene Spencer
U.S. Department of Education
400 Maryland Avenue SW., Room 5133, 
Potomac Center Plaza (PCP)
Washington, DC 20202-2700. 
Telephone: (202) 245-7532 or by email: Marlene.Spencer@ed.gov.",,Lynn.Medley@ed.gov,,,06/21/2012,08/14/2012,06/21/2012 12:15:21,Synopsis 1
NNH15ZOA001N-15ESI-B2,Early Stage Innovations (ESI),NASA-HQ,NASA Headquarters,,,"Claudia Meyer
Space Technology Research Grants Program Executive
hq-esi-call@mail.nasa.gov",,hq-esi-call@mail.nasa.gov,,,05/20/2015,07/10/2015,05/20/2015 16:44:20,Synopsis 1
USAFA-BAA-2015-CALL-0008,Research on the Use of Autonomy and Unmanned Vehicles in Support of USAF Operations,DOD-USAFA,Air Force Academy,,1,"Christian Cornell
Grantor
Phone 7193338269",,10MSG.LGCC@us.af.mil,,,07/29/2019,08/30/2019,07/29/2019 17:19:29,Synopsis 1
DOSRUS-15-GR-005,Maker Faire – A Showcase for Innovation,DOS-RUS,U.S. Mission to Russia,50000,1,"Jeni Washeleski
Grants Officer
Phone +7 (495) 728-5058",,GrantsRussia@state.gov,,,06/16/2015,07/31/2015,06/16/2015 1:52:16,Synopsis 1
W911NF-20-S-0005,"Scalable, Adaptive, and Resilient Autonomy (SARA)",DOD-AMC,Dept of the Army -- Materiel Command,,,"Jason Santucci
Grant Specialist
Phone 919-549-4376",,jsaon.santucci2.civ@mail.mil,,,01/15/2020,02/14/2020,01/30/2020 9:47:30,Synopsis 1
BER-NOFO-FY19-002,Mapping MIC2025 in Germany,DOS-DEU,U.S. Mission to Germany,,1,BerlinPANOFO@state.gov,,BerlinPANOFO@state.gov,,,08/16/2019,08/31/2019,08/30/2019 4:42:30,Synopsis 3
W911NF-17-S-0004,Distributed and Collaborative Intelligent Systems and Technology (DCIST) Collaborative Research Alliance (CRA),DOD-AMC,Dept of the Army -- Materiel Command,,,"Nikolaos Georgakopoulos
Contract Specialist
Phone 919-841-0817",,nikolaos.georgakopoulos.civ@mail.mil,,,02/21/2017,07/26/2017,07/19/2017 15:38:19,Synopsis 4
NPSBAA08-005,NATIONAL SECURITY SCIENCE AND ENGINEERING FACULTY FELLOWSHIP (NSSEFF) PROGRAM,DOD-ONR-SUP,Naval Supply Systems Command,30000000,10,"Janet Dang
Contract and Grant Specialist
Phone (562) 626-7683",,janet.dang@navy.mil,,,06/06/2008,10/03/2008,09/05/2008 18:12:05,Synopsis 4
DOS-NBO-PAS-FY19-007,American Center Nairobi Program and Outreach Support,DOS-KEN,U.S. Mission to Kenya,40000,1,NairobiPAS@state.gov,,NairobiPAS@state.gov,,,05/30/2019,06/30/2019,05/30/2019 10:37:30,Synopsis 5
N00014-18-S-F005,"Fiscal Year (FY) 2018 Funding Opportunity Announcement (FOA) for the Office of Naval Research (ONR), on behalf of the Office of the Secretary of Defense (OSD), for the Manufacturing Engineering Education Program",DOD-ONR,Office of Naval Research,,,"David Broadwell
Grants Officer
Phone 703-588-2866",,david.broadwell@navy.mil,,,01/12/2018,05/25/2018,04/27/2018 10:22:27,Synopsis 2
PA-10-213,Development of Assays for High-Throughput screening for use in Probe and Pre-therapeutic Discovery (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,06/10/2010,09/07/2013,10/14/2010 11:55:14,Synopsis 2
10-515,Cyber-Physical Systems,NSF,National Science Foundation,30000000,40,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,12/14/2009,,12/23/2010 8:59:23,Synopsis 4
PA-07-451,New Technology for Proteomics and Glycomics (SBIR [R43/R44]),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,09/10/2007,,01/26/2009 15:21:26,Synopsis 1
PA-07-452,New Technology for Proteomics and Glycomics (STTR [R41/R42]),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,09/10/2007,,01/26/2009 15:21:26,Synopsis 1
08-611,Cyber-Physical Systems,NSF,National Science Foundation,30000000,40,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,03/04/2009,,01/18/2010 13:39:18,Synopsis 2
NNH10UA005L,REQUEST FOR INFORMATION - NASA OFFICE OF THE CHIEF TECHNOLOGIST EARLY STAGE INNOVATION DIVISION - SPACE TECHNOLOGY RESEARCH GRANTS PROGRAM,NASA-HQ,NASA Headquarters,,1,"Name:	Claudia M Meyer
Title:	Space Technology Research Grants Program Executive
Phone:	216-509-5606
Fax:	202-358-4078
Email:	hq-esi-strg@mail.nasa.gov",,hq-esi-strg@mail.nasa.gov,,,08/24/2010,09/12/2010,08/24/2010 15:59:24,Synopsis 1
PD-12-5342,General & Age-Related Disabilities Engineering (GARDE),NSF,National Science Foundation,4600000,38,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,06/23/2011,09/15/2011,06/23/2011 11:44:23,Synopsis 1
PA-11-214,New Technology for Proteomics and Glycomics (STTR [R41/R42]),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,05/19/2011,05/07/2014,05/19/2011 11:48:19,Synopsis 1
PA-11-215,New Technology for Proteomics and Glycomics (SBIR [R43/R44]),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,05/19/2011,05/07/2014,05/19/2011 12:23:19,Synopsis 1
PD-11-5342,General & Age-Related Disabilities Engineering (GARDE),NSF,National Science Foundation,4600000,38,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,12/03/2010,,06/23/2011 14:59:23,Synopsis 5
11-516,Cyber-Physical Systems,NSF,National Science Foundation,30000000,30,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,12/22/2010,,12/09/2011 18:37:09,Synopsis 4
13-598,Small Business Technology Transfer Program Phase I Solicitation FY-2014 (Release 2),NSF,National Science Foundation,10890000,47,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,09/04/2013,12/04/2013,09/04/2013 12:58:04,Synopsis 1
13-599,Small Business Innovation Research Program Phase I Solicitation FY-2014 (Release 2),NSF,National Science Foundation,30000000,200,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,09/04/2013,12/02/2013,09/04/2013 13:00:04,Synopsis 1
NNH13ZDA006C,COOPERATIVE AGREEMENT NOTICE - SOLAR SYSTEM EXPLORATION RESEARCH VIRTUAL INSTITUTE,NASA-HQ,NASA Headquarters,,,"Dr. Yvonne  Pendleton
yvonne.pendleton@nasa.gov
NAIS Support
nais.support@nasa.gov
",,yvonne.pendleton@nasa.gov,,,01/08/2013,04/10/2013,01/08/2013 15:55:08,Synopsis 1
DE-FOA-0000518,Advanced Fossil Energy Research: Novel Developments in Sensors and Controls for Fossil Energy Power Generation and Fuel Production Technologies,DOE-NETL,National Energy Technology Laboratory,4500000,4,"MAUREEN B. DAVISON, 412-386-5163
Maureen.Davison@NETL.DOE.GOV
",,Maureen.Davison@NETL.DOE.GOV,,,04/04/2011,05/16/2011,04/05/2011 8:24:05,Synopsis 1
DE-FOA-0001424,Request For Information - Advanced Telepresence Technology,DOE-ARPAE,Advanced Research Projects Agency Energy,1,1," Renee E. Sperling 
renee.sperling@hq.doe.gov
",,renee.sperling@hq.doe.gov,,,09/29/2015,10/30/2015,09/29/2015 16:39:29,Synopsis 1
PD-13-5342,General & Age-Related Disabilities Engineering (GARDE),NSF,National Science Foundation,4600000,38,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,07/12/2012,08/11/2013,08/12/2013 13:45:12,Synopsis 3
NNH14ZOA001N-14ESI-B2,Early Stage Innovations (ESI),NASA-HQ,NASA Headquarters,,12,"Claudia Meyer
Space Technology Research Grants Program Executive
Space Technology Mission Directorate, NASA Headquarters",,hq-esi-call@mail.nasa.gov,,,05/30/2014,07/23/2014,06/20/2014 16:09:20,Synopsis 4
NNH16ZDA009C,Solar System Exploration Research Virtual Institute - Cycle 2,NASA-HQ,NASA Headquarters,,,"Dr. Max Bernstein
sara@nasa.gov",,sara@nasa.gov,,,08/29/2016,11/21/2016,10/04/2016 11:05:04,Synopsis 2
NNH17ZOA002L,IN-SPACE SATELLITE SERVICING CAPABILITY– REQUEST FOR INFORMATION,NASA-HQ,NASA Headquarters,,,"If you have questions concerning this RFI prior to submitting a response, please send your questions to stmdrfi@nasaprs.com and reference, in the subject line, the title of the RFI.",,stmdrfi@nasaprs.com,,,08/02/2017,08/24/2017,08/09/2017 15:08:09,Synopsis 2
PA-18-163,Use of Technology to Enhance Patient Outcomes and Prevent Illness (R21 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,11/07/2017,01/07/2020,11/07/2017 9:37:07,Synopsis 1
PA-18-145,Use of Technology to Enhance Patient Outcomes and Prevent Illness (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,11/07/2017,01/07/2020,11/07/2017 8:51:07,Synopsis 1
PA-17-009,Use of Technology to Enhance Patient Outcomes and Prevent Illness (R21),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,10/18/2016,01/24/2018,11/27/2017 15:18:27,Synopsis 2
PA-17-010,Use of Technology to Enhance Patient Outcomes and Prevent Illness (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,10/18/2016,01/24/2018,11/27/2017 15:18:27,Synopsis 2
