OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
P16AS00022,Learning Summit: Learning from Outside In,DOI-NPS,National Park Service,35500,1," Janet Keck 303 969-2804
Janet_Keck@nps.gov
",,Janet_Keck@nps.gov,,,02/11/2016,,02/11/2016 18:11:11,Synopsis 1
APS-NUMBER-486-12-016,Programs to Support Learning Platforms that Facilitate Learning Exchanges for Innovative Food Security Approaches and Technologies in South and Southeast Asia,USAID-THA,Thailand USAID-Bangkok,900000,1,"Maria Rosario Arenas
Grantor
Phone 6622637453",,marenas@usaid.gov,,,03/08/2012,09/08/2012,03/08/2012 2:51:08,Synopsis 1
NPS-16-NERO-0191,NOTICE OF INTENT TO AWARD  Facilitate Collaborative Learning Opportunities through UPDE Service Learning Partnership with the Center for Land Use and Sustainability,DOI-NPS,National Park Service,130102,1,"Jennifer Fleming
NPS NER Agreements Officer
Phone 215-597-6476",,Jennifer_Fleming@nps.gov,,,09/15/2016,09/24/2016,09/15/2016 15:55:15,Synopsis 1
DARPA-BAA-16-53,Explainable Artificial Intelligence (XAI),DOD-DARPA-I2O,DARPA - Information Innovation Office,,,"Technical POC, PM DARPA/I2O",,XAI@darpa.mil,,,08/10/2016,11/01/2016,08/10/2016 16:22:10,Synopsis 1
09HQPA0053,"Cooperative Ecosystem Studies Unit, Rocky Mountain CESU",DOI-USGS1,Geological Survey,32000,1,"FAITH GRAVES
Contract Specialist
Phone 703-648-7356",,fgraves@usgs.gov,,,07/14/2009,07/24/2009,07/14/2009 13:32:14,Synopsis 1
PAR-19-344,Explainable Artificial Intelligence for Decoding and Modulating Neural Circuit Activity Linked to Behavior (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,08/14/2019,03/10/2022,08/14/2019 14:11:14,Synopsis 1
RFA-MH-20-120,BRAIN Initiative: Secondary Analysis and Archiving of BRAIN Initiative Data (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,04/10/2019,02/26/2021,05/11/2020 12:27:11,Synopsis 2
W81XWH-17-MSISRP-FOR,"DoD Medical Simulation and Information Sciences, Toward A Next-Generation Trauma Care Capability: Foundational Research for Autonomous, Unmanned, and Robotics Development of Medical Technologies (FORwARD) Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,2600000,2,"CDMRP Help Desk
Phone: 301-682-5507
Email: help@eBRAP.org
",,help@eBRAP.org,,,09/28/2017,02/05/2018,09/28/2017 12:58:28,Synopsis 1
N00014-17-S-F017,FY2018 Historically Black Colleges and Universities/Minority Institutions (HBCU/MI) Program,DOD-ONR,Office of Naval Research,,,"David Broadwell
Grants Officer
Phone 703-588-2866",,david.broadwell@navy.mil,,,09/28/2017,04/30/2018,03/29/2018 15:57:29,Synopsis 2
N00014-19-S-F004,FY2019 Office of Naval Research Historically Black Colleges and Universities/Minority Institutions (HBCU/MI) Program,DOD-ONR,Office of Naval Research,,,"David Broadwell
Grant Management Specialist
Phone 703-588-2866",,david.broadwell@navy.mil,,,11/02/2018,04/19/2019,03/22/2019 8:11:22,Synopsis 2
20-552,Future Manufacturing,NSF,National Science Foundation,40000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,03/06/2020,06/05/2020,03/06/2020 1:00:06,Synopsis 1
W911NF-19-S-0012,TrojAI,DOD-AMC,Dept of the Army -- Materiel Command,,10,"Kevin J Bassler
Grants/ Contracts Officer",,kevin.j.bassler.civ@mail.mil,,,05/02/2019,07/25/2019,05/02/2019 15:48:02,Synopsis 2
N00014-17-S-F015,FY2018 VANNEVAR BUSH FACULTY FELLOWSHIP,DOD-ONR,Office of Naval Research,,,"David Broadwell
Grants Officer
Phone 703-588-2866",,david.broadwell@navy.mil,,,06/14/2017,01/08/2018,06/14/2017 11:39:14,Synopsis 1
PAR-19-269,Cognitive Systems Analysis of Alzheimer's Disease Genetic and Phenotypic Data (U01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,4000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/06/2019,09/07/2022,05/06/2019 12:10:06,Synopsis 1
80SSC020Z0001,Dual Use Technology Development Cooperative Agreement Notice (CAN) 2020,NASA-SSC,NASA Stennis Space Center,,,"Lauren Underwood
Phone 228-688-2096",,lauren.w.underwood@nasa.gov,,,01/22/2020,09/30/2020,01/29/2020 13:33:29,Synopsis 7
PD-19-1340,Research in the Formation of Engineers,NSF,National Science Foundation,5600000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,08/24/2019,,04/04/2020 1:00:04,Synopsis 2
20-563,Cyber-Physical Systems,NSF,National Science Foundation,17000000,15,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,04/07/2020,12/02/2020,06/30/2020 1:00:30,Synopsis 2
P13AS00074,Urban Waters Learning Network,DOI-NPS,National Park Service,99987,1,"June Zastrow, 303-987-6718
June_Zastrow@nps.gov
",,June_Zastrow@nps.gov,,,05/29/2013,06/11/2013,05/29/2013 10:08:29,Synopsis 1
NEAPS0801,NEA Assessment of Student Learning in the Arts,NEA,National Endowment for the Arts,250000,1,"Grants & Contracts Office
Room 618
National Endowment for the Arts
1100 Pennsylvania Ave, NW
Washington, DC 20506
Phone: (202) 682-5403
FAX: (202) 682-5626
Email: jacobsn@arts.gov",,jacobsn@arts.gov,,,04/17/2008,05/30/2008,04/17/2008 16:56:17,Synopsis 1
720-668-RFI-19-SLO,Supporting Learning outcomes,USAID-SSD,South Sudan (USAID)-Juba,20000000,1,"Michael  P Loro
Acq and Assistance Assistant
Phone 202 216 6279",,mloro@usaid.gov,,,03/21/2019,04/09/2019,03/22/2019 2:29:22,Synopsis 1
P13AS00183,"Design, develop and test implementing park science a blended learning curriculum",DOI-NPS,National Park Service,105000,1,"June Zastrow, 303-987-6718
June_Zastrow@nps.gov
",,June_Zastrow@nps.gov,,,08/06/2013,08/20/2013,08/06/2013 11:19:06,Synopsis 1
P14AS00287,River Conservation Tools and Learning Network Development,DOI-NPS,National Park Service,25000,1,"June Zastrow, 303-987-6718
June_Zastrow@nps.gov
",,June_Zastrow@nps.gov,,,08/21/2014,09/04/2014,08/21/2014 15:56:21,Synopsis 2
2008NEA01LITA,"NEA Learning in the Arts for Children and Youth, FY2009",NEA,National Endowment for the Arts,,,"National Endowment for the Arts
Web Manager",,webmgr@arts.gov,,,01/09/2008,06/09/2008,01/09/2008 15:40:09,Synopsis 1
2008NEA01LITA2,NEA Learning in the Arts for Children and Youth 2,NEA,National Endowment for the Arts,,,NEA Web Site Manager,,webmgr@arts.gov,,,06/25/2008,07/02/2008,06/25/2008 9:22:25,Synopsis 1
13-604,Research on Education and Learning,NSF,National Science Foundation,51000000,52,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,09/09/2013,01/10/2014,09/09/2013 15:31:09,Synopsis 1
2010NEA01LITA,"NEA Learning in the Arts for Children and Youth, FY 2011",NEA,National Endowment for the Arts,,,NEA Web Manager,,webmgr@arts.gov,,,01/12/2010,06/10/2010,01/12/2010 10:05:12,Synopsis 1
RFA-641-14-000004,USAID Partnership for Education: LEARNING,USAID-GHA,Ghana USAID-Accra,71000000,1,"Fatoumata Camara
Grantor
Phone 224- 60 46 8715",,fcamara@usaid.gov,,,04/28/2014,07/16/2014,07/09/2014 6:17:09,Synopsis 7
12AC16,Development of a 21st Century Corrections Learning Professional Competency,USDOJ-BOP-NIC,National Institute of Corrections,,1,"Pamela Davison
Administrative Assistant
Phone 202-353-0484",,pdavison@bop.gov,,,07/20/2012,08/09/2012,07/20/2012 15:27:20,Synopsis 1
ED-GRANTS-083013-001,Department of Education and Department of Health and Human Services: Race to the Top: Early Learning Challenge CFDA Number 84.412A,ED,Department of Education,280000000,,"Julius Cotton
ED Grants.gov FIND Systems Admin.
Phone 202-245-6288
EducationGrantInquiries@ed.gov
Program Manager:
Miriam Lund
U.S. Department of Education
400 Maryland Ave., SW., room 3E330
Washington, DC 20202-6200.
Telephone: 202-401-2871 or by email: RTT-ELC.P3.Competition@ed.gov.",,RTT-ELC.P3.Competition@ed.gov,,,08/30/2013,10/16/2013,08/30/2013 9:18:30,Synopsis 2
AID-263-14-000005,US-Egypt Learning Program,USAID-EGY,Egypt USAID-Cairo,20000,1,"Sherine Gerguis
Grantor
Phone 202-25226925",,sgerguis@usaid.gov,,,03/25/2014,,03/25/2014 8:32:25,Synopsis 1
ED-GRANTS-092012-001,U.S. Department of Education and U.S. Department of Health and Human Services: Race to the Top: Early Learning Challenge; Phase 2 CFDA Number 84.412A,ED,Department of Education,132934875,5,"Julius Cotton
ED Grants.gov FIND Systems Admin.
Phone 202-245-6140
julius.cotton@ed.gov
Program Manager:
Deborah Spitz
U.S. Department of Education
400 Maryland Ave. SW., room 3E230
Washington, DC 20202. 
Telephone: 202-260-3793 or by email: Deborah.Spitz@ed.gov or 
RTT.Early.Learning.Challenge@ed.gov.",,RTT.Early.Learning.Challenge@ed.gov,,,09/20/2012,10/26/2012,09/20/2012 10:16:20,Synopsis 1
L15AS00176,BLM OR/WA - Washington State Fire Adapted Communities Learning Network Phase 2,DOI-BLM,Bureau of Land Management,2000000,1,"Jessica Clark, 503-808-6226
j1clark@blm.gov
",,j1clark@blm.gov,,,06/11/2015,08/10/2015,06/11/2015 14:01:11,Synopsis 1
L14AS00224,BLM OR-WA State Fire Adapted Communities Learning Network,DOI-BLM,Bureau of Land Management,1500000,1,"Jessica Clark, 503-808-6226
j1clark@blm.gov
",,j1clark@blm.gov,,,07/21/2014,08/20/2014,07/21/2014 10:59:21,Synopsis 1
NNL10ZB1001C,NASA DIGITAL LEARNING NETWORK,NASA-LRC,NASA Langley Research Center,,1,"Karen L Dempster
Karen.C.Dempster@nasa.gov
NAIS Support
nais.support@nasa.gov
",,Karen.C.Dempster@nasa.gov,,,09/30/2009,,09/30/2009 12:41:30,Synopsis 1
2009NEA01LITA,"NEA Learning in the Arts for Children and Youth, FY2010",NEA,National Endowment for the Arts,,,NEA Web Manager,,webmgr@arts.gov,,,01/30/2009,06/11/2009,03/03/2009 8:37:03,Synopsis 2
10-602,Transforming STEM Learning,NSF,National Science Foundation,5000000,15,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,08/20/2010,,07/28/2014 11:27:28,Synopsis 6
13-608,Advancing Informal STEM Learning,NSF,National Science Foundation,27000000,46,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,10/21/2013,,04/15/2014 16:02:15,Synopsis 3
