OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
HR001119S0014,Knowledge-directed Artificial Intelligence Reasoning Over Schemas (KAIROS),DOD-DARPA-I2O,DARPA - Information Innovation Office,,,"BAA Coordinator
KAIROS@darpa.mil",,KAIROS@darpa.mil,,,12/20/2018,02/27/2019,12/20/2018 18:20:20,Synopsis 1
DE-FOA-0002306,FAIR Data and Models for Artificial Intelligence and Machine Learning,PAMS-SC,Office of Science,8500000,7,"Dr. Laura Biven
Program Manager
Phone 301-903-5000",,Laura.Biven@science.doe.gov,,,04/02/2020,05/15/2020,04/01/2020 11:20:01,Synopsis 1
PAR-19-344,Explainable Artificial Intelligence for Decoding and Modulating Neural Circuit Activity Linked to Behavior (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,08/14/2019,03/10/2022,08/14/2019 14:11:14,Synopsis 1
20-556,"Multimodal Sensor Systems for Precision Health Enabled by Data Harnessing, Artificial Intelligence, and Learning",NSF,National Science Foundation,6500000,10,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,03/12/2020,06/08/2020,03/12/2020 1:00:12,Synopsis 1
20-566,NSF Program on Fairness in Artificial Intelligence in Collaboration with Amazon,NSF,National Science Foundation,7600000,10,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,04/16/2020,07/13/2020,04/16/2020 1:00:16,Synopsis 1
HR001119S0034,Artificial Social Intelligence for Successful Teams (ASIST),DOD-DARPA-I2O,DARPA - Information Innovation Office,,,"BAA Coordinator
ASIST@darpa.mil",,ASIST@darpa.mil,,,03/18/2019,05/17/2019,03/18/2019 13:14:18,Synopsis 1
HR001119S0038,Science of Artificial Intelligence and Learning for Open-world Novelty (SAIL-ON),DOD-DARPA-DSO,DARPA - Defense Sciences Office,,,"BAA Coordinator
SAILON@darpa.mil",,SAILON@darpa.mil,,,03/15/2019,05/10/2019,05/01/2019 15:54:01,Synopsis 2
PD-19-127Y,The Science of Learning and Augmented Intelligence Program,NSF,National Science Foundation,,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/19/2019,07/08/2020,01/31/2020 1:00:31,Synopsis 3
N00014-19-S-SN07,Artificial Intelligence/Machine Learning Enabled Capabilities,DOD-ONR,Office of Naval Research,,,"Phillip Lee
Contracting Officer
Phone 7036962820",,phillip.m.lee2@navy.mil,,,06/25/2019,09/06/2019,08/14/2019 13:31:14,Synopsis 2
W911NF-19-S-0013-RFI-03,Request for Information - HBCU/MI Artificial Intelligence/Machine Learning,DOD,Department of Defense,,,"Evelyn Kent
Director, DOD HBCU/MI Program and Outreach OUSD(R&E)/RT&L
571.372.6546",,osd.pentagon.ousd-r-e.mbx.rt-rtl-hbcu-mi@mail.mil,,,12/05/2019,01/31/2020,12/05/2019 13:55:05,Synopsis 1
DARPA-BAA-09-63,Physical Intelligence (PI),DOD-DARPA-DSO,DARPA - Defense Sciences Office,,,BAA Administrator,,DARPA-BAA-09-63@darpa.mil,,,06/15/2009,06/14/2010,06/15/2009 10:21:15,Synopsis 1
USAFA-BAA-2015-CALL-0008,Research on the Use of Autonomy and Unmanned Vehicles in Support of USAF Operations,DOD-USAFA,Air Force Academy,,1,"Christian Cornell
Grantor
Phone 7193338269",,10MSG.LGCC@us.af.mil,,,07/29/2019,08/30/2019,07/29/2019 17:19:29,Synopsis 1
W911NF-19-S-0012,TrojAI,DOD-AMC,Dept of the Army -- Materiel Command,,10,"Kevin J Bassler
Grants/ Contracts Officer",,kevin.j.bassler.civ@mail.mil,,,05/02/2019,07/25/2019,05/02/2019 15:48:02,Synopsis 2
DE-FOA-0002319,Scientific Machine Learning for Modeling and Simulations,PAMS-SC,Office of Science,10000000,25,"Dr. Steven Lee
Program Manager
Phone 301-903-5710",,Steven.Lee@science.doe.gov,,,04/08/2020,05/29/2020,04/07/2020 15:49:07,Synopsis 1
20-552,Future Manufacturing,NSF,National Science Foundation,40000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,03/06/2020,06/05/2020,03/06/2020 1:00:06,Synopsis 1
20-563,Cyber-Physical Systems,NSF,National Science Foundation,17000000,15,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,04/07/2020,12/02/2020,06/30/2020 1:00:30,Synopsis 2
NPS-BAA-12-001,FY 12 FUNDING OPPORTUNITY FOR THE NATIONAL CONSORTIUM FOR MEASUREMENT AND SIGNATURE INTELLIGENCE (MASINT) RESEARCH PROGRAM,DOD-ONR-SUP,Naval Supply Systems Command,,,"Janet Norton
Contract and Grant Officer
Phone 808-473-7669",,janet.norton@navy.mil,,,01/11/2012,12/31/2012,03/30/2012 2:19:30,Synopsis 4
NPS-BAA-13-001,FY13 FUNDING OPPORTUNITY FOR THE NATIONAL CONSORTIUM FOR MEASUREMENT AND SIGNATURE INTELLIGENCE (MASINT) RESEARCH PROGRAM,DOD-ONR-SUP,Naval Supply Systems Command,,,"Christina Beal
Contract Specialist
Phone 619-556-7329",,christina.e.beal@navy.mil,,,12/04/2012,09/30/2013,12/04/2012 12:37:04,Synopsis 1
RFA-DK-10-008,Small Business Innovation Research to Develop New Therapeutics and Monitoring Technologies for Type 1 Diabetes (T1D). Towards an Artificial Pancreas [(SBIR) (R43/R44)],HHS-NIH11,National Institutes of Health,3200000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,05/19/2010,11/29/2010,05/19/2010 8:42:19,Synopsis 1
RFA-DK-09-001,Small Business Innovation Research to Develop New Therapeutics and Monitoring Technologies for Type 1 Diabetes (T1D). Towards an Artificial Pancreas (SBIR) [R43/R44]),HHS-NIH11,National Institutes of Health,2000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,12/11/2008,04/15/2009,12/11/2008 12:51:11,Synopsis 1
RFA-DK-11-018,Small Business Innovation Research to Develop New Therapeutics and Monitoring Technologies for Type 1 Diabetes (T1D) Towards an Artificial Pancreas [(SBIR) (R43/R44)],HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,09/20/2011,11/28/2011,11/23/2011 7:51:23,Synopsis 2
RFA-DK-13-028,Small Business Innovation Research to Develop New Therapeutics and Monitoring Technologies for Type 1 Diabetes (T1D): Towards an Artificial Pancreas (SBIR) (R43/R44),HHS-NIH11,National Institutes of Health,2500000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,12/04/2013,03/14/2014,12/04/2013 12:02:04,Synopsis 1
RFA-DK-13-001,Small Business Innovation Research to Develop New Therapeutics and Monitoring Technologies for Type 1 Diabetes (T1D) Towards an Artificial Pancreas [SBIR (R43/R44)],HHS-NIH11,National Institutes of Health,2500000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,12/17/2012,03/06/2013,12/17/2012 12:10:17,Synopsis 1
F14AS00374,Artificial Light Pollution on San Bernardino Kangaroo Rat,DOI-FWS,Fish and Wildlife Service,84000,1,"Anne Robb, 760-431-9440
anne_robb@fws.gov
",,anne_robb@fws.gov,,,08/05/2014,08/15/2014,08/05/2014 18:33:05,Synopsis 1
RFA-DK-16-008,Advanced Clinical Trials to test Artificial Pancreas Device Systems in Type 1 Diabetes (UC4),HHS-NIH11,National Institutes of Health,20000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,09/02/2015,03/09/2016,09/02/2015 13:26:02,Synopsis 1
RFA-DK-14-024,Advanced Clinical Trials to test Artificial Pancreas Device Systems in Type 1 Diabetes (UC4),HHS-NIH11,National Institutes of Health,20000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,07/22/2014,04/15/2015,07/22/2014 12:59:22,Synopsis 1
RFA-DK-18-025,Advanced Clinical Trials to test Artificial Pancreas Device Systems in Type 1 Diabetes (U01 Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/28/2019,04/10/2019,01/28/2019 11:45:28,Synopsis 1
RFA-DK-18-026,Data Coordinating Center for the Advanced Clinical Trials Consortium to Test Artificial Pancreas Device Systems (U24 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/28/2019,04/10/2019,01/28/2019 11:53:28,Synopsis 1
RFA-DK-19-036,Clinical Trials to Test Artificial Pancreas Device Systems in Populations Challenging to Manage Type 1 Diabetes (T1D) (U01 Clinical Trial Required),HHS-NIH11,National Institutes of Health,3000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/04/2019,07/09/2020,04/14/2020 9:30:14,Synopsis 2
FR-RRD-14-004,Automated Measurement of Stress in Continuous Welded Rail -Artificial Heating Option Study,DOT-FRA,DOT - Federal Railroad Administration,,,"GrantSolutions Help Desk
Phone Number: 1.866.577.0771 or 202.401.5282
Hours of operation are Monday-Friday from 9:00 a.m. to 6:00 p.m. Eastern Standard Time
help@grantsolutions.gov
",,help@grantsolutions.gov,,,02/03/2014,02/17/2014,02/03/2014 9:47:03,Synopsis 1
BJA-2011-2866,Criminal Intelligence System Operating Policies (28 CFR Part 23) National Training and Technical Assistance Program,USDOJ-OJP-BJA,Bureau of Justice Assistance,,20,Grants.gov Customer Support Hotline at 8005184726,,support@grants.gov,,,12/07/2010,02/10/2011,12/07/2010 9:26:07,Synopsis 2
BJA-2018-13570,BJA FY 18 Local Law Enforcement Crime Gun Intelligence Center Integration Initiative,USDOJ-OJP-BJA,Bureau of Justice Assistance,4000000,5,"For technical assistance with submitting an application, contact the Grants.gov Customer Support Hotline at 800-518-4726 or 606-545-5035, or via email to support@grants.gov. The Grants.gov Support Hotline operates 24 hours a day, 7 days a week, except on federal holidays. 
An applicant that experiences unforeseen Grants.gov technical issues beyond its control that prevent it from submitting its application by the deadline must email the contact identified below within 24 hours after the application deadline in order to request approval to submit its application after the deadline. Additional information on reporting technical issues appears under Experiencing Unforeseen Grants.gov Technical Issues in the How to Apply section. 
For assistance with any unforeseen Grants.gov technical issues beyond an applicants control that prevent it from submitting its application by the deadline, or any other requirement of this solicitation, contact the National Criminal Justice Reference Service (NCJRS) Response Center: toll-free at 800-851-3420; via TTY at 301-240-6310 (hearing impaired only); email grants@ncjrs.gov; fax to 301-240-5830; or web chat at https://webcontact.ncjrs.gov/ncjchat/chat.jsp. The NCJRS Response Center hours of operation are 10:00 a.m. to 6:00 p.m. eastern time, Monday through Friday, and 10:00 a.m. to 8:00 p.m. eastern time on the solicitation close date.
support@grants.gov
",,support@grants.gov,,,03/22/2018,05/07/2018,03/22/2018 16:46:22,Synopsis 1
BJA-2019-15053,BJA FY 19 Local Law Enforcement Crime Gun Intelligence Center Integration Initiative,USDOJ-OJP-BJA,Bureau of Justice Assistance,5000000,5,"For technical assistance with submitting an application, contact the Grants.gov Customer Support Hotline at 800-518-4726 or 606-545-5035, or via email to support@grants.gov. The Grants.gov Support Hotline operates 24 hours a day, 7 days a week, except on federal holidays. 
An applicant that experiences unforeseen Grants.gov technical issues beyond its control that prevent it from submitting its application by the deadline must email the contact identified below within 24 hours after the application deadline in order to request approval to submit its application after the deadline. Additional information on reporting technical issues appears under Experiencing Unforeseen Grants.gov Technical Issues in the How to Apply section. 
For assistance with any unforeseen Grants.gov technical issues beyond an applicants control that prevent it from submitting its application by the deadline, or any other requirement of this solicitation, contact the National Criminal Justice Reference Service (NCJRS) Response Center: toll-free at 800-851-3420; via TTY at 301-240-6310 (hearing impaired only); email grants@ncjrs.gov; fax to 301-240-5830; or web chat at https://webcontact.ncjrs.gov/ncjchat/chat.jsp. The NCJRS Response Center hours of operation are 10:00 a.m. to 6:00 p.m. eastern time, Monday through Friday, and 10:00 a.m. to 8:00 p.m. eastern time on the solicitation close date.

support@grants.gov",,support@grants.gov,,,04/23/2019,06/11/2019,04/23/2019 14:03:23,Synopsis 1
BJA-2016-9325,National Gun Crime Intelligence Center Initiative,USDOJ-OJP-BJA,Bureau of Justice Assistance,2000000,2,"For technical assistance with submitting an application, contact the Grants.gov Customer Support Hotline at 800-518-4726 or 606-545-5035, or via e-mail to support@grants.gov. The Grants.gov Support Hotline hours of operation are 24 hours a day, 7 days a week, except federal holidays. 
support@grants.gov
",,support@grants.gov,,,03/15/2016,05/03/2016,03/15/2016 14:24:15,Synopsis 2
BJA-2020-17017,BJA FY 20 Crime Gun Intelligence Centers,USDOJ-OJP-BJA,Bureau of Justice Assistance,6000000,7,"For technical assistance with submitting an application, contact the Grants.gov Customer Support Hotline at 8005184726 or 6065455035, at https://www.grants.gov/web/grants/support.html, or at support@grants.gov. The Grants.gov Support Hotline operates 24 hours a day, 7 days a week, except on federal holidays. 
An applicant that experiences unforeseen Grants.gov technical issues beyond its control that prevent it from submitting its application by the deadline must email the contact identified below within 24 hours after the application deadline to request approval to submit its application after the deadline. Additional information on reporting technical issues appears under Experiencing Unforeseen Grants.gov Technical Issues in the How To Apply (Grants.gov) section in the OJP Grant Application Resource Guide. 
For assistance with any unforeseen Grants.gov technical issues beyond an applicants control that prevent it from submitting its application by the deadline, or any other requirement of this solicitation, contact the National Criminal Justice Reference Service (NCJRS) Response Center: toll-free at 8008513420; via TTY at 3012406310 (hearing impaired only); email grants@ncjrs.gov; fax to 3012405830; or web chat at https://webcontact.ncjrs.gov/ncjchat/chat.jsp. The NCJRS Response Center hours of operation are 10:00 a.m. to 6:00 p.m. eastern time, Monday through Friday, and 10:00 a.m. to 8:00 p.m. eastern time on the solicitation close date.

support@grants.gov",,support@grants.gov,,,03/12/2020,05/11/2020,03/12/2020 14:00:12,Synopsis 1
ONRBAA09-032,Generation of Actionable Intelligence from an Enterprise Environment,DOD-ONR,Office of Naval Research,,,"Pleshette Brown
Ms.
Phone 703-696-4126",,pleshette.brown@navy.mil,,,07/30/2009,10/13/2009,10/28/2009 14:51:28,Synopsis 4
HHM402-14-BAA-243,Intelligence Community - Center for Academic Excellence,DOD-DIA,Defense Intelligence Agency,4100000,7,"Stephen Lee
Grants Officer
Phone 202-231-2816",,243CAE@dodiis.mil,,,01/03/2014,03/15/2014,03/11/2014 17:08:11,Synopsis 3
BAA-HPW-RHX-2014-0001,"Human-Centered Intelligence, Surveillance ",DOD-AFRL,Air Force -- Research Lab,67100000,15,"Elizabeth Fink
Contracting Officer
Phone 937-713-9832",,elizabeth.fink.1@us.af.mil,,,02/11/2014,02/12/2018,04/07/2016 10:54:07,Synopsis 4
FA8650-18-S-6001,"Human-Centered Intelligence, Surveillance & Reconnaissance (ISR) Leveraged Science and Technology (S&T) Program",DOD-AFRL,Air Force -- Research Lab,24000000,15,"Elizabeth Fink
Email: elizabeth.fink.1@us.af.mil
Phone: 937-713-9832

",,elizabeth.fink.1@us.af.mil,,,02/16/2018,02/10/2023,06/01/2018 14:34:01,Synopsis 2
HHM402-19-FOA-399,FY 2019 Intelligence Community Centers for Academic Excellence (IC CAE) Program,DOD-DIA,Defense Intelligence Agency,,8,"Anthony D Hawkins
Grantor
Phone 202 231 3756",,anthony.hawkins3@dodiis.mil,,,01/24/2019,02/24/2019,02/21/2019 13:19:21,Synopsis 2
BJA-2020-17097,BJA FY 20 Law Enforcement National Initiative for Improving Investigations: Supporting State and Local Crime Gun Intelligence Centers Training and Technical Assistance,USDOJ-OJP-BJA,Bureau of Justice Assistance,500000,1,"For technical assistance with submitting an application, contact the Grants.gov Customer Support Hotline at 8005184726 or 6065455035, at https://www.grants.gov/web/grants/support.html, or at support@grants.gov. The Grants.gov Support Hotline operates 24 hours a day, 7 days a week, except on federal holidays. 
An applicant that experiences unforeseen Grants.gov technical issues beyond its control that prevent it from submitting its application by the deadline must email the contact identified below within 24 hours after the application deadline to request approval to submit its application after the deadline. Additional information on reporting technical issues appears under Experiencing Unforeseen Grants.gov Technical Issues in the How To Apply (Grants.gov) section in the OJP Grant Application Resource Guide. 
For assistance with any unforeseen Grants.gov technical issues beyond an applicants control that prevent it from submitting its application by the deadline, or any other requirement of this solicitation, contact the National Criminal Justice Reference Service (NCJRS) Response Center: toll-free at 8008513420; via TTY at 3012406310 (hearing impaired only); email grants@ncjrs.gov; fax to 3012405830; or web chat at https://webcontact.ncjrs.gov/ncjchat/chat.jsp. The NCJRS Response Center hours of operation are 10:00 a.m. to 6:00 p.m. eastern time, Monday through Friday, and 10:00 a.m. to 8:00 p.m. eastern time on the solicitation close date.

support@grants.gov",,support@grants.gov,,,04/07/2020,05/22/2020,04/07/2020 14:29:07,Synopsis 1
RFA-DK-12-021,Diabetes Impact Award-Closed Loop Technologies: Development and Integration of Novel Components for an Automated Artificial Pancreas System (DP3),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,12/12/2012,03/28/2013,12/12/2012 9:05:12,Synopsis 1
RFA-DK-14-015,Diabetes Impact Award-Closed Loop Technologies: Development and Integration of Novel Components for an Automated Artificial Pancreas System (DP3),HHS-NIH11,National Institutes of Health,6000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,05/14/2014,11/24/2014,05/14/2014 13:13:14,Synopsis 1
NPS-NOI-19-1125-,CESU--Protect historic sites in Canaveral National Seashore by planting vegetation and  creating  artificial oyster reef along shoreline,DOI-NPS,National Park Service,241010,,"Rose M McClelland
Grants Management Specialist
Phone 504-589-3882",,rose_mcclelland@nps.gov,,,08/12/2019,08/21/2019,08/12/2019 16:47:12,Synopsis 1
11-SN-0008,Special Program Announcement for 2011 Office of Naval Research Machine Reasoning and Intelligence,DOD-ONR,Office of Naval Research,,,"Lynn Christian
Contract Specialist
Phone 703-696-1575",,lynn.christian@navy.mil,,,03/08/2011,05/15/2011,03/08/2011 13:25:08,Synopsis 1
N00014-15-R-BA010,"Expeditionary Intelligence, Surveillance, Reconnaissance Science and Technology",DOD-ONR,Office of Naval Research,12000000,8,"Justin Zerbato
Senior Contract Specialist
Phone 703-696-0694",,justin.zerbato@navy.mil,,,06/19/2015,09/01/2015,08/18/2015 13:56:18,Synopsis 2
DE-FOA-0002108,Design Intelligence Fostering Formidable Energy Reduction and Enabling Novel Totally Impactful Advanced Technology Enhancements (DIFFERENTIATE) SBIR/STTR,DOE-ARPAE,Advanced Research Projects Agency Energy,5000000,3,"ARPA-E CO 
ARPA-E-CO@HQ.DOE.GOV",,ARPA-E-CO@HQ.DOE.GOV,,,04/05/2019,08/26/2019,07/31/2019 17:15:31,Synopsis 3
DE-FOA-0002107,Design Intelligence Fostering Formidable Energy Reduction and Enabling Novel Totally Impactful Advanced Technology Enhancements (DIFFERENTIATE),DOE-ARPAE,Advanced Research Projects Agency Energy,15000000,7,"ARPA-E CO 
ARPA-E-CO@HQ.DOE.GOV",,ARPA-E-CO@HQ.DOE.GOV,,,04/05/2019,08/26/2019,07/31/2019 17:00:31,Synopsis 3
N00014-17-S-F015,FY2018 VANNEVAR BUSH FACULTY FELLOWSHIP,DOD-ONR,Office of Naval Research,,,"David Broadwell
Grants Officer
Phone 703-588-2866",,david.broadwell@navy.mil,,,06/14/2017,01/08/2018,06/14/2017 11:39:14,Synopsis 1
DARPA-BAA-10-53,Mind's Eye,DOD-DARPA-TCTO,DARPA - Transformational Convergence Technology,,,James Donlon,,DARPA-BAA-10-53@darpa.mil,,,03/25/2010,05/10/2010,03/26/2010 18:29:26,Synopsis 2
WHS-AD-FOA-19,MINERVA RESEARCH INITIATIVE,DOD,Department of Defense,15000000,12,"Christina L Gess
Contract Specialist
Phone 703-545-1880",,christina.l.gess.civ@mail.mil,,,05/03/2019,09/26/2019,05/07/2019 7:21:07,Synopsis 3
WHS-AD-FOA-DECUR-19,Minerva Research Initiative,DOD,Department of Defense,2000000,6,"Christina L Gess
Contract Specialist
Phone 703-545-1880",,christina.l.gess.civ@mail.mil,,,08/07/2019,11/19/2019,08/07/2019 13:26:07,Synopsis 7
DOS-PAS-SLO-2020-001,FY 2020 Notice of Funding Opportunity: NGO Small Grants Program,DOS-SVN,U.S. Mission to Slovenia,70000,20,"Tanja Sustarsic
Program Assistant
Phone 38612005685",,LjubljanaNGOGrants@state.gov,,,01/23/2020,03/15/2020,01/23/2020 8:40:23,Synopsis 1
DOS-PAS-SLO-2020-003,FY 2020 Notice of Funding Opportunity: NGO Small Grants Program,DOS-SVN,U.S. Mission to Slovenia,100000,10,"Tanja Sustarsic
Program Assistant
Phone 38612005685",,LjubljanaNGOGrants@state.gov,,,06/26/2020,08/17/2020,06/26/2020 5:43:26,Synopsis 1
W911NF-18-S-0007,Bilateral Academic Research Initiative (BARI) Pilot Program,DOD-AMC,Dept of the Army -- Materiel Command,,1,"William Creech
Grants/Contracting Officer
Phone 9195494387",,william.a.creech3.civ@mail.mil,,,05/18/2018,07/06/2018,06/06/2018 6:36:06,Synopsis 4
W81XWH-17-MSISRP-FOR,"DoD Medical Simulation and Information Sciences, Toward A Next-Generation Trauma Care Capability: Foundational Research for Autonomous, Unmanned, and Robotics Development of Medical Technologies (FORwARD) Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,2600000,2,"CDMRP Help Desk
Phone: 301-682-5507
Email: help@eBRAP.org
",,help@eBRAP.org,,,09/28/2017,02/05/2018,09/28/2017 12:58:28,Synopsis 1
G16AS00071,"Cooperative Ecosystem Studies Unit, Great Lakes Northern Forests CESU",DOI-USGS1,Geological Survey,144068,1," Faith Graves 703-648-7356
fgraves@usgs.gov
",,fgraves@usgs.gov,,,05/31/2016,06/17/2016,05/31/2016 10:43:31,Synopsis 1
W911NF-20-S-0008,UNITED STATES MILITARY ACADEMY Broad Agency Announcement,DOD-AMC,Dept of the Army -- Materiel Command,,,"Brandon S Hill
Contract-Grant Specialist
Phone 919-541-5532",,brandon.s.hill24.civ@mail.mil,,,04/01/2020,03/31/2025,04/01/2020 11:09:01,Synopsis 1
FOA-ETA-19-09,Apprenticeships: Closing the Skills Gap,DOL-ETA,Employment and Training Administration,100000000,30,"Denise Roach
Grants Management Specialist
roach.denise@dol.gov",,roach.denise@dol.gov,,,06/24/2019,09/24/2019,08/29/2019 9:10:29,Synopsis 2
