pmid	title	journal
32633433	Nucleotide bearing benzylidene-tetrahydroxanthylium near-IR fluorophore for sensing DNA replication, secondary structures and interactions.	Chemistry
32633418	Mortality and the use of Antithrombotic Therapies among Nursing Home Residents with COVID-19.	J Am Geriatr Soc
32633416	Editorial - COVID-19 pandemic outbreak and the Latin rule of Bernard de Clairvaux. Have we forgotten the past?	Eur Rev Med Pharmacol Sci
32633415	Editorial - Children infected by SARS-CoV-2.	Eur Rev Med Pharmacol Sci
32633414	"Rapid and sensitive diagnostic procedure for multiple detection of pandemic Coronaviridae family members SARS-CoV-2, SARS-CoV, MERS-CoV and HCoV: a translational research and cooperation between the Phan Chau Trinh University in Vietnam and University of Bari ""Aldo Moro"" in Italy."	Eur Rev Med Pharmacol Sci
32633412	A nation-wide survey on emotional and psychological impacts of COVID-19 social distancing.	Eur Rev Med Pharmacol Sci
32633410	COVID-19 with bronchogram - a potential indication of prolonged treatment.	Eur Rev Med Pharmacol Sci
32633334	The hemagglutinin-esterase gene in human coronaviruses SARS-CoV-2, HKU1 and OC43.	Eur Rev Med Pharmacol Sci
32633333	Reply Letter - COVID-19 (Novel Coronavirus 2019) - Recent trends.	Eur Rev Med Pharmacol Sci
32633332	The complement inhibitors in COVID-19: future expectations.	Eur Rev Med Pharmacol Sci
32633331	How to restructure the management of Italian oncological patients during and after COVID-19 pandemic?	Eur Rev Med Pharmacol Sci
32633327	SARS, MERS, COVID-19: Clinical Manifestations and Organ-System Complications: A Mini Review.	Pathog Dis
32633236	COVID-19 - more than respiratory disease: a gastroenterologist's perspective.	J Physiol Pharmacol
32633235	Renin-angiotensin system inhibitors in management of hypertension during the COVID-19 pandemic.	J Physiol Pharmacol
32633231	Animal-based food systems are unsafe: SARS-CoV-2 fosters the debate on meat consumption.	Public Health Nutr
32633215	Proning in Non-Intubated (PINI) in Times of COVID-19: Case Series and a Review.	J Intensive Care Med
32633185	COVID-19 pandemic lockdown: An emotional health perspective of Indians on Twitter.	Int J Soc Psychiatry
32633183	Coronavirus disease 2019 pandemic: Do not forget patients with severe mental illness.	Int J Soc Psychiatry
32633175	A Firsthand Look at Life in a Psychiatric Ward during a Pandemic.	Issues Ment Health Nurs
32633162	Successful Treatment of Covid-19 Associated Cytokine Release Syndrome with Colchicine. A Case Report and Review of Literature.	Immunol Invest
32633104	Covid-19 related IgA vasculitis.	Arthritis Rheumatol
32633093	Effect of COVID-19 in selecting otolaryngology as a specialty.	Head Neck
32633068	Incidence of Deep Vein Thrombosis among non-ICU Patients Hospitalized for COVID-19 Despite Pharmacological Thromboprophylaxis.	J Thromb Haemost
32633056	COVID-19 - how a pandemic reveals that everything is connected to everything else.	J Eval Clin Pract
32633031	Coronavirus disease 2019 3 months after hematopoietic stem cell transplant: A pediatric case report.	Pediatr Blood Cancer
32633022	Pregnancy and postpartum outcomes in a universally tested population for SARS-CoV-2 in New York City: A prospective cohort study.	BJOG
32632997	What can be said about lifestyle and psychosocial issues during the coronavirus disease pandemic? first impressions.	Perspect Psychiatr Care
32632989	How do we recover from COVID-19? Helping diabetes teams foresee and prepare for the psychological harms.	Diabet Med
32632960	Revisiting potential druggable targets against SARS-CoV-2 and repurposing therapeutics under preclinical study and clinical trials: A comprehensive review.	Drug Dev Res
32632947	"The treatment and follow-up of ""recurrence"" with discharged COVID-19 patients: Data from Guizhou, China."	Environ Microbiol
32632942	'Shielded' anaesthetists and intensivists during the COVID-19 pandemic: a reply.	Anaesthesia
32632917	Impacts of the COVID-19 pandemic on Iranian patients with epilepsy.	Acta Neurol Scand
32632851	Challenging Issues in the Management of Cardiovascular Risk Factors in Diabetes During the COVID-19 Pandemic: A Review of Current Literature.	Adv Ther
32632825	Richard Allen Williams, M.D.: a Career Fighting Disparities and Fostering Equity.	J Racial Ethn Health Disparities
32632787	Medical Isolation and Solitary Confinement: Balancing Health and Humanity in US Jails and Prisons During COVID-19.	J Gen Intern Med
32632766	Transcatheter drug delivery through bronchial artery for COVID-19: is it fiction or could it come true?	Eur Radiol Exp
32632722	The D-side of COVID-19: musculoskeletal benefits of vitamin D and beyond.	Endocrine
32632717	In Silico Screening of Potential Chinese Herbal Medicine Against COVID-19 by Targeting SARS-CoV-2 3CLpro and Angiotensin Converting Enzyme II Using Molecular Docking.	Chin J Integr Med
32632667	First, do no harm: bilateral radial artery occlusion in a COVID-19 patient.	J Clin Monit Comput
32632659	"Correction to: Rapid guide to the management of cardiac patients during the COVID-19 pandemic in Egypt: ""a position statement of the Egyptian Society of Cardiology""."	Egypt Heart J
32632645	Knowledge, Attitude, and Practices Toward COVID-19 in Primary Healthcare Providers: A Cross-Sectional Study from Three Tertiary Care Hospitals of Peshawar, Pakistan.	J Community Health
32632635	Effect of lockdown on the management of ischemic stroke: an Italian experience from a COVID hospital.	Neurol Sci
32632558	Anti-coagulation for COVID-19 treatment: both anti-thrombotic and anti-inflammatory?	J Thromb Thrombolysis
32632551	Responding to coronavirus disease 2019: LA County hospital experience.	Emerg Radiol
32632527	Hyperglycaemia on admission to hospital and COVID-19.	Diabetologia
32632505	Critical care journals during the COVID-19 pandemic: challenges and responsibilities.	Intensive Care Med
32632454	Maintaining High-Quality Multidisciplinary Pain Medicine Fellowship Programs: Part I: Innovations in Pain Fellows' Education, Research, Applicant Selection Process, Wellness, and ACGME Implementation During the COVID-19 Pandemic.	Pain Med
32632419	Eosinopenia and COVID-19 patients: So specific ?	EClinicalMedicine
32632418	When pandemics clash: Gendered violence-related traumatic brain injuries in women since COVID-19.	EClinicalMedicine
32632417	Incidence and clinical profiles of COVID-19 pneumonia in pregnant women: A single-centre cohort study from Spain.	EClinicalMedicine
32632416	The impact of ethnicity on clinical outcomes in COVID-19: A systematic review.	EClinicalMedicine
32632415	Endpoints used in phase III randomized controlled trials of treatment options for COVID-19.	EClinicalMedicine
32632414	Preparing for a COVID-19 surge.	EClinicalMedicine
32632413	The 2019-nCoV pandemic in the global south: A Tsunami ahead.	EClinicalMedicine
32632412	Data explosion during COVID-19: A call for collaboration with the tech industry & data scrutiny.	EClinicalMedicine
32632411	Governments and international institutions should urgently attend to the unjust disparities that COVID-19 is exposing and causing.	EClinicalMedicine
32632410	Serosurveys and convalescent plasma in COVID-19.	EClinicalMedicine
32632380	Large vessel stroke and COVID-19: Case report and literature review.	eNeurologicalSci
32632379	Conducting research in Radiation Oncology remotely during the COVID-19 pandemic: Coping with isolation.	Clin Transl Radiat Oncol
32632377	COVID-19 and the rush for self-medication and self-dosing with ivermectin: A word of caution.	One Health
32632376	Dataset of ex-pat teachers in Southeast Asia's intention to leave due to the COVID-19 pandemic.	Data Brief
32632375	A joint dataset of official COVID-19 reports and the governance, trade and competitiveness indicators of World Bank group platforms.	Data Brief
32632359	Reactive oxygen species as an initiator of toxic innate immune responses in retort to SARS-CoV-2 in an ageing population, consider N-acetylcysteine as early therapeutic intervention.	Toxicol Rep
32632357	The evaluation of online course of Traditional Chinese Medicine for MBBS international students during the COVID-19 epidemic period.	Integr Med Res
32632356	Artificial intelligence and COVID-19: A multidisciplinary approach.	Integr Med Res
32632355	Efficacy and safety of tocilizumab in critically ill adults with COVID-19 infection in Bahrain: A report of 5 cases.	Respir Med Case Rep
32632351	Contact tracing: Unearthing key epidemiological features of COVID-19.	SAGE Open Med Case Rep
32632350	Effects of coronavirus (COVID-19) pandemic on orthopedic residency program in the seventh largest city of the world: Recommendations from a resource-constrained setting.	Ann Med Surg (Lond)
32632349	COVID-19 gastrointestinal symptoms mimicking surgical presentations.	Ann Med Surg (Lond)
32632314	Seeking an 'exit plan' for leaving academia amid coronavirus worries.	Nature
32632304	COVID and CopMich: comparing and contrasting COVID-19 experiences in the USA and Scandinavia.	Nat Rev Urol
32632295	Work based concerns and personal implications of COVID-19.	Eye (Lond)
32632255	Pulmonary alveolar regeneration in adult COVID-19 patients.	Cell Res
32632198	The clinical course of SARS-CoV-2 positive neonates.	J Perinatol
32632160	An evaluation of COVID-19 serological assays informs future diagnostics and exposure assessment.	Nat Commun
32632085	Marked T cell activation, senescence, exhaustion and skewing towards TH17 in patients with COVID-19 pneumonia.	Nat Commun
32632035	Serological tests confirm the low incidence of COVID-19 in chronic rheumatic inflammatory diseases treated with biological DMARD.	Ann Rheum Dis
32632034	COVID-19 in paediatric rheumatology patients treated with b/tsDMARDs: a cross-sectional patient survey study.	Ann Rheum Dis
32632033	Response to: 'Comparative analysis of synovial inflammation after SARS-CoV-2 infection' by Alivernini et al.	Ann Rheum Dis
32632032	Comparative analysis of synovial inflammation after SARS-CoV-2 infection.	Ann Rheum Dis
32632031	Should patients starting biologics be screened for COVID-19?	Ann Rheum Dis
32632030	Response to: 'COVID-19 in paediatric rheumatology patients treated with b/tsDMARDs: a cross-sectional patient survey study' by Cuceoglu et al.	Ann Rheum Dis
32632012	The implications of silent transmission for the control of COVID-19 outbreaks.	Proc Natl Acad Sci U S A
32631958	Fan therapy for cough: case report and literature review.	BMJ Support Palliat Care
32631944	Preanalytical issues affecting the diagnosis of COVID-19.	J Clin Pathol
32631914	How Indigenous people are coping with COVID-19.	CMAJ
32631899	Why Scotland's slow and steady approach to covid-19 is working.	BMJ
32631898	Declarations of pharma funding to doctors are hit by covid-19 crisis.	BMJ
32631897	Too much information, too little evidence: is waste in research fuelling the covid-19 infodemic?	BMJ
32631874	The line starts to form for a coronavirus vaccine.	Science
32631871	Surviving the trauma of COVID-19.	Science
32631851	Urgent call for greater multilateralism and coordination of covid-19 trials.	BMJ
32631850	Covid-19: research methods must be flexible in a crisis.	BMJ
32631844	Flattening the curve of new publications on COVID-19.	J Epidemiol Community Health
32631841	JAK inhibitors in COVID-19: need for vigilance regarding increased inherent thrombotic risk.	Eur Respir J
32631839	A Re-analysis in Exploring the Association between Temperature and COVID-19 Transmissibility: An Ecological Study with 154 Chinese Cities.	Eur Respir J
32631838	Rapid onset honeycombing fibrosis in spontaneously breathing patient with Covid-19.	Eur Respir J
32631837	Rationale and significance of patient selection in awake prone positioning for COVID-19 pneumonia.	Eur Respir J
32631836	Similarities between COVID-19 and anti-MDA5 syndrome: what can we learn for better care?	Eur Respir J
32631833	Social stigma in the time of Coronavirus.	Eur Respir J
32631826	Clinical trials of repurposed antivirals for SARS-CoV-2.	Antimicrob Agents Chemother
32631817	Surgeon who said covid-19 was a hoax has been suspended pending GMC investigation.	BMJ
32631805	Obesity and COVID-19: The clash of two pandemics.	Obes Res Clin Pract
32631772	Saliva ejector assisted laryngoscopy (SEAL) for protective intubation.	Am J Emerg Med
32631771	COVID-19 associated Kawasaki-like multisystem inflammatory disease in an adult.	Am J Emerg Med
32631770	COVID-19 associated parotitis: A case report.	Am J Emerg Med
32631767	Consensus Guidelines for the Management of Melanoma during the COVID-19 Pandemic: Surgery, Systemic Anti-cancer Therapy, Radiotherapy and Follow-up.	Clin Oncol (R Coll Radiol)
32631754	Setting up and maximising the usage of an Urgent Dental Care Centre in Blackpool. Sharing our experiences.	Br J Oral Maxillofac Surg
32631753	Coronavirus pandemic: applying a whole-of-society model for the whole-of-the world.	Br J Oral Maxillofac Surg
32631750	Can COVID-19 Move Myanmar in the Right Direction? Perspectives on Older People, Mental Health, and Local Organizations.	Am J Geriatr Psychiatry
32631736	Prolonged presence of SARS-CoV-2 in a COVID-19 case with rheumatoid arthritis taking iguratimod treated with ciclesonide.	J Infect Chemother
32631735	Incubation period of the coronavirus disease 2019 (COVID-19) in Busan, South Korea.	J Infect Chemother
32631724	Percutaneous dilatational tracheostomy for saturating influx of COVID-19 patients: Experience of military ENT physicians deployed in Mulhouse, France.	Eur Ann Otorhinolaryngol Head Neck Dis
32631702	A protocol for wide awake local anaesthetic no tourniquet (WALANT) hand surgery in the context of the coronavirus disease 2019 (COVID-19) pandemic.	Surgeon
32631687	[SARS-CoV-2, COVID-19 and the eye: An update on publis>hed data].	J Fr Ophtalmol
32631682	Concerns for low-resource countries, with under-prepared intensive care units, facing the COVID-19 pandemic.	Infect Dis Health
32631666	The Cutting Edge of Thoracic Anesthesia During the Coronavirus Disease 2019 (COVID-19) Outbreak.	J Cardiothorac Vasc Anesth
32631659	Commentary: Evolving understanding of coronavirus disease 2019: Molecular biology, immunology, and surgery.	J Thorac Cardiovasc Surg
32631658	COVID-19 as a confounding factor in a child submitted to staged surgical palliation of hypoplastic left heart syndrome: One of the first reports of SARS-CoV-2 infection in patients with congenital heart disease.	J Thorac Cardiovasc Surg
32631657	Molecular chronicles of cytokine burst in patients with coronavirus disease 2019 (COVID-19) with cardiovascular diseases.	J Thorac Cardiovasc Surg
32631648	"Empathic communication as a ""Risky strength"" for health during the COVID-19 pandemic: The case of frontline Italian healthcare workers."	Patient Educ Couns
32631646	[Thrombosis and COVID-19: Key primary care in the interdisciplinary approach].	Semergen
32631645	[Possible protective factors of SARS-CoV-2 infection in a vulnerable patient: Report of a case].	Semergen
32631627	SIR HELMET (Safety In Radiology HEalthcare Localised Metrological EnviromenT): a low-cost negative-pressure isolation barrier for shielding MRI frontline workers from COVID-19 exposure.	Clin Radiol
32631626	Validation of the British Society of Thoracic Imaging guidelines for COVID-19 chest radiograph reporting.	Clin Radiol
32631616	Recommendations for resuming elective spine surgery in the COVID-19 era.	Br J Anaesth
32631615	"Corrigendum to ""Spinal anaesthesia for patients with coronavirus disease 2019 and possible transmission rates in anaesthetists: retrospective, single centre, observational cohort study"" (Br J Anaesth 2020;124: 670-5)."	Br J Anaesth
32631613	United but divided: Policy responses and people's perceptions in the EU during the COVID-19 outbreak.	Health Policy
32631593	Response to the commentary by Pisoni E. and Van Dingenen R. on 'Assessing nitrogen dioxide (NO2) levels as a contributing factor to coronavirus (COVID-19) fatality'.	Sci Total Environ
32631576	Carvedilol and COVID-19: A Potential Role in Reducing Infectivity and Infection Severity of SARS-CoV-2.	Am J Med Sci
32631575	Endemic and emerging coronavirus pulmonary infections.	Am J Med Sci
32631501	Passive immunotherapy with convalescent plasma against COVID-19? What about the evidence base and clinical trials?	Transfus Apher Sci
32631494	The Coronavirus Disease 2019 (COVID-19) Pandemic: A Patient-Centered Model of Systemic Shock and Cancer Care Adherence.	J Am Coll Radiol
32631480	Male genitalia injuries: Unspoken collateral damage from the COVID-19 pandemic.	Can Urol Assoc J
32631470	Epidemiological and clinical characteristics of a familial cluster of COVID-19.	Epidemiol Infect
32631469	Dying patients with COVID-19: What should Hospital Palliative Care Teams (HPCTs) be prepared for?	Palliat Support Care
32631468	The alleviation of suffering during the COVID-19 pandemic.	Palliat Support Care
32631463	COVID-19: Yin and Yang and Herd Immunity.	Disaster Med Public Health Prep
32631459	Goals of care and COVID-19: A GOOD framework for dealing with uncertainty.	Palliat Support Care
32631458	Application of Ordinal Logistic Regression Analysis to Identify the Determinants of Illness Severity of COVID-19 in China.	Epidemiol Infect
32631450	Risk of SARS-CoV-2 transmission by aerosols, the rational use of masks, and protection of healthcare workers from COVID-19.	Antimicrob Resist Infect Control
32631442	Systematic review of the registered clinical trials for coronavirus disease 2019 (COVID-19).	J Transl Med
32631426	Transmission patterns of COVID-19 in the mainland of China and the efficacy of different control strategies: a data- and model-driven study.	Infect Dis Poverty
32631405	Impact of vitamins A, B, C, D, and E supplementation on improvement and mortality rate in ICU patients with coronavirus-19: a structured summary of a study protocol for a randomized controlled trial.	Trials
32631403	Prevalence of stress, anxiety, depression among the general population during the COVID-19 pandemic: a systematic review and meta-analysis.	Global Health
32631393	Clinical course and predictors of 60-day mortality in 239 critically ill patients with COVID-19: a multicenter retrospective study from Wuhan, China.	Crit Care
32631389	COVID-19: a hypothesis regarding the ventilation-perfusion mismatch.	Crit Care
32631385	Guidance concerning chiropractic practice in response to COVID-19 in the U.S.: a summary of state regulators' web-based information.	Chiropr Man Therap
32631373	Clarifying the controversial risk-benefit profile of soluble ACE2 in COVID-19.	Crit Care
32631365	Effect of hypertension on outcomes of adult inpatients with COVID-19 in Wuhan, China: a propensity score-matching analysis.	Respir Res
32631358	Geostatistical COVID-19 infection risk maps for Portugal.	Int J Health Geogr
32631350	Impact of the COVID-19 virus outbreak on movement and play behaviours of Canadian children and youth: a national survey.	Int J Behav Nutr Phys Act
32631328	Race, socioeconomic deprivation, and hospitalization for COVID-19 in English participants of a national biobank.	Int J Equity Health
32631317	Clinical evaluation of potential usefulness of serum lactate dehydrogenase (LDH) in 2019 novel coronavirus (COVID-19) pneumonia.	Respir Res
32631194	The Coronavirus Pandemic: Public Health and American Values.	J Law Med Ethics
32631189	Has Global Health Law Risen to Meet the COVID-19 Challenge? Revisiting the International Health Regulations to Prepare for Future Threats.	J Law Med Ethics
32631164	Estimating the risk of an anaesthetist acquiring COVID-19 by anaesthetising an asymptomatic patient.	Anaesth Intensive Care
32631130	Augmenting Evidence-Based Care With a Texting Mobile Interventionist: A Pilot Randomized Controlled Trial.	Psychiatr Serv
32631126	Maternal and neonatal management during COVID-19.	J Matern Fetal Neonatal Med
