,Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
11,CORE--INTERVENTION TECHNOLOGY,NCI,6217414,3P01CA050087-10S1,3,P01,CA,50087,10,S1,9002,9661605,"ABRAMS, DAVID BRIAN",Not Applicable,UNIVERSITY OF RHODE ISLAND,,1999,,0
12,Using Computational Approaches to Optimize Asthma Care Management,NHLBI,9567692,1R01HL142503-01,1,R01,HL,142503,1,,,11563031,"LUO, GANG ",Not Applicable,UNIVERSITY OF WASHINGTON,,2018,883091,ENHANCING WORKSITE CANCER PREVENTION THROUGH THE HOME
13,CORE--INTERVENTION TECHNOLOGY,NCI,6102569,5P01CA050087-10,5,P01,CA,50087,10,,9002,9661605,"ABRAMS, DAVID BRIAN",Not Applicable,UNIVERSITY OF RHODE ISLAND,,1998,,
14,Genomics and Systems Biology Core,NIDDK,9969428,5P30DK120531-02,5,P30,DK,120531,2,,8833,6089797,"LUO, JIANHUA ",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2020,,"237699""ENHANCING WORKSITE CANCER PREVENTION THROUGH THE HOME"""
15,CORE--INTERVENTION TECHNOLOGY,NCI,6237083,5P01CA050087-09,5,P01,CA,50087,9,,9002,9661605,"ABRAMS, DAVID BRIAN",Not Applicable,UNIVERSITY OF RHODE ISLAND,,1997,,309009
16,Genomics and Systems Biology Core,NIDDK,9709480,1P30DK120531-01,1,P30,DK,120531,1,,8833,6089797,"LUO, JIANHUA ",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2019,,"242716""Secondary Analysis of EHR Data to Examine Relative Impact of Oral Health History on Incident Pneumonia by Settings"""
17,Personalized multimedication packaging with integrated real-time instrumentation to improve adherence,NCATS,9846816,1R43TR003071-01,1,R43,TR,3071,1,,,11315234,"ACWORTH, EDWARD ",Not Applicable,INSIGHTFIL,,2019,225000,
18,Tough Talks: A Disclosure Intervention for HIV+ YMSM,NIMH,9707883,5R44MH104102-05,5,R44,MH,104102,5,,,8949861,"ADAMS LARSEN, MARGO  ","HIGHTOW-WEIDMAN, LISA B","VIRTUALLY BETTER, INC.",,2019,352289,
19,Bayesian Generative Methods for Extracting and Modeling Relations in EHR Narratives,NLM,9535479,5R21LM012618-02,5,R21,LM,12618,2,,,12484100,"LUO, YUAN ",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO,,2018,181755,Tough Talks: A Disclosure Intervention for HIV+ YMSM
20,Bayesian Generative Methods for Extracting and Modeling Relations in EHR Narratives,NLM,9374626,1R21LM012618-01,1,R21,LM,12618,1,,,12484100,"LUO, YUAN ",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO,,2017,Tough Talks: A Disclosure Intervention for HIV+ YMSM,NIMH
21,5R13FD006690-02,5,R13,FD,6690,2,,,12328003,"ADAMS, JERRY ",Not Applicable,ARKANSAS RESEARCH ALLIANCE,,2020,15000,,,,
22,Modeling the Incompleteness and Biases of Health Data,NLM,9941499,1R01LM013337-01,1,R01,LM,13337,1,,,12484100,"LUO, YUAN ",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO,,2020,348397,Identifying opioid response phenotypes in low back pain electronic health data
23,Identifying Patterns of Cognitive; Motor; and Brain Structural Abnormalities Differentiating Alcohol Use Disorder with and without HIV Infection Comorbidity,NIAAA,9768139,5F32AA026762-02,5,F32,AA,26762,2,,,15125348,"ADELI-MOSABBEB, EHSAN ",Not Applicable,STANFORD UNIVERSITY,,2019,22899,
24,A comprehensive liquid biopsy platform for detection and prognostication in early stage breast cancer,NCI,9784775,5U01CA233363-02,5,U01,CA,233363,2,,,11044941,"AGARWAL, ASHUTOSH  ","COTE, RICHARD JAMES",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,,2019,560831,
25,149998,Linking human enhancers to predictive models of mRNA abundance,NHGRI,9804719,1K99HG010662-01,1,K99,HG,10662,1,,,12161827,"AGARWAL, VIKRAM ",Not Applicable,UNIVERSITY OF WASHINGTON,,2019,119880
26,An integrated electrical impedance myography platform for neuromuscular disease classification and diagnosis,NINDS,9846955,9R44NS113756-02,9,R44,NS,113756,2,,,8238662,"LUPTON, ELMER C ","RUTKOVE, SEWARD B.","MYOLEX, INC.",,2019,621318,Developing Objective Assessment of Physical Activity and Sedentary Behavior for Adults with Down Syndrome
27,9762101,5R21EB026657-02,5,R21,EB,26657,2,,,9231849,"AHMAD, RIZWAN  ","SIMONETTI, ORLANDO PAUL",OHIO STATE UNIVERSITY,,2019,223680,,,
28,Multi-Modality Image Data Fusion and Machine Learning Approaches for Personalized Diagnostics and Prognostics of MCI due to AD,NIA,9254700,1R41AG053149-01A1,1,R41,AG,53149,1,A1,,12351533,"LURE, FLEMING Y. M. ",Not Applicable,MS TECHNOLOGIES CORPORATION,,2016,149936,Molecular and biophysical mechanism of plasma membrane internalization during nonclathrin endocytosis
29,Elucidating the role of alternative polyadenylation in alcohol related phenotypes using a novel trans-omics computational approach,NIAAA,9833879,1F31AA027430-01A1,1,F31,AA,27430,1,A1,,14672968,"LUSK, RYAN ",Not Applicable,UNIVERSITY OF COLORADO DENVER,,2019,30732,TRD3 - Image Reconstruction
30,FIBRONECTIN AND CARTILAGE DESTRUCTION IN OSTEOARTHRITIS,NIAMS,2683273,5R01AR035664-11,5,R01,AR,35664,11,,,1899000,"LUST, GEORGE ",Not Applicable,CORNELL UNIVERSITY ITHACA,,1998,262035,A Software Platform for the Identification of Cell Surface Antigens Using RNA-seq Data
31,SpliceCore: A Cloud-Based Software Platform to Translate Alternative Splicing Events into Therapeutic Targets Using RNA-seq Data,NIGMS,9677178,5R44GM116478-03,5,R44,GM,116478,3,,,10512346,"AKERMAN, MARTIN ",Not Applicable,"ENVISAGENICS, INC.",,2019,517226,
32,A Comprehensive Structural and Dynamic Map of DNA Duplex Ends,NIGMS,7024252,1R21GM073617-01A1,1,R21,GM,73617,1,A1,,6200626,"AKESON, MARK A",Not Applicable,UNIVERSITY OF CALIFORNIA SANTA CRUZ,,2006,172838,
33,Leveraging EHR Information to Measure Pressure Ulcer Risk in Veterans with SCI,VA,8750788,5I01HX000902-02,5,I01,VA,902,2,,,9473851,"LUTHER, STEPHEN L",Not Applicable,JAMES A. HALEY VA MEDICAL CENTER,,2015,,
34,Leveraging EHR Information to Measure Pressure Ulcer Risk in Veterans with SCI,VA,8485037,1I01HX000902-01A1,1,I01,VA,902,1,A1,,9473851,"LUTHER, STEPHEN L",Not Applicable,JAMES A. HALEY VA MEDICAL CENTER,,2014,,
35,Electrocardiographic Detection of Non-ST Elevation Myocardial Events for Accelerated Classification of Chest Pain Encounters (ECG-SMART),NHLBI,9681483,5R01HL137761-02,5,R01,HL,137761,2,,,11966765,"AL-ZAITI, SALAH S",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2019,370300,
36,Using Markov Decision Processes to Optimize Breast Biopsy Decision Making,NCI,7559005,5R21CA129393-02,5,R21,CA,129393,2,,,8680137,"ALAGOZ, OGUZHAN ",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON,,2009,153320,
37,Computational Resources Core (CRC),NIGMS,9213376,5P30GM103324-05,5,P30,GM,103324,5,,7938,11033145,"LYON, ROBERT T.",Not Applicable,UNIVERSITY OF IDAHO,,2017,,"163568""Using Markov Decision Processes to Optimize Breast Biopsy Decision Making"""
38,5R01MH114847-02,5,R01,MH,114847,2,,,2097462,"ALBARRACIN, DOLORES ",Not Applicable,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,,2019,565763,,,,
39,9767278,5R01LM012734-04,5,R01,LM,12734,4,,,10534283,"ALBERS, DAVID J. ","GLUCKMAN, BRUCE J;HRIPCSAK, GEORGE M",UNIVERSITY OF COLORADO DENVER,,2019,660597,,,
40,768451,,,,,,,,,,,,,,,,,,
41,Computational Resources Core (CRC),NIGMS,8643800,5P30GM103324-02,5,P30,GM,103324,2,,7938,11033145,"LYON, ROBERT T.",CENTER ADMINISTRATIVE,NIDCD,8301754,5P30DC005207-10,5,P30
42,CENTER ADMINISTRATIVE,NIDCD,8136092,5P30DC005207-09,5,P30,DC,5207,9,,9004,1863790,"ALBERT, MARTIN L",Not Applicable,BOSTON UNIVERSITY MEDICAL CAMPUS,,2010,,69453
43,CENTER ADMINISTRATIVE,NIDCD,7915363,5P30DC005207-08,5,P30,DC,5207,8,,9004,1863790,"ALBERT, MARTIN L",Not Applicable,BOSTON UNIVERSITY MEDICAL CAMPUS,,2009,,70154
44,Computational Resources Core (CRC),NIGMS,8463788,1P30GM103324-01,1,P30,GM,103324,1,,7938,11033145,"LYON, ROBERT T.",Not Applicable,UNIVERSITY OF IDAHO,,2013,,"254367""CENTER ADMINISTRATIVE"""
45,Data Organization Core,NCI,8934413,5U54CA189201-02,5,U54,CA,189201,2,,7798,7869507,"MA'AYAN, AVI  ","DUDLEY, JOEL THOMAS",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2015,,"407203""NHLBI"""
46,AUTOMATED SYSTEM FOR TELEPHONIC MGMT OF ASTHMA,NHLBI,2777211,2R44HL059024-02,2,R44,HL,59024,2,,,8627517,"ALBISSER, ANTHONY MICHAEL",Not Applicable,BETTER CONTROL MEDICAL COMPUTERS (BCMC),,1999,392475,
47,AUTOMATED SYSTEM FOR TELEPHONE HOME MANAGEMENT OF ASTHMA,NHLBI,NCI,1R43HL059024-01,9843449,,5U24CA224260-03,"ALBISSER, ANTHONY MICHAEL",Not Applicable,5,U24,CA,224260,3,,,BETTER CONTROL MEDICAL COMPUTERS (BCMC),7869507,
48,Knowledge Management Center for Illuminating the Druggable Genome,NCI,9623330,5U24CA224260-02,5,U24,CA,224260,2,,,7869507,"MA'AYAN, AVI ",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2019,249999,PROTEIN HOMOLOGY FROM NEAREST NEIGHBOR NEURAL NETWORKS
49,PROCESSING OF HIGH RESOLUTION ELECTRON MICROGRAPHS,NCRR,5204053,1Z01RR010225-11,1,Z01,RR,10225,11,,,3178755,"ALDROUBI, A ",Not Applicable,,,1995,,
50,Automatic Rib Fracture Detection in Pediatric Radiography to Identify Non-Accidental Trauma,NICHD,9658063,1R21HD097609-01,1,R21,HD,97609,1,,,8540275,"ALESSIO, ADAM M",Not Applicable,MICHIGAN STATE UNIVERSITY,,2019,Knowledge Management Center for Illuminating the Druggable Genome,NCI
51,Principled Methods for Very Large-Scale Causal Discovery,NLM,6930544,5R01LM007948-03,5,R01,LM,7948,3,,,6831187,"ALIFERIS, CONSTANTIN F",Not Applicable,VANDERBILT UNIVERSITY,,2005,199320,
52,Principled Methods for Very Large-Scale Causal Discovery,NLM,6784073,5R01LM007948-02,5,R01,LM,7948,2,,,6831187,"ALIFERIS, CONSTANTIN F",Not Applicable,VANDERBILT UNIVERSITY,,2004,232540,
53,5R21DK123674-02,5,R21,DK,123674,2,,,12428342,"MA, BING ",Not Applicable,UNIVERSITY OF MARYLAND BALTIMORE,,2020,193125,Principled Methods for Very Large-Scale Causal Discovery,NLM,6670333,1R01LM007948-01
54,,,,,,,,,,,,,,,,,,,
55,MEMORY STORAGE IN NEURAL NETWORKS,NINDS,5203889,1Z01NS002151-21,1,Z01,NS,2151,21,,,3218598,"ALKON, D L",Not Applicable,,,1995,Role of short chain fatty acids in intestinal barrier maturation in preterm infants,NIDDK
56,MEMORY STORAGE IN NEURAL NETWORKS,NINDS,3760221,1Z01NS002151-20,1,Z01,NS,2151,20,,,3218598,"ALKON, D L",Not Applicable,,,1994,,
57,MEMORY STORAGE IN NEURAL NETWORKS,NINDS,3782302,1Z01NS002151-19,1,Z01,NS,2151,19,,,3218598,"ALKON, D L",Not Applicable,,,1993,,
58,MEMORY STORAGE IN NEURAL NETWORKS,NINDS,3846167,1Z01NS002151-18,1,Z01,NS,2151,18,,,3218598,"ALKON, D L",Not Applicable,,,1992,,
59,MR Fingerprinting for Epilepsy,NINDS,9844090,5R01NS109439-02,5,R01,NS,109439,2,,,12566494,"MA, DAN  ","WANG, ZHONG IRENE",CASE WESTERN RESERVE UNIVERSITY,,2020,595230,MEMORY STORAGE IN NEURAL NETWORKS
60,INFORMATION PROCESSING IN SIMPLE NERVOUS SYSTEM,NINDS,3881690,1Z01NS002151-16,1,Z01,NS,2151,16,,,3218598,"ALKON, D L",Not Applicable,,,1990,,
61,INFORMATION PROCESSING IN SIMPLE NERVOUS SYSTEM,NINDS,3922486,1Z01NS002151-15,1,Z01,NS,2151,15,,,3218598,"ALKON, D L",Not Applicable,,,1988,,
62,INFORMATION PROCESSING IN SIMPLE NERVOUS SYSTEM,NINDS,3945194,1Z01NS002151-14,MR Fingerprinting for Epilepsy,,Not Applicable,,,NINDS,9639117,1R01NS109439-01,1,R01,NS,109439,1,,
63,INFORMATION PROCESSING IN SIMPLE NERVOUS SYSTEM,NINDS,3968920,1Z01NS002151-12,1,Z01,NS,2151,12,,,3218598,"ALKON, D L",Not Applicable,,,1986,,
64,Computational Methods for Next-Generation Comparative Genomics,NHGRI,9959498,5R01HG007352-06,5,R01,HG,7352,6,,,10363722,"MA, JIAN ",Not Applicable,CARNEGIE-MELLON UNIVERSITY,,2020,360268,MAPS: Mobile Assessment for the Prediction of Suicide
65,HYPERTENSION EXPERT SYSTEM,CIT,3896416,1Z01CT000178-02,1,Z01,CT,178,2,,,3408223,"ALLEN, S I",Not Applicable,,,1989,,
66,Computational Methods for Next-Generation Comparative Genomics,NHGRI,9765970,2R01HG007352-05,2,R01,HG,7352,5,,,10363722,"MA, JIAN ",Not Applicable,CARNEGIE-MELLON UNIVERSITY,,2019,433604,COMPUTING ENVIRONMENTS FOR GRAPHICAL BELIEF MODELS
67,PED Screen: Pediatric Sepsis EHR Registry; Clinical Outcomes; and Predictive Model,NICHD,9626417,5R01HD087363-03,5,R01,HD,87363,3,,,9702625,"ALPERN, ELIZABETH RACHEL",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO,,2019,Study of a PST-Trained Voice-Enabled Artificial Intelligence Counselor (SPEAC) for Adults with Emotional Distress,NIMH
68,SenseWhy: Overeating in Obesity Through the Lens of Passive Sensing,NIDDK,9613247,5K25DK113242-02,5,K25,DK,113242,2,,,12685807,"ALSHURAFA, NABIL ",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO,,2019,165108,
69,115681,,,,,,,,,,,,,,,,,,
70,Immunophenotyping by CyTOF and machine learning,NCI,10014846,1ZIABC011807-02,1,ZIA,CA,11807,2,,,15201697,"ALTAN-BONNET, GREGOIRE ",Not Applicable,,,2019,289203,
71,Beyond Association: Predictive Modeling of Nicotine Dependance,NIDA,7617627,5R21DA025168-02,5,R21,DA,25168,2,,,8802789,"ALTEROVITZ, GIL ",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL,,2009,175000,
72,Automated Integration of Biomedical Knowledge,NHGRI,7945368,5R01HG004836-02,5,R01,HG,4836,2,,,8802789,"ALTEROVITZ, GIL ",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL,YES,2010,428079,
73,Data Driven Methods for Missing Data Imputation in Surgical Disparities Research,NIMHD,10023939,5R01MD013901-02,5,R01,MD,13901,2,,,9710407,"MA, YAN ",Not Applicable,GEORGE WASHINGTON UNIVERSITY,,2020,Developing an Artificial Intelligence Chatbot to Promote HIV Testing,NIAID
74,The PharmGKB: Catalyzing Research in Pharmacogenetics,NIGMS,7109270,5U01GM061374-07,5,U01,GM,61374,7,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,Data Driven Methods for Missing Data Imputation in Surgical Disparities Research,NIMHD,9717557
75,The PharmGKB: Catalyzing Research in Pharmacogenetics,NIGMS,6942558,2U01GM061374-06,2,U01,GM,61374,6,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2005,2851826,
76,Synthetic Molecular Sensors to Target Latently Infected Cells for HIV Eradication,NIAID,9321206,5R33AI104282-05,5,R33,AI,104282,5,,,11785481,"MACARTHUR, BEN  ","SPINA, CELSA A",UNIVERSITY OF SOUTHAMPTON,,2017,397547,THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE
77,THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6738628,3U01GM061374-04S1,3,U01,GM,61374,4,S1,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2003,159000,
78,THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6636465,5U01GM061374-04,5,U01,GM,61374,4,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2003,1939629,
79,THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6649647,3U01GM061374-03S1,3,U01,GM,61374,3,S1,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,NIGMS,9060365,4R01GM107142-04,4,R01
80,THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6520265,5U01GM061374-03,5,U01,GM,61374,3,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2002,1891894,
81,THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6495900,3U01GM061374-02S1,3,U01,GM,61374,2,S1,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2001,35096,
82,THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6495900,3U01GM061374-02S1,3,U01,GM,61374,2,S1,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2001,35096,Self Correcting Nanoflow LC-MS for Clinical Proteomics
83,STANFORD UNIVERSITY,,2000,141192,,,,,,,,,,,,,,,
84,Self Correcting Nanoflow LC-MS for Clinical Proteomics,NIGMS,8727640,5R01GM107142-02,5,R01,GM,107142,2,,,6676500,"MACCOSS, MICHAEL ",Not Applicable,UNIVERSITY OF WASHINGTON,,2014,371177,THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE
85,THE STANFORD PHARMACOGENETICS KNOWLEDGE BASE,NIGMS,6132622,1U01GM061374-01,1,U01,GM,61374,1,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2000,1638812,
86,INTELLIGENT SYSTEMS FOR MOLECULAR BIOLOGY CONFERENCE,NLM,2238155,1R13LM005768-01,1,R13,LM,5768,1,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,1994,Self Correcting Nanoflow LC-MS for Clinical Proteomics,NIGMS
87,Graduate Training in Biomedical Informatics,NLM,7457660,5T15LM007033-25,5,T15,LM,7033,25,,,6620309,"ALTMAN, RUSS BIAGIO",Not Applicable,STANFORD UNIVERSITY,,2008,967500,
88,SOFTWARE DISTRIBUTED BY THE MACCOSS AND NOBLE LABS; 2008-2009,NCRR,7957862,5P41RR011823-14,5,P41,RR,11823,14,,8071,6676500,"MACCOSS, MICHAEL ",Not Applicable,UNIVERSITY OF WASHINGTON,,2009,,"4747""Graduate Training in Biomedical Informatics"""
89,Graduate Training in Biomedical Informatics,PROTEOTYPIC PEPTIDE PREDICTIONS,7390557,3T15LM007033-23S1,NCRR,"ALTMAN, RUSS BIAGIO",Not Applicable,7602162,,5P41RR011823-12,5,P41,RR,11823,12,,8207,6676500,"MACCOSS, MICHAEL J"
90,CORE RESEARCH--MICROPOPULATION SIMULATION MODULES DEVELOPMENT; SUMMERS,NCRR,6120311,5P41RR001632-13,5,P41,RR,1632,13,,9003,6244823,"ALTMANN, MICHAEL A.",Not Applicable,UNIVERSITY OF MINNESOTA TWIN CITIES,,1995,,
91,NIDA STRENGTHENING WASHINGTON; DC FAMILIES GRANT,NIDA,2882620,5R01DA010825-02,5,R01,DA,10825,2,,,6160124,"ALVARADO, ROSE L",Not Applicable,UNIVERSITY OF UTAH,,1999,Linking Language Comprehension to Production Patterns,NICHD
92,NIDA STRENGTHENING WASHINGTON; DC FAMILIES GRANT,NIDA,2487768,1R01DA010825-01A1,1,R01,DA,10825,1,A1,,6160124,"ALVARADO, ROSE L",Not Applicable,UNIVERSITY OF UTAH,,1998,709663,
93,Office of the Scientific Director,NIMH,10021346,1ZIAMH002917-12,1,ZIA,MH,2917,12,,,11999773,"AMARA, SUSAN ",Not Applicable,NATIONAL INSTITUTE OF MENTAL HEALTH,,2019,3925691,
94,Linking Language Comprehension to Production Patterns,NICHD,7226029,5R01HD047425-03,5,R01,HD,47425,3,,,1857845,"MACDONALD, MARYELLEN C",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON,,2007,168217,Modeling Core
95,Genome Clustering for Clinical Subtype Detection in Autism,NIMH,9773221,5F30MH115584-03,5,F30,MH,115584,3,,,12334774,"AMATYA, DEBHA NARSINGH",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",,2019,43812,
96,IMPROVING DECISION-SUPPORT SYSTEMS WITH DOMAIN KNOWLEDGE,NLM,2237607,1F37LM000048-01,1,F37,LM,48,1,,,1949396,"AMBROSINO, RICHARD ",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,1996,Neuroethics of Predictive MRI Testing: Parental Attitudes Towards Pre-Symptomatic Identification of Autism Spectrum Disorder,NIMH
97,AUGS/DUKE UrogynCREST program,NICHD,9703267,1R25HD094667-01A1,1,R25,HD,94667,1,A1,,8662485,"AMUNDSEN, CINDY ",Not Applicable,DUKE UNIVERSITY,,2019,161462,
98,AUGS/DUKE UrogynCREST program,NICHD,9703267,1R25HD094667-01A1,1,R25,HD,94667,1,A1,,8662485,"AMUNDSEN, CINDY ",Not Applicable,DUKE UNIVERSITY,,2019,161462,Neuroethics of Predictive MRI Testing: Parental Attitudes Towards Pre-Symptomatic Identification of Autism Spectrum Disorder
99,Measuring the Longitudinal Relationshipsbetween Obesity; Weight Management Intervention; and Medical Expenditure,VA,9952126,5I01HX002697-02,5,I01,VA,2697,2,,,1911804,"MACIEJEWSKI, MATTHEW L ","WONG, EDWIN S.",DURHAM VA MEDICAL CENTER,,2020,,
100,CANCER PROTEIN DATA BASE,NCI,3491144,1R43CA040855-01,1,R43,CA,40855,1,,,1874111,"ANDERSON, NORMAN G",Not Applicable,LARGE SCALE BIOLOGY CORPORATION,,1986,Measuring the Longitudinal Relationshipsbetween Obesity; Weight Management Intervention; and Medical Expenditure,VA
101,Automated Plaque Detection and Classification using MRI,NHLBI,6951380,5R44HL071470-03,5,R44,HL,71470,3,,,2186677,"ANDERSON, RUSSELL WAYNE",Not Applicable,ISCHEM CORPORATION,,2005,Automated Detection of Suicide Attempt Risk among Bereaved Individuals,NIMH
102,248112,Automated Plaque Detection and Classification using MRI,NHLBI,6833334,2R44HL071470-02,2,R44,HL,71470,2,,,2186677,"ANDERSON, RUSSELL WAYNE",Not Applicable,ISCHEM CORPORATION,,2004,374972
103,A robust platform for multiplexed; subcellular proteomic imaging in human tissue,NCI,9894465,1UH3CA246633-01,1,UH3,CA,246633,1,,,11579647,"ANGELO, ROBERT MICHAEL ","BENDALL, SEAN CURTIS",STANFORD UNIVERSITY,,2019,590000,
104,The AYA-RISE Intervention: Risk Information and Screening Education for Adolescents and Young Adults with Cancer Predisposition Syndromes,NCI,9848695,1U01CA243688-01,1,U01,CA,243688,1,,,7337203,"MACK, JENNIFER W",Not Applicable,DANA-FARBER CANCER INST,,2019,3543148,Neuroinformatics platform using machine learning and content-based image retrieval for neuroscience image data
105,Advancing artificial intelligence algorithms for chest x-ray screening and visualization,NLM,10016025,1ZIALM010004-04,1,ZIA,LM,10004,4,,,14765974,"ANTANI, SAMEER ",Not Applicable,NATIONAL LIBRARY OF MEDICINE,,2019,533106,
106,Advancing artificial intelligence algorithms for cervical cancer diagnostics ,NLM,10016030,1ZIALM010014-02,1,ZIA,LM,10014,2,,,14765974,"ANTANI, SAMEER ",Not Applicable,NATIONAL LIBRARY OF MEDICINE,,2019,562723,
107,USC Neurosurgery Research Education Training Program,NINDS,9937841,5R25NS099008-04,5,R25,NS,99008,4,,,6380956,"MACK, WILLIAM J",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2020,107578,Rad-path-omic tools for rectal cancer treatment evaluation
